"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Millets","Maize (Makka)","Seeds","kvk no","08263- 228198 ","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-01 09:00:12.000"
"","HORTICULTURE","Plantation Crops","Arecanut","	Plant Protection	","arecanut root rot disease","spot drench with copper oxi chloride-3gram/liter","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-01 09:10:53.000"
"","HORTICULTURE","Plantation Crops","Arecanut","	Plant Protection	","arecanut root rot disease","- spot drench with copper oxi chloride-3gram/liter","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-01 09:21:11.000"
"","AGRICULTURE","Others","Others","Weather","weather","20% rain fall","KARNATAKA","CHIKMAGALUR","KOPPA                                             ","2014-08-01 11:27:42.000"
"","AGRICULTURE","Others","Others","Weather","Tarikere Weather Forecast","77 | 68 °F 
Chance of Rain 
Chance of
Precipitation
70%","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-01 12:23:20.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","market rate","GUNDLUPET Other Average Quintal  3560 3800 3700","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-01 16:04:00.000"
"","HORTICULTURE","Plantation Crops","Coconut","Market Information","market rate","ARSIKERE Copra Medium  Quintal  18200 18205 18203","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-01 17:21:13.000"
"","AGRICULTURE","Others","Others","Weather","weather report","20% rain","KARNATAKA","CHIKMAGALUR","NARASIMHARAJAPURA                                 ","2014-08-01 17:57:12.000"
"","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","beans borer","malathion 2ml/litre of water","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-01 18:20:19.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tomato disease","carbendazium at 2 g in 1 litre water","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-02 09:02:37.000"
"","HORTICULTURE","Fruits","Musk Melon","Agriculture Mechanization","disease","qunolphose","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-02 10:08:54.000"
"","HORTICULTURE","Vegetables","Potato","	Plant Protection	","potato pest","horticulture helpline 08023625411","KARNATAKA","CHIKMAGALUR","KOPPA                                             ","2014-08-02 11:20:21.000"
"","HORTICULTURE","Vegetables","Potato","	Plant Protection	","pest","chloropyriphos at 2ml in 1 litre water","KARNATAKA","CHIKMAGALUR","KOPPA                                             ","2014-08-02 11:22:41.000"
"","AGRICULTURE","Others","Others","Weather","weather report","70% chance of precipitation","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-02 14:14:00.000"
"","HORTICULTURE","Condiments and Spices","Pepper","Fertilizer Use and Availability","pepper droping","horticulture helpline         08022742103","KARNATAKA","CHIKMAGALUR","MUDIGERE                                          ","2014-08-03 07:23:12.000"
"","HORTICULTURE","Fruits","Banana","	Plant Protection	","weedicide","2,4 D","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-03 08:35:55.000"
"","AGRICULTURE","Others","Others","Weather","Chikmagalur Weather Forecast","Chance of
Precipitation
80%","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-03 08:44:36.000"
"","AGRICULTURE","Others","Others","","maize fertilizer","10:26:26","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-03 09:23:57.000"
"","AGRICULTURE","Others","Others","","ragi weedicide","magnesium sulphate","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-03 10:29:31.000"
"","AGRICULTURE","Others","Others","Weather","Tarikere Weather Forecast","80%chance of precipitation","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-03 10:34:47.000"
"","AGRICULTURE","Others","Others","","paddy seedlings","propanil 2ml in 1liter waetr","KARNATAKA","CHIKMAGALUR","MUDIGERE                                          ","2014-08-03 10:56:56.000"
"","HORTICULTURE","Vegetables","Beans ","","beans pest","quinolphos 3ml in 10liter waer","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-03 13:03:40.000"
"","AGRICULTURE","Others","Others","Weather","Kadur Weather Forecast","77 | 67 °F 
Chance of Rain 
Chance of
Precipitation
40%","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-04 11:30:59.000"
"","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","cauliflower varieties","late snowball","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-04 15:48:17.000"
"","AGRICULTURE","Others","Others","","weather report","WETHER       40    % Chance of precipitation","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-05 08:26:27.000"
"","AGRICULTURE","Others","Others","	Plant Protection	","cotton  sucking pest","acephate at 2g in 1 liter water","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-05 09:02:55.000"
"","AGRICULTURE","Others","Others","Weather","weather","20-50%","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-05 10:43:24.000"
"","HORTICULTURE","Vegetables","Onion","Agriculture Mechanization","onion fertilizer","10:26:26   100kr per acre","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-05 11:02:47.000"
"","AGRICULTURE","Others","Others","","mandi rates","activated","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-05 11:37:15.000"
"","AGRICULTURE","Others","Others","	Plant Protection	","horti numbr","08028466353","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-05 11:43:34.000"
"","AGRICULTURE","Others","Others","Weather","weather","30-40%","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-05 12:20:09.000"
"","AGRICULTURE","Others","Others","","weather report","rain 50%","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-05 14:11:54.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","brinjal fungal disease","recommended spray of mancozeb 2gm/litre of water","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-05 14:21:09.000"
"","AGRICULTURE","Oilseeds","Sunflower (suryamukhi)","	Plant Protection	","leaf spot","mancozeb 2g/l","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-05 14:35:16.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","jeevamrutha","contact to kvk","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-05 14:46:46.000"
"","HORTICULTURE","Vegetables","Onion","	Plant Protection	","sucking pest","confidar 0.5ml/l","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-05 17:30:59.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Bio-Pesticides and Bio-Fertilizers","VERMICULTURE","CONTACT TO KVK","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-05 17:49:40.000"
"","AGRICULTURE","Others","Others","","Weather report","Weather report –  partly cloudy .. 40 %    chance of rain","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-06 07:43:14.000"
"","AGRICULTURE","Others","Others","Weather","Koppa Weather Forecast","80%Chance of precipitation","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-06 08:53:29.000"
"","AGRICULTURE","Others","Others","","Weather report","chance of rain","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-06 09:10:04.000"
"","HORTICULTURE","Fruits","Banana","","banana disease","fertilizer application","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-06 11:46:49.000"
"","HORTICULTURE","Fruits","Pomegranate","","pomogranate weed","handweeding","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-07 08:45:12.000"
"","AGRICULTURE","Others","Others","","weather","Thursday, 7




77 | 67 °F 

T-storms 


Chance of
Precipitation

80%","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-07 09:04:59.000"
"","AGRICULTURE","Others","Others","Weather","weather","cloudy weather","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-07 09:07:22.000"
"","HORTICULTURE","Plantation Crops","Coconut","","cococnut","npk and neemcake","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-07 09:14:58.000"
"","AGRICULTURE","Others","Others","","paddy fertilizer","npk 50kg :25p:25kgk","KARNATAKA","CHIKMAGALUR","MUDIGERE                                          ","2014-08-07 09:24:42.000"
"","HORTICULTURE","Flowers","Crossandra","","CROSSANDRA PEST","IMIDACHLOPRID 2ML IN 1LITER","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-07 12:03:45.000"
"","AGRICULTURE","Others","Others","","cotton rate","Quintal  4536 4555","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-07 13:56:15.000"
"","HORTICULTURE","Flowers","Marigold","","MARIGOLD MANDI PRICE","APMC Help Line	1800 425 1552","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-08 10:35:58.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","CLOUDY WEATEHR","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-08 10:36:52.000"
"","AGRICULTURE","Others","Others","Weather","vermiculture","contact organic dept","KARNATAKA","CHIKMAGALUR","KOPPA                                             ","2014-08-08 16:34:42.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","CLOUDY WEATHER","KARNATAKA","CHIKMAGALUR","KOPPA                                             ","2014-08-09 10:58:37.000"
"","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","ginger kole roga","coc at 3g in 1liter water","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-09 11:38:14.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER","CLOUDY WEATHER","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-09 11:41:39.000"
"","AGRICULTURE","Others","Others","","weather report","50 % ppt","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-09 13:45:09.000"
"","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","plant protection","COC@2g/ltr of water","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-09 15:30:49.000"
"","AGRICULTURE","Others","Others","Weather","Chickmagalur Weather Forecast","Chance of Rain 
Chance of
Precipitation
70%","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-10 10:21:51.000"
"","HORTICULTURE","Vegetables","Watermelon","","sowing seasons","BANNANA, LEMON, PINEAPPLE, CARDOMOM, CAULIFLOWER","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-10 11:08:54.000"
"","HORTICULTURE","Plantation Crops","Arecanut","Fertilizer Use and Availability","arecanut fertilizers","boron 50g per plant","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-10 12:43:16.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","leaf spot","Leaf spot-spray mancozeb 2gm/lit,,,","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-10 16:07:27.000"
"","HORTICULTURE","Vegetables","Potato","Agriculture Mechanization","rsk","08261-254041","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-11 06:51:53.000"
"","AGRICULTURE","Others","Others","Agriculture Mechanization","weed control","24d","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-11 08:22:05.000"
"","AGRICULTURE","Others","Others","Weather","Koppa Weather Forecast","73 | 65 °F 
Chance of Rain 
Chance of
Precipitation
70%","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-11 08:44:47.000"
"","HORTICULTURE","Vegetables","Ridge Gourd","","ridgegaurd flower drop","planofix 1ml in 4 liter water","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-11 09:39:43.000"
"","HORTICULTURE","Fruits","Papaya","","papaya market","can be grown","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-11 09:45:26.000"
"","HORTICULTURE","Plantation Crops","Arecanut","Vegetative Propagation and Tissue Culture","arecanut fertilizer","10:26:26 250g per plant","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-11 12:04:30.000"
"","HORTICULTURE","Vegetables","Chillies","","chilli seedlings","08028466353","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-11 13:32:03.000"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Fertilizer Use and Availability","pea fertilizer","19 all 2 gm pr liter","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-20 13:02:28.863"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","60% CHANCES OF RAIN IN YOUR TALUK","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-20 15:29:32.747"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","fertilizer reccomendation per plant","urea 1.5kg, ssp2kg, potash3kg, fym 50kg","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-21 09:20:43.847"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather  report","chance of rain 60%","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-22 14:31:44.430"
"KHARIF","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","Weather","wheather report","90% chance of precipitation","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-22 16:12:35.210"
"KHARIF","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","Weather","wheather report","90% chance of precipitation","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-22 16:12:51.500"
"KHARIF","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","Weather","wheather report","90% chance of precipitation","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-22 16:12:54.667"
"KHARIF","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","Weather","wheather report","90% chance of precipitation","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-22 16:12:57.290"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Weather","wheather report","90% chance of precipitation","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-22 17:12:01.133"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","-Day Weather Forecast for Tarikere









Sunday, 24




82 | 69 °F 

T-storms 


Chance of
Precipitation

80%","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-24 13:36:33.730"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Spices and Condiment Crops","chillies vareity","arka suphal,arka megana ,arka shewtha","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-24 13:46:51.630"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","flower drop in cocont","apply boron 50-80gm/pl","KARNATAKA","CHIKMAGALUR","KADUR                                             ","2014-08-25 11:41:11.950"
"RABI","HORTICULTURE","Plantation Crops","Arecanut","Agriculture Mechanization","arecanut disease","planofix 1ml/4lt of water","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-25 12:38:05.307"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","40%","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-25 13:03:32.967"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","ginger koleroga","Recommended spray of MANCOZEB 2gm/litre of water","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-25 17:40:23.717"
"KHARIF","HORTICULTURE","Fruits","","Agriculture Mechanization","market rate of copra","16500

17400","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-26 07:48:47.953"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","80%","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-26 13:17:00.670"
"KHARIF","AGRICULTURE","Others","Others","Weather","westher report","60% CHANCES OF RAIN IN YOUR TALUK","KARNATAKA","CHIKMAGALUR","CHICKMAGALUR                                      ","2014-08-26 18:45:06.563"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","potato leaf curl","spray dimethoate 1.5m/lt water","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-27 10:28:10.813"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tarikere Weather Forecast","73 | 67 °F 
Rain 
Chance of
Precipitation
80%","KARNATAKA","CHIKMAGALUR","TARIKERE                                          ","2014-08-28 08:50:14.457"
