"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","weather","20% ain fall","KARNATAKA","CHITRADURGA","CHALLAKERE                                        ","2014-08-01 06:20:34.000"
"","HORTICULTURE","Fruits","Pomegranate","Market Information","pomogranate rate","BINNY MILL (F&V) Pomogranate Average 1026 Quintal  4100 5100 4600","KARNATAKA","CHITRADURGA","HOSDURGA                                          ","2014-08-01 06:53:17.000"
"","HORTICULTURE","Flowers","Chrysanthemum","	Plant Protection	","disease","magnesium sulphate, carbendazium at 2g in 1 litre water","KARNATAKA","CHITRADURGA","HOLALKERE                                         ","2014-08-01 07:13:11.000"
"","HORTICULTURE","Fruits","Pomegranate","Bio-Pesticides and Bio-Fertilizers","pomagranate disease + fertilizer","carbondizium 2g/lt of water + 10:26:26 400:200:200 gram per liter","KARNATAKA","CHITRADURGA","CHITRADURGA                                       ","2014-08-01 07:14:18.000"
"","AGRICULTURE","Others","Others","Weather","weather","Overcast 


Chance of
Precipitation

20%","KARNATAKA","CHITRADURGA","HIRIYUR                                           ","2014-08-01 07:36:25.000"
"","AGRICULTURE","Others","Others","Weather","weather","Overcast 


Chance of
Precipitation

20%","KARNATAKA","CHITRADURGA","HIRIYUR                                           ","2014-08-01 08:00:44.000"
"","HORTICULTURE","Vegetables","Onion","	Plant Protection	","onion disease","spot drench with copper oxi chloride-3gram/liter","KARNATAKA","CHITRADURGA","CHITRADURGA                                       ","2014-08-01 08:05:44.000"
"","HORTICULTURE","Vegetables","Onion","","onion fertilizers","apply 25-kgs of urea/acare","KARNATAKA","CHITRADURGA","HOLALKERE                                         ","2014-08-01 08:55:43.000"
"","AGRICULTURE","Others","Others","Weather","Challakere Weather Forecast","10%chance of precipitation","KARNATAKA","CHITRADURGA","CHALLAKERE                                        ","2014-08-01 09:12:29.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","weedicide","hand weeding","KARNATAKA","CHITRADURGA","CHALLAKERE                                        ","2014-08-01 09:14:32.000"
"","AGRICULTURE","Others","Others","Weather","cloudy weather","cloudy weather","KARNATAKA","CHITRADURGA","HIRIYUR                                           ","2014-08-01 09:24:58.000"
"","AGRICULTURE","Others","Others","Weather","weather","cloudy weather","KARNATAKA","CHITRADURGA","HIRIYUR                                           ","2014-08-01 09:28:10.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton weedicide","Spray 2, 4-D-2gram/liter","KARNATAKA","CHITRADURGA","CHITRADURGA                                       ","2014-08-01 09:31:18.000"
"","AGRICULTURE","Others","Others","Weather","weather","Mostly Cloudy 


Chance of
Precipitation

20%","KARNATAKA","CHITRADURGA","CHALLAKERE                                        ","2014-08-01 10:24:32.000"
"","HORTICULTURE","Fruits","Pomegranate","","pomagranate growth improvement","Spray 19 all-2g/liter","KARNATAKA","CHITRADURGA","HOSDURGA                                          ","2014-08-01 10:51:42.000"
"","HORTICULTURE","Vegetables","Onion","	Plant Protection	","pest","dichlorovas at 2ml in 1 litre water","KARNATAKA","CHITRADURGA","CHALLAKERE                                        ","2014-08-01 11:56:59.000"
"","AGRICULTURE","Others","Others","Agriculture Mechanization","dichlorophous","1 1/2 ml per lt of water","KARNATAKA","CHITRADURGA","CHALLAKERE                                        ","2014-08-01 12:07:00.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tamoto calcium deficiency","spray calcium chloride 1.5 gm /liter","KARNATAKA","CHITRADURGA","HOSDURGA                                          ","2014-08-01 13:04:03.000"
"","AGRICULTURE","Others","Others","","weather report","rain 10%","KARNATAKA","CHITRADURGA","HIRIYUR                                           ","2014-08-01 16:25:14.000"
"","HORTICULTURE","Vegetables","Onion","	Plant Protection	","basal rot","•Soil drenching with Copper oxychloride 0.25 %.","KARNATAKA","CHITRADURGA","CHITRADURGA                                       ","2014-08-01 16:48:00.000"
"","AGRICULTURE","Others","Others","Training and Exposure Visits","veternary no.","080-23417100","KARNATAKA","CHITRADURGA","HOSDURGA                                          ","2014-08-01 17:41:22.000"
"","HORTICULTURE","Vegetables","Onion","	Plant Protection	","onion pest","acephate at 2g in 1 litre water","KARNATAKA","CHITRADURGA","CHITRADURGA                                       ","2014-08-02 07:10:18.000"
"","HORTICULTURE","Fruits","Papaya","	Plant Protection	","flower dropping in papaya","planofix at 4ml in 16 litres water","KARNATAKA","CHITRADURGA","HIRIYUR                                           ","2014-08-02 07:46:43.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","cottan development","biozene 2ml/lt of water","KARNATAKA","CHITRADURGA","HOSDURGA                                          ","2014-08-02 08:06:36.000"
"","AGRICULTURE","Others","Others","Weather","Holalkere Weather Forecast","20% Chance of precipitation","KARNATAKA","CHITRADURGA","HOLALKERE                                         ","2014-08-02 08:26:02.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tomato ripening","tricantanol 1.25mg/litre of water","KARNATAKA","CHITRADURGA","HOSDURGA                                          ","2014-08-02 10:18:43.000"
"","AGRICULTURE","Others","Others","Weather","Hosdurga Weather Forecast","10% Chance of precipitation","KARNATAKA","CHITRADURGA","HOSDURGA                                          ","2014-08-02 10:32:05.000"
"","AGRICULTURE","Others","Others","","maize disease","magnesium sulphate 2gm in 1liter water","KARNATAKA","CHITRADURGA","CHITRADURGA                                       ","2014-08-02 10:43:37.000"
"","AGRICULTURE","Others","Others","","Weather report","Weather report –  partly cloudy ..    50 % chance of rain","KARNATAKA","CHITRADURGA","CHITRADURGA                                       ","2014-08-02 11:03:10.000"
"","HORTICULTURE","Vegetables","Onion","	Plant Protection	","fertilizers","urea 50kg per acre","KARNATAKA","CHITRADURGA","HOSDURGA                                          ","2014-08-02 11:15:04.000"
