"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Banana","Agriculture Mechanization","BANANA ORGANIC FERTILIZER","08028466353","KARNATAKA","RAMANAGARA","Ramanagara","2014-09-07 15:25:09.440"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","Day Weather Forecast for Ramanagaram









Tuesday, 9




85 | 67 °F 

Partly Cloudy 


Chance of
Precipitation

20%","KARNATAKA","RAMANAGARA","Magadi","2014-09-09 09:03:12.610"
"KHARIF","HORTICULTURE","Plantation Crops","Arecanut","Government Schemes","MKT REPORT;","TUMKUR

Rashi

Average

12

Quintal 

34069

50009

45109



SHIMOGA

Saraku

Average

11

Quintal 

40089

62986

57100","KARNATAKA","RAMANAGARA","Ramanagara","2014-09-09 14:34:53.443"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","RSK number","080-7261634","KARNATAKA","RAMANAGARA","Channapanta","2014-09-09 19:22:30.150"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","VETARNARY","animal husbandry	080-22866431","KARNATAKA","RAMANAGARA","Kanakapura","2014-09-09 21:35:43.710"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","banana bunchy top","Recommended spray of CONFIDOR  2ml/4litre of water","KARNATAKA","RAMANAGARA","Ramanagara","2014-09-10 17:44:58.033"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","-Day Weather Forecast for Ramanagaram









Friday, 12




88 | 68 °F 

Partly Cloudy 


Chance of
Precipitation

20%","KARNATAKA","RAMANAGARA","Magadi","2014-09-12 11:00:43.080"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton fertilizer","ullala 10ml in 15 liter waetr","KARNATAKA","RAMANAGARA","Channapanta","2014-09-14 10:05:02.670"
"JAYAD","AGRICULTURE","Others","Others","Weather","0836-2447422","0836-2447422","KARNATAKA","RAMANAGARA","Channapanta","2014-09-19 12:01:42.153"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER","chance of rain 50%","KARNATAKA","RAMANAGARA","Magadi","2014-09-19 16:42:11.453"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","FERTILIZER RATE SHOULD TOBE COME DOWN","RSK","KARNATAKA","RAMANAGARA","Kanakapura","2014-09-25 11:35:17.860"
"KHARIF","HORTICULTURE","Vegetables","Beans ","	Plant Protection	","beans seedtreatment","captan","KARNATAKA","RAMANAGARA","Ramanagara","2014-09-27 08:43:12.153"
"KHARIF","AGRICULTURE","Millets","FingerMillet  (Ragi/Mandika)","	Plant Protection	","fingermillet opest","phorate","KARNATAKA","RAMANAGARA","Magadi","2014-09-27 10:52:28.833"
