"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","beans varities","•	BEANS --- K.B.H-1, P.H.G-9","KARNATAKA","TUMKUR","KUNIGAL                                           ","2014-09-03 11:21:56.837"
"RABI","AGRICULTURE","Others","Others","Weather","Chiknayakanhalli Weather Forecast","78 | 68 °F 
Chance of T-storms 
Chance of
Precipitation
50%","KARNATAKA","TUMKUR","CHIKNAYAKANHALLI                                  ","2014-09-04 08:01:38.023"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cvotton disease","magnesuium sulphate 20gm in 1liter water","KARNATAKA","TUMKUR","PAVAGADA                                          ","2014-09-05 08:58:40.710"
"KHARIF","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","pulse crop pest","chloropyiphos 2ml in 1liter water","KARNATAKA","TUMKUR","KUNIGAL                                           ","2014-09-05 09:43:01.667"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","banana pest","chloropyiphos 2ml in  1liter water","KARNATAKA","TUMKUR","TIPTUR                                            ","2014-09-05 10:36:21.350"
"RABI","AGRICULTURE","Others","Others","Weather","Tiptur Weather Forecast","79 | 66 °F 
Chance of T-storms 
Chance of
Precipitation
40%","KARNATAKA","TUMKUR","TIPTUR                                            ","2014-09-05 13:07:18.937"
"KHARIF","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","BANANA FERTILIZER","10:26:26","KARNATAKA","TUMKUR","TIPTUR                                            ","2014-09-06 10:01:48.923"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","Fertilizer Use and Availability","pumpkin","25 days - 30days","KARNATAKA","TUMKUR","TIPTUR                                            ","2014-09-06 13:36:22.920"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","soil testing","KVK","KARNATAKA","TUMKUR","TIPTUR                                            ","2014-09-06 14:42:01.310"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Weather","weather report","Chance of Rain
50% chance of precipitation
Tomorrow","KARNATAKA","TUMKUR","TIPTUR                                            ","2014-09-06 15:11:22.507"
"KHARIF","AGRICULTURE","Pulses","Horse Gram (kulthi/kultha)","Weather","horsegram season","it can taken","KARNATAKA","TUMKUR","PAVAGADA                                          ","2014-09-08 06:36:41.450"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","flower drop in cotton","spray planofix 1m/4lt","KARNATAKA","TUMKUR","SIRA                                              ","2014-09-08 09:45:59.253"
"RABI","AGRICULTURE","Others","Others","Weather","Pavagada Weather Forecast","85 | 68 °F 
Partly Cloudy 
Chance of
Precipitation
10%","KARNATAKA","TUMKUR","PAVAGADA                                          ","2014-09-09 10:04:24.010"
"RABI","HORTICULTURE","Flowers","Tuberose","Seeds and Planting Material","tuberose sowing season","march-april","KARNATAKA","TUMKUR","TURUVEKERE                                        ","2014-09-09 15:24:41.530"
"RABI","AGRICULTURE","Others","Others","Market Information","marketing","Krishi Market No	1800 425 1552","KARNATAKA","TUMKUR","PAVAGADA                                          ","2014-09-09 16:47:52.520"
"RABI","HORTICULTURE","Plantation Crops","Arecanut","Market Information","arecanut market price","CHANNAGIRI Rashi Average 406 Quintal  40099 53019","KARNATAKA","TUMKUR","TUMKUR                                            ","2014-09-09 17:50:47.880"
"RABI","HORTICULTURE","Plantation Crops","Coconut","Market Information","copra market price","ARSIKERE Copra Medium 10 Quintal  18000 18005","KARNATAKA","TUMKUR","TUMKUR                                            ","2014-09-09 17:52:14.990"
"KHARIF","HORTICULTURE","Plantation Crops","Arecanut","	Plant Protection	","arecanut pest","wholes are filled with borodo paste","KARNATAKA","TUMKUR","KORATAGERE                                        ","2014-09-10 10:36:49.660"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","40% CHANCES OF RAIN IN YOUR TALUK","KARNATAKA","TUMKUR","TUMKUR                                            ","2014-09-10 18:15:40.203"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","cotton leaf eatter","spray chloropyrifos 2m/lt","KARNATAKA","TUMKUR","GUBBI                                             ","2014-09-11 07:51:31.537"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","chance of rain 60%","KARNATAKA","TUMKUR","TUMKUR                                            ","2014-09-11 17:03:20.260"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","chance of rain 60%","KARNATAKA","TUMKUR","MADHUGIRI                                         ","2014-09-11 17:28:03.567"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","Credit","ginger varities","suravi","KARNATAKA","TUMKUR","MADHUGIRI                                         ","2014-09-12 18:30:06.030"
