"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","cardamom fungal attack","spray bordeaux mixture","KERALA","IDUKKI","IDUKKI","2014-08-01 12:01:30.000"
"","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","fruit fly attck in bitter gourd","fruit fly attck in bitter gourd 	place fruit trap- take palayamkodan banana cut in to small pieces add tinch of carbo sulphan.","KERALA","IDUKKI","IDUKKI","2014-08-01 17:09:25.000"
"","AGRICULTURE","Others","Others","Weather","contact number of kvk thrissur and wayanad","thrissur krishi vijyan kendra number 0487-2375855, wayanad krishi vijyan kendra number 04936-260411","KERALA","IDUKKI","ADIMALY","2014-08-01 17:36:01.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","cardamom rot","apply 1 % bordeaux mixture","KERALA","IDUKKI","NEDUMKANDOM","2014-08-01 17:51:04.000"
"","HORTICULTURE","Vegetables","Mushroom","Mushroom Production","mushroom training","refer to mushroom training centre ,trivandrum 0471-2388042","KERALA","IDUKKI","IDUKKI","2014-08-01 20:13:34.000"
"","HORTICULTURE","Fruits","Banana","	Plant Protection	","Banana research station","Banana research station,Kannara 0487-2699087","KERALA","IDUKKI","KATTAPPANA","2014-08-02 10:16:11.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","Fertilizer Use and Availability","cardamom fertilizer application","apply 100 gm urea, 100 gm pottash, 200 gm rajphos as two equal split dose","KERALA","IDUKKI","ADIMALY","2014-08-02 17:58:55.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","Training and Exposure Visits","cardamom doubts","please contact Cardamom research station, Pampadumpara, Idukki Ph: 04868 236263","KERALA","IDUKKI","IDUKKI","2014-08-02 18:15:26.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","cardamom -rot","apply bordeaux mixture","KERALA","IDUKKI","IDUKKI","2014-08-03 17:23:20.000"
"","HORTICULTURE","Plantation Crops","Rubber","	Plant Protection	","rubber leaf yellowing","apply bordeaux mixture","KERALA","IDUKKI","ADIMALY","2014-08-03 17:26:24.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","cardamom fungal attack","Spray bordeaux mixture","KERALA","IDUKKI","DEVIKULAM","2014-08-04 11:06:59.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","Cardamom stem borer","spray ekalux 2 ml in 1 litre","KERALA","IDUKKI","NEDUMKANDOM","2014-08-04 11:57:28.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","cardomam -stem rot","apply bordeaux mixture","KERALA","IDUKKI","KATTAPPANA","2014-08-04 18:36:59.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","cardomam -stem rot","apply bordeaux mixture","KERALA","IDUKKI","KATTAPPANA","2014-08-04 18:44:50.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","Cardamom fungal attack","recommended 1 per cent bordeaux mixture( 1:1 ratio of lime and copper sulphate )for spray","KERALA","IDUKKI","THODUPUZHA","2014-08-05 09:39:17.000"
"","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","Banana-Fertiliser application","In first month apply 400 gram factumphos and 120 gram pottash,in second month apply 300 gram factumphos and 100 gram pottash.From 3rd to 5th   apply 60 gram urea and 100 gram potsh.6th month onwards apply 60 gram urea only. •","KERALA","IDUKKI","ADIMALY","2014-08-05 17:22:02.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","Fertilizer Use and Availability","cardamom fertilizer application","100G UREA,200 ROCK PHOSPHATE, 100 G MOP (1 YEAR,APPLY SPLIT DOSES)","KERALA","IDUKKI","NEDUMKANDOM","2014-08-05 21:10:49.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","Cardamom fungal attack","Recommended bordeaux mixture for spray , apply half kilo lime as soil application,100 gram rajphos as soil application","KERALA","IDUKKI","NEDUMKANDOM","2014-08-06 07:49:49.000"
"","AGRICULTURE","Others","Others","	Plant Protection	","Colocasia blight","Recommended Bavistin 1 gram in 1 litre of water drench in soil","KERALA","IDUKKI","ELEMDESAM","2014-08-06 10:26:11.000"
"","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","coconut mite attack","Recommended neemazal 2 ml in 1 litre for spray","KERALA","IDUKKI","KATTAPPANA","2014-08-06 11:41:02.000"
"","HORTICULTURE","Plantation Crops","Rubber","","Contact number of rubber board","Rubber board -0481 2301231 .0481 2380101","KERALA","IDUKKI","ELEMDESAM","2014-08-06 14:20:43.000"
"","AGRICULTURE","Others","Others","","contact  number of Horticulture mission","Horticulture mission  0486 2222428","KERALA","IDUKKI","IDUKKI","2014-08-06 14:23:11.000"
"","HORTICULTURE","Condiments and Spices","Nutmeg","Seeds and Planting Material","Nutmeg- Planting materials","DAS Arikuzha 04862 278599 and  KVK Sathanpara : 04868 247541","KERALA","IDUKKI","THODUPUZHA","2014-08-07 10:58:41.000"
"","HORTICULTURE","Condiments and Spices","Nutmeg","","nutmeg fruit dropping","apply 50 % borax and also apply ash to the basal","KERALA","IDUKKI","NEDUMKANDOM","2014-08-07 19:45:50.000"
"","AGRICULTURE","Others","Others","Seeds","Contact number of Aromatic and Medicinal Plants research station","Recommended 0484-2658221 of Aromatic and Medicinal Plants research station","KERALA","IDUKKI","ADIMALY","2014-08-08 10:27:55.000"
"","AGRICULTURE","Others","Others","","Subsidy	Subsidy details","Please contact nearest krishi bhavan","KERALA","IDUKKI","THODUPUZHA","2014-08-08 11:35:55.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","","Cardamom- Azhukkal","Recommended  bordeaux mixture  or COC  2 gram in one litres","KERALA","IDUKKI","IDUKKI","2014-08-08 12:31:42.000"
"","AGRICULTURE","Others","Others","","Preparation of bordeaux 	.","Dissolve 100 gram of powdered copper sulphate crystals in 5 liters of water. In another 5 liters of water, prepare milk of lime with 100 gram of quick lime. Pour the copper sulphate solution into the milk of lime slowly stirring the mixture all the while","KERALA","IDUKKI","NEDUMKANDOM","2014-08-08 17:20:38.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","cardamom fungal attack","Recommended bordeaux mixture","KERALA","IDUKKI","IDUKKI","2014-08-09 10:08:16.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","Cardamom fungal attack","Recommended bordeaux mixture for spray","KERALA","IDUKKI","IDUKKI","2014-08-09 11:45:45.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","Cardamom urea foliar spray application","Recommended 2 gram of urea in 1 litre of water","KERALA","IDUKKI","NEDUMKANDOM","2014-08-09 13:03:33.000"
"","AGRICULTURE","Others","Others","Government Schemes","To get farm licence","refer to nearest krishi bhavan","KERALA","IDUKKI","IDUKKI","2014-08-09 19:30:37.000"
"","HORTICULTURE","Condiments and Spices","Pepper","	Plant Protection	","pepper fungus attack","apply 1% bordeaux mixture","KERALA","IDUKKI","IDUKKI","2014-08-09 21:55:37.000"
"","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","Dilution of panjakavya","Recommended to dilute 1 litre of panjakavya in 10 litres of water","KERALA","IDUKKI","IDUKKI","2014-08-10 10:19:05.000"
"","HORTICULTURE","Fruits","Banana","Seeds and Planting Material","Banana udayam planting material availability","Recommended to call in help line 18001801551 using tamil nadu regestration sim","KERALA","IDUKKI","THODUPUZHA","2014-08-10 10:30:47.000"
"","HORTICULTURE","Condiments and Spices","Pepper","	Plant Protection	","Pepper fungal attack","Recommended saaf 2 gram in 1 litre of water to spray","KERALA","IDUKKI","KATTAPPANA","2014-08-10 12:46:53.000"
"","HORTICULTURE","Condiments and Spices","Nutmeg","	Plant Protection	","pest attack in nutmeg","apply malathion 2ml/ 1 litre","KERALA","IDUKKI","THODUPUZHA","2014-08-10 20:36:17.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","cardamom leaf spot","apply coc 2g/ 1 litre water","KERALA","IDUKKI","IDUKKI","2014-08-10 20:43:18.000"
"","HORTICULTURE","Fruits","Banana","Fertilizer Use and Availability","banana bunch development","Apply mixture of pottassium sulphate 20 gm per 1 litre water- 2nd and 4th week after bunch formation.Apply mixture of starch water  with water in a ratio of 1:1 after 2 months.","KERALA","IDUKKI","THODUPUZHA","2014-08-10 21:02:58.000"
"","HORTICULTURE","Condiments and Spices","Cardamom","	Plant Protection	","Cardamom fungal attack","Recommended copper oxychloride 2.5 gram in 1 litre for spray","KERALA","IDUKKI","KATTAPPANA","2014-08-11 10:03:20.000"
