"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","foliar spray in cotton?","spray of water soluble fertilizer NPK 19:19::19 @     100 g   /pump","MADHYA PRADESH","DHAR","MANAWAR                                           ","2014-08-01 09:11:46.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","wilt control in cotton?","Tricoderma  viride 2.5 kg/ha mix in 50 kg FYM/acre , sprinkered with water and cover with polythein and apply after 2 days when proper moisture in field","MADHYA PRADESH","DHAR","MANAWAR                                           ","2014-08-01 09:14:52.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","How we control Chilli mosaic ?","Spray of OxyDematon Methyl 25% EC @ 25-30  ML./pump..","MADHYA PRADESH","DHAR","KUKSHI                                            ","2014-08-01 09:30:51.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","farmer want to know information about how to control defoliators in soybean?","to control defoliators Spray any one of the following insecticides in the initial stage of infestation 
 Indoxacarb 14.5 % SC @ 10-12ml /pump
  Deltamethrin 2.8 EC@ 750 ml Spray per ha.
  Cveenalfos 25 EC@ 1000 ml Spray per ha.","MADHYA PRADESH","DHAR","DHAR                                              ","2014-08-01 09:59:18.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","Want to control of gardle beetle in soyabean ?","Spray of Quinalphos @ 40 ML./pump..","MADHYA PRADESH","DHAR","DAHI                                              ","2014-08-01 12:49:35.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Agriculture Mechanization","Farmer want to information weed control in soyabean crop?","Spray of targa super(quezalofop ethyl)400ml/acre or persuit (imezathaper) 300 ml/acre.","MADHYA PRADESH","DHAR","SARDARPUR                                         ","2014-08-01 13:09:01.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Market Information","where from get agril . govt. subsidy .?","contact to raeo ,rheo , sado agril depptt .","MADHYA PRADESH","DHAR","SARDARPUR                                         ","2014-08-01 14:15:44.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Nutrient Management","chilliflowering problem ?","spray projibb @ 1 gm / 100 liter .","MADHYA PRADESH","DHAR","SARDARPUR                                         ","2014-08-01 14:18:20.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","farmer want to know information about How to control of fungal attack in chilly crop ?","Use copper oxy chloride  50% w  45 gram and steptrocyclin  90% w/w 2 gram at 15 liter of water","MADHYA PRADESH","DHAR","MANAWAR                                           ","2014-08-01 14:27:36.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","til variety >?","uma , rama , tkg-22,55,","MADHYA PRADESH","DHAR","GANDHWANI                                         ","2014-08-01 14:29:47.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","how to increase growth of cotton ?","foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","MADHYA PRADESH","DHAR","KUKSHI                                            ","2014-08-01 15:36:44.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Cultural Practices","Q;- Farmer Want To Know Information About Variety Of Chillies ?","Pusa Gyoula, Kiran ,Surya ,Jawaha Mirch -218, 283 ,Arka Gou                                                          Rav ,Pusa Sadabahar, Pusa Jwala, Ankur A.R.C.H.32,2239,226,82,19,2121,930,Hybrid Are The Varieties Of Chillies","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-08-01 15:47:43.000"
"","AGRICULTURE","Others","Others","Market Information","I want number resister in mandi rate ?","your number has been registered for mandi rate .","MADHYA PRADESH","DHAR","MANAWAR                                           ","2014-08-01 15:48:33.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Government Schemes","where from get agril . govt. subsidy .?","contact to raeo ,rheo , sado agril depptt .","MADHYA PRADESH","DHAR","BADNAWAR                                          ","2014-08-01 15:57:42.000"
"JAYAD","AGRICULTURE","Pulses","Black Gram (urd bean)","Seeds","farmer wants to information of variety of black gram?","variety of black gram- jawahar udad-2, Jawahar udad-3.pant udad-30.","MADHYA PRADESH","DHAR","NALCHHA                                           ","2014-08-01 16:01:24.000"
"JAYAD","HORTICULTURE","Vegetables","Cluster Bean","	Plant Protection	","weeds control in gwar> ?","spray pursuit @ 300 ml / acre","MADHYA PRADESH","DHAR","DAHI                                              ","2014-08-01 16:03:33.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","farmer want to know information about How to control aphid in chillies crop?","Spray of imidaclorprid 17.8%SL 5 to 6 ml per pump.","MADHYA PRADESH","DHAR","MANAWAR                                           ","2014-08-01 16:12:55.000"
"","AGRICULTURE","Others","Others","","Farmer want to know information about  kvk contact no ?","Dr. K.P. Asathi 
Programme Coordinator 
Krishi Vigyan Kendra 
Post Box No. 18  
Distt. Dhar
  - 
454001  
07292-
223351","MADHYA PRADESH","DHAR","DHAR                                              ","2014-08-01 16:27:34.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","how to control chillies crop pest ?","Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac. Rate of spray.","MADHYA PRADESH","DHAR","MANAWAR                                           ","2014-08-01 16:36:20.000"
