"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Bio-Pesticides and Bio-Fertilizers","TO CONTROL ATTACK OF WILT IN CHILLI CROP","DRENCHING OF REDOMIL GOLD 30 GM IN 10 LTR OF WATER TO CONTROL ATTACK OF WILT IN CHILLI CROP","MAHARASHTRA","AHMADNAGAR","KARJAT                                            ","2014-10-01 08:00:21.217"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","attack of sucking pest on cotton ?","spray karate 15 ml + actra 5gm / 15 liter of water for sucking pest on cotton","MAHARASHTRA","AHMADNAGAR","JAMKHED                                           ","2014-10-01 08:36:43.817"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","seed process onion ?","thiram 4.5 gm/1 kg seed","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2014-10-01 08:52:29.253"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","Fertilizer Dose –","spary 0:0:50 40 gram/15lit of water/Spray 00-52-34 30gm/15lit of water.","MAHARASHTRA","AHMADNAGAR","PARNER                                            ","2014-10-01 09:18:35.967"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS diActivation?","YOUR REGISTRATION PROCESS IS SUCCESSFULLY stop","MAHARASHTRA","AHMADNAGAR","PATHARDI                                          ","2014-10-01 09:38:34.823"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","asked about sms activation","your registration procedure activation","MAHARASHTRA","AHMADNAGAR","SHRIRAMPUR                                        ","2014-10-01 09:44:32.317"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKED ABOUT REGISTRATION FOR SMS SERVICE","YOUR NUMBER IS SUCCESSFULLY REGISTERED FOR SMS SERVICE","MAHARASHTRA","AHMADNAGAR","KOPARGAON                                         ","2014-10-01 09:47:59.620"
"RABI","AGRICULTURE","Others","Others","Government Schemes","ASKED ABOUT SMS ACTIVATION?","sms scheme is activated on your mobile number","MAHARASHTRA","AHMADNAGAR","NEVASA                                            ","2014-10-01 11:10:18.527"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report?","cloudy weather , chances of light no rainfall","MAHARASHTRA","AHMADNAGAR","RAHATA                                            ","2014-10-01 11:35:26.973"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","BLIGHT ON TOMATO","BLIGHT ON TOMATO  - SAF 30 GM /15 LITER WATER SPRAY","MAHARASHTRA","AHMADNAGAR","AKOLE","2014-10-01 12:28:08.743"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","regarding registration of kisan sms scheme","your registration for kisan sms portal is successful","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2014-10-01 12:45:29.913"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Seeds and Planting Material","variety ?","apurva , everast , savitri","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2014-10-01 12:48:12.527"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","asked about flower development","spraying of boomflower 30 ml/15 lit weter","MAHARASHTRA","AHMADNAGAR","KOPARGAON                                         ","2014-10-01 12:49:58.380"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Disease Attack- Blight?","Spray Bavistine 30gm/15lit of Water.","MAHARASHTRA","AHMADNAGAR","KOPARGAON                                         ","2014-10-01 12:57:24.633"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast information?","possibility of light rainfall.","MAHARASHTRA","AHMADNAGAR","RAHURI                                            ","2014-10-01 13:03:29.927"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","Caterpillar Attack-","Spray Coragen 5ml/15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","SHEVGAON                                          ","2014-10-01 13:43:21.100"
"KHARIF","AGRICULTURE","Others","Others","Weather","what is weather condition in ahmadnagar district ?","Cloudy weather not  possibility of light rain","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2014-10-01 14:34:53.337"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","BLACK SPOT ON TOMATO?","Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","AKOLE","2014-10-01 14:35:01.650"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked about SMS scheme activation","Your registration for SMS scheme is activated.","MAHARASHTRA","AHMADNAGAR","KARJAT                                            ","2014-10-01 14:38:09.723"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked about SMS activation?","Your SMS activation done sucessfully.","MAHARASHTRA","AHMADNAGAR","SHEVGAON                                          ","2014-10-01 14:39:25.360"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","cloudy weather","MAHARASHTRA","AHMADNAGAR","NEVASA                                            ","2014-10-01 14:40:54.940"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKED ABOUT SMS ACTIVATION?","sms scheme is activated on your mobile number","MAHARASHTRA","AHMADNAGAR","NEVASA                                            ","2014-10-01 14:41:30.250"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKED ABOUT SMS ACTIVATION?","sms scheme is activated on your mobile number","MAHARASHTRA","AHMADNAGAR","NEVASA                                            ","2014-10-01 14:43:43.730"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","cloudy weather","MAHARASHTRA","AHMADNAGAR","NEVASA                                            ","2014-10-01 14:46:03.770"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked About Weather report ?","Partly cloudy and no possibility of rain","MAHARASHTRA","AHMADNAGAR","NEVASA                                            ","2014-10-01 14:46:18.727"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","weather ?","Partly cloudy, possibility of light  rain","MAHARASHTRA","AHMADNAGAR","AKOLE","2014-10-01 15:38:07.950"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Bio-Pesticides and Bio-Fertilizers","sugarcane sets treatment","dip sets for 10-15 min in malathion 300 ml + 100 gm bavistin / 100 lit water  & ACETOBACTER 10 KG + PSB 1.25 KG / 100 LIT WATER ACETOBACTER 10 KG + PSB 1.25 KG / 100 LIT WATER","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2014-10-01 15:54:48.413"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","cloudy weather","MAHARASHTRA","AHMADNAGAR","JAMKHED                                           ","2014-10-01 15:55:04.907"
"RABI","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","redning of leaves","mgso4 75 gm+urea 100 gm+13-0-45 75 gm/15 liter of watef","MAHARASHTRA","AHMADNAGAR","RAHURI                                            ","2014-10-01 16:14:43.680"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","control of blight attack","spraying of ridomil gold 25 gm / 15 liter water","MAHARASHTRA","AHMADNAGAR","RAHATA                                            ","2014-10-01 16:18:14.803"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","blight on soyabean ?","Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","KOPARGAON                                         ","2014-10-01 16:22:29.287"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","weather ?","light  cloudy weather","MAHARASHTRA","AHMADNAGAR","AKOLE","2014-10-01 16:27:55.017"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","Attack of Blight?","Spray Bavistine 30gm + Humic Acid 30ml/15 Lit of Water Drenching.","MAHARASHTRA","AHMADNAGAR","JAMKHED                                           ","2014-10-01 16:42:39.273"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attact of White fly ?","Sprey Pegasus 25 gm or Acetamapride 10 gm or Polo 25 gm / 15 lit of water","MAHARASHTRA","AHMADNAGAR","RAHATA                                            ","2014-10-01 16:45:59.110"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","Cloudy weather, possibility of low rainfall.","MAHARASHTRA","AHMADNAGAR","NAGAR                                             ","2014-10-01 16:49:13.570"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","Attack of White Fly?","Spray Metador 25 ml / 15 lit of water","MAHARASHTRA","AHMADNAGAR","AKOLE","2014-10-01 16:51:22.767"
"KHARIF","HORTICULTURE","Vegetables","Leafy Vegetable","	Plant Protection	","for growth of leaf vegetable?","spray 19:19:19 50 gram + microlla 30 mili + humic acid 30 mili + radomild gold 30 gram in 15 lit of water","MAHARASHTRA","AHMADNAGAR","RAHURI                                            ","2014-10-01 17:06:03.433"
"KHARIF","HORTICULTURE","Vegetables","Onion","Market Information","onion market rate","onion market rate -600-1500 rs / qit","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2014-10-01 17:06:10.557"
"KHARIF","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","attack pest  info.","Spray Coragen 5ml/15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","SHRIGONDA                                         ","2014-10-01 17:23:41.883"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attack of aphids /jassids on cotton","Spray of actra 10 gm or admire 4 gm + dhanzyme gold 30 ml per pump on cotton","MAHARASHTRA","AHMADNAGAR","PATHARDI                                          ","2014-10-01 17:25:56.233"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","attack of karpa?","Spray Redomil Gold 30gm/15Lit of Water.","MAHARASHTRA","AHMADNAGAR","SHRIGONDA                                         ","2014-10-01 17:26:31.250"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","yellowing of leaves","Tilt 10 ml + Microla 30 ml / 15 lit of water","MAHARASHTRA","AHMADNAGAR","KOPARGAON                                         ","2014-10-01 17:29:08.147"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","anar butterfly ?","use of pheromen trap","MAHARASHTRA","AHMADNAGAR","SANGAMNER                                         ","2014-10-01 17:40:11.160"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Leaf Eating Caterpillar?","Spray Proclaim 5gm/15lit of Water.","MAHARASHTRA","AHMADNAGAR","PARNER                                            ","2014-10-01 17:53:32.997"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","weedicide in cotton ?","use of weedicide hitweed","MAHARASHTRA","AHMADNAGAR","AKOLE","2014-10-01 17:54:13.087"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather of shrigonda ?","cloudy weather  condition","MAHARASHTRA","AHMADNAGAR","SHRIGONDA                                         ","2014-10-01 17:56:38.180"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","flower drop ?","SprayPlano fix5ml/15 Lit of Water.","MAHARASHTRA","AHMADNAGAR","JAMKHED                                           ","2014-10-01 18:16:36.430"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","AHMADNAGAR","AKOLE","2014-10-01 18:33:42.553"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","cloudy weather","MAHARASHTRA","AHMADNAGAR","SHRIRAMPUR                                        ","2014-10-01 18:42:57.980"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","Fertilizer Use and Availability","FERTILIZER FOR CUCUMBER","FERTILIZER FOR CUCUMBER  - 0;52;34 3 KG /ACRE","MAHARASHTRA","AHMADNAGAR","RAHURI                                            ","2014-10-01 19:13:14.263"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","Fertilizer Use and Availability","FERTILIZER FOR CUCUMBER","FERTILIZER FOR CUCUMBER  - 0;52;34 3 KG /ACRE","MAHARASHTRA","AHMADNAGAR","RAHURI                                            ","2014-10-01 19:13:27.680"
