"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","flower drop in cotton ?","flower drop in cotton- spray planofix 5ml+ boron 20gm / 15 liter of water","MAHARASHTRA","AKOLA","BARSHITAKLI                                       ","2014-09-02 15:36:05.307"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","AKOLA","MURTIJAPUR                                        ","2014-09-02 16:41:44.887"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","attack of whitefly on cotton ?","spray actra 5gm + M-45 30gm / 15 liter of water for controlling whitefly on cotton","MAHARASHTRA","AKOLA","AKOLA                                             ","2014-09-02 17:31:39.693"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked about SMS activation?","Your SMS activation done sucessfully.","MAHARASHTRA","AKOLA","BALAPUR                                           ","2014-09-03 12:26:03.907"
"KHARIF","AGRICULTURE","Others","Others","Weather","asked about weather","cloudy weather with light rains","MAHARASHTRA","AKOLA","TELHARA                                           ","2014-09-04 07:26:38.353"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","CURLING LEAF OF CTTON?","SPRAY ACTRA 5 GM + REDOMILE GOLD 30 GM/15 LITER WATER","MAHARASHTRA","AKOLA","MURTIJAPUR                                        ","2014-09-04 07:28:17.113"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked about  Weather Report ?","Partly cloudy and  Possiblility of  light rain","MAHARASHTRA","AKOLA","AKOLA                                             ","2014-09-04 07:28:58.970"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","Bio-Pesticides and Bio-Fertilizers","TO CONTROL YELLOWING IN SOYABEAN CROP","SPRAY 2 % UREA MEANS 200 GM UREA IN 10 LTR OF WATER TO CONTROL YELLOWING IN SOYABEAN CROP","MAHARASHTRA","AKOLA","TELHARA                                           ","2014-09-04 07:45:57.123"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER INFORMATION","CLOUDY ATMOSPHERE WITH LITTLE CHANCES OF RAIN FOR 3-4 DAYS, THANK YOU.","MAHARASHTRA","AKOLA","AKOLA                                             ","2014-09-04 10:16:07.900"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKED ABOUT REGISTRATION FOR SMS SERVICE","YOUR NUMBER IS SUCCESSFULLY REGISTERED FOR SMS SERVICE","MAHARASHTRA","AKOLA","MURTIJAPUR                                        ","2014-09-04 11:27:14.360"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","size improvement of of cotton?","spray 00:00:50 60 gm + microlla 30 ml / 15 lit of water","MAHARASHTRA","AKOLA","AKOT                                              ","2014-09-04 11:42:37.360"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Field Preparation	","ASKED ABOUT SOYBEAN FERTILIZER DOSES ?","00.52.34+ MICROLLA SPRAYING.","MAHARASHTRA","AKOLA","AKOT                                              ","2014-09-04 12:24:06.010"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","AKOLA","BALAPUR                                           ","2014-09-04 12:34:18.197"
