"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Nutrient Management","fertilizer dose for pomegranate ?","give cow dung + singal supar phosphet 500gm /plant","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-10-01 08:17:20.640"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Report ?","Partly cloudy, possibility with light  rain.","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-10-01 08:28:10.380"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-10-01 08:51:53.163"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER FORCAST?","Weather is partly cloudy,no possiblity of  rainfall.","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 09:19:54.743"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","aphids attack on cotton?","Actra 5 Gram / 15 Liter Water","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-10-01 09:26:01.043"
"KHARIF","HORTICULTURE","Condiments and Spices","Garlic","	Plant Protection	","asked about ginger blight","spraying of score or kawach and 19 ;19;19","MAHARASHTRA","AURANGABAD","KHULTABAD","2014-10-01 10:03:12.543"
"KHARIF","AGRICULTURE","Others","Others","Weather","asked about weather","posibility of light rains","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-01 10:27:59.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","todays weather condition in is phulambri","todays weather condition in is phulambri is mostly clear weather","MAHARASHTRA","AURANGABAD","PHULAMBRI                                         ","2014-10-01 10:40:33.177"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","Caterpillar Attack-","Spray Coragen 5ml/15 Lit of Water.","MAHARASHTRA","AURANGABAD","KANAND","2014-10-01 10:44:08.607"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Fertilizer Use and Availability","fertilizers","microla","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 10:48:46.677"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report?","cloudy weather , chances of light no rainfall","MAHARASHTRA","AURANGABAD","SILLOD                                            ","2014-10-01 11:55:40.020"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Asking about Weather Forecast ?","Partly cloudy weather and possibility of light rain.","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-01 12:24:27.457"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLKOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 12:42:36.537"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report?","cloudy weather , chances of light no rainfall","MAHARASHTRA","AURANGABAD","PAITHAN                                           ","2014-10-01 12:42:37.873"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","attack of sucking pest on cotton ?","spray actra 5gm / 15 liter of water for controlling sucking pest on cotton ?","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 12:52:09.510"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","spray for flowering of cotton","spray for flowering of cotton - spray boom flower 30 ml + 00:52:34 60 gm + microla 30 ml / 15 lit of water","MAHARASHTRA","AURANGABAD","SILLOD                                            ","2014-10-01 15:24:15.233"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","Cloudy weather, possibility of low rainfall.","MAHARASHTRA","AURANGABAD","PHULAMBRI                                         ","2014-10-01 15:36:38.843"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Asked About SMS Activation?","Your SMS Registration process successfully completed.","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 15:39:08.270"
"KHARIF","HORTICULTURE","Fruits","Mosambi","Market Information","mosambi market rate?","Commodity :MOSAMBI                                                          Rate Per Unit in Rs. 

 


Date

Variety

APMC

Unit

Quantity

HRate

LRate

Average

1/10/14 ---- NAGPUR QUINTAL 5842 2200 900 1550 
   --''-- ---- AURANGABAD QUINTAL 244 2600 1000 1800 
   --''-- ---- SHRIRAMPUR  QUINTAL 6 2000 1500 1750 
   --''-- LOCAL MUMBAI QUINTAL 3020 3000 1800 2400","MAHARASHTRA","AURANGABAD","KANAND","2014-10-01 15:51:44.290"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather Forecast?","Cloudy weather, possibility of low rainfall.","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-01 15:52:31.487"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ATTACK OF SDUCKING PEST ON COTTON CROP?","Spray Pegasus 25 gm/ 15 lit of water","MAHARASHTRA","AURANGABAD","SILLOD                                            ","2014-10-01 15:53:07.103"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","fertilizers of cotton ?","spray of 191919 60gm+microla 30ml/pump","MAHARASHTRA","AURANGABAD","PHULAMBRI                                         ","2014-10-01 15:58:37.270"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather of sillod ?","cloudy and there are least chances of rains.","MAHARASHTRA","AURANGABAD","SILLOD                                            ","2014-10-01 16:08:31.327"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","fertilizer info.","00;52;34 wapar kara","MAHARASHTRA","AURANGABAD","PHULAMBRI                                         ","2014-10-01 16:16:21.230"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","Partly cloudy and no possibility of rain","MAHARASHTRA","AURANGABAD","SILLOD                                            ","2014-10-01 16:19:28.783"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","Ask About Registration?","Registration  Successfully.","MAHARASHTRA","AURANGABAD","SILLOD                                            ","2014-10-01 16:22:16.970"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","thrips on cotton?","Spray Tracer 30 ml / 15 lit of water","MAHARASHTRA","AURANGABAD","SILLOD                                            ","2014-10-01 16:24:09.727"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attack of Sucking Pest ?","Spray Pegasus 25 gm/ 15 lit of water","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-01 16:28:54.847"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","Asked About SMS ?","Your Registration process successfully completed.","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-01 16:41:16.367"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information about aurangabad?","Mostly clear
Feels Like: +34°
Barometer: 1007.4 hPa 
Dewpoint: +18°
Humidity: 37%
Visibility: 4 km
As of 01/10 02:30 pm","MAHARASHTRA","AURANGABAD","KHULTABAD","2014-10-01 16:45:55.197"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","leaves srop","application of ethrel","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-01 17:06:06.820"
"KHARIF","AGRICULTURE","Others","Others","Weather","Todays weather condition in gangapur","Todays weather condition in gangapur is mostly clear","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-01 17:12:06.260"
"RABI","HORTICULTURE","Vegetables","Onion","Market Information","market rate of onion","800-1000 rs/qn","MAHARASHTRA","AURANGABAD","KHULTABAD","2014-10-01 17:33:22.340"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","control of blight attack ?","spraying of score + kavach","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-01 17:36:16.080"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather condition","weather condition- cloudy weather","MAHARASHTRA","AURANGABAD","KANAND","2014-10-01 17:42:40.453"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","sucking pest attack on cotton ?","spray rejint 30 ml + bavistin 30 ml /15 litar water","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 17:43:36.203"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Weather Report of paithan ?","Partly cloudy,  not possibility  light  rain.","MAHARASHTRA","AURANGABAD","KHULTABAD","2014-10-01 17:45:59.740"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","Attack of White Fly?","Spray Metador 25 ml / 15 lit of water","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 18:17:50.100"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","weather information-cloudy weather , no rainfool","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-01 18:24:12.290"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forcast?","aplayakade pavasachi shakyata nahi","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 18:47:58.987"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","attack of sucking pest on cotton crop?","Spray Pegasus 25 gm/ 15 lit of water","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 18:52:22.817"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked about Weather report ?","Partly claudy, Chances of rain after 5 sept","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-01 18:56:00.657"
"JAYAD","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","root rot  in ginger?","Drenching of  Redomil Gold 30gm/15Lit of Water.","MAHARASHTRA","AURANGABAD","KHULTABAD","2014-10-01 19:00:48.040"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forcst?","aplayakade pavasachi shakyata nahi","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 19:11:12.950"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","Partly Cloudy","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 19:12:06.433"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","flower increase ?","Spray Boomflower 20ml/15lit of Water.","MAHARASHTRA","AURANGABAD","PHULAMBRI                                         ","2014-10-01 20:00:38.660"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","sms activation","sms activation process completed","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-01 20:27:00.807"
"RABI","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-01 20:58:11.447"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Asking about weather forecast ?","Partly cloudy, No Possibility of Rain","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 21:06:37.583"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORAMTION","CLOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-01 21:13:52.187"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","control of sucking pest attack","??????? ? ????? / ?? ???? ??????? ?????","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-01 21:16:03.310"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER , NO RAIN CHANCES","MAHARASHTRA","AURANGABAD","KHULTABAD","2014-10-02 07:21:15.327"
"RABI","AGRICULTURE","Others","Others","Weather","Asked About Weather report ?","Clear
Precip chance: 2%
Humidity: 63%","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-02 07:27:24.560"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Report?","Partly cloudy weather and light rain","MAHARASHTRA","AURANGABAD","KANAND","2014-10-02 07:50:53.150"
"KHARIF","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","ASKED ABOUT FERTILIZER FOR ONION CROP","2 BAG 10:26:26 WITH 25 KG UREA PER ACRE FERTILIZER FOR ONION CROP","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-02 08:20:25.143"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","fangi on ginger","blue copper 30 gm/ 15 liter water spray","MAHARASHTRA","AURANGABAD","KANAND","2014-10-02 08:20:38.940"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","fangi on ginger","blue copper 30 gm/ 15 liter water spray","MAHARASHTRA","AURANGABAD","KANAND","2014-10-02 08:20:52.450"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","GROWTH SPRAY----","GROWTH SPRAY----00:52:34 ---60 GRAM + MICROLA 40 ML IN 15 LIT OF WATER","MAHARASHTRA","AURANGABAD","SOEGAON                                           ","2014-10-02 08:29:10.973"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:29:36.167"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:29:49.570"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:30:02.937"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:30:16.410"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:30:29.623"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:30:42.857"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:30:56.027"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:31:09.383"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:31:22.787"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:31:36.077"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:31:49.473"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:32:02.743"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:32:16.190"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:32:29.860"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:32:44.230"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer for POMEGERENATE","fertilizer for POMEGERENATE  - 0;52;34 40 GM /15 LITER WATER SPRAY","MAHARASHTRA","AURANGABAD","AURANGABAD                                        ","2014-10-02 08:32:57.623"
"RABI","HORTICULTURE","Vegetables","Chillies","Fertilizer Use and Availability","Fertilizer Dose –","spary 19 :19:19 40 gram +	Spray Microlla 30 ml/15 Lit of Water.","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-02 08:42:13.390"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","fungs attak?","????????? ???? - ???????????? ?.? ???? + ??????? ???  ?? ?????/ 15 ???? ??????????? ???? ?????? ?????.","MAHARASHTRA","AURANGABAD","GANGAPUR","2014-10-02 08:42:39.983"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weather","Thrips Attack ?","Spray Actra 5 gm/15 Lit of Water.","MAHARASHTRA","AURANGABAD","VAIJAPUR                                          ","2014-10-02 09:01:40.897"
