"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","Nutrient Management","ASKED FOR THE GROWTH OF CAULIFLOWER CROP","SPRAY 19:19:19 100 GM WITH MICROLLA 30 ML IN 10 LTR OF WATER FOR THE GROWTH OF CAULIFLOWER CROP","MAHARASHTRA","GONDIYA","GONDIA                                            ","2014-09-04 08:12:20.557"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ATTACK OF STEM BORER ON PADDY","STEM BORER ON SUGARCANE  - Apply Bacillus thuringiensis var kurstaki and neem seed kernel extract in the combination of 2.5 kg/ml and 1% to reduce the oviposition by the stem borer. Spray monocrotophos 36 SL @ 1000 ml/ha (or) CHLOROPYRIPHOS 25 EC @ 1000 ml/ha OR MARSHAL 30 ML .","MAHARASHTRA","GONDIYA","ARJUNI MORGAON                                    ","2014-09-05 11:35:29.577"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Leaf Eating Caterpillar ?","Spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","GONDIYA","GOREGAON                                          ","2014-09-06 11:13:55.740"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Report ?","cloudy weather light chance of rainfall","MAHARASHTRA","GONDIYA","AMGAON                                            ","2014-09-06 13:10:09.380"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Blight Attack?","Spray M-45 25 gm/15 Lit of Water","MAHARASHTRA","GONDIYA","GONDIA                                            ","2014-09-06 18:52:57.053"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","TO CONTROL ATTACK OF STEM BORER IN PADDY CROP","SPRAY CHLOROPYRIPHOS 25 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF STEM BORER IN PADDY CROP","MAHARASHTRA","GONDIYA","GONDIA                                            ","2014-09-08 06:20:52.507"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","caterpiller attack on paddy?","spray Chloropyriphos 30ml / 15 litre water","MAHARASHTRA","GONDIYA","GOREGAON                                          ","2014-09-08 19:01:14.413"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Aphids Attack ?","Spray Karate10ml + Actra 5 gm/15 Lit of Water.","MAHARASHTRA","GONDIYA","GONDIA                                            ","2014-09-09 16:55:13.307"
"KHARIF","AGRICULTURE","Others","Others","Market Information","Farmer has requested to start SMS service on his mobile","The registration is completed on his mobile","MAHARASHTRA","GONDIYA","GONDIA                                            ","2014-09-09 19:45:14.993"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","thrips on bitter  gourd?","Spray Actra 5 gm/15 Lit of Water","MAHARASHTRA","GONDIYA","SALEKASA                                          ","2014-09-10 13:44:26.797"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","blight on paddy?","Spray Redomil Gold 30gm/15Lit of Water","MAHARASHTRA","GONDIYA","TIRORA","2014-09-10 20:10:29.797"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER OF PADDY ?","Spray Nuwan 20ml/15Lit of Water.","MAHARASHTRA","GONDIYA","TIRORA","2014-09-10 20:29:14.557"
"KHARIF","AGRICULTURE","Others","Others","Weather","Ask about Weather Forecast?","possible thunderstorms with rain.","MAHARASHTRA","GONDIYA","GOREGAON                                          ","2014-09-12 07:21:43.260"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER?","SPRAYING of Chloropyriphos 20 ml / 15 lit of water.","MAHARASHTRA","GONDIYA","ARJUNI MORGAON                                    ","2014-09-12 12:21:56.510"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ATTACK OF SHOOT BORER?","Spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","GONDIYA","GOREGAON                                          ","2014-09-13 10:57:55.363"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","fertilizer on paddy ?","Spray Bavistine 30gm + 19:19:19  + microla /15lit of Water.","MAHARASHTRA","GONDIYA","DEORI                                             ","2014-09-13 16:01:59.780"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Disease Attack- Blight Attack?","Spray Bavistine 30gm/15lit of Water.","MAHARASHTRA","GONDIYA","ARJUNI MORGAON                                    ","2014-09-13 19:18:31.057"
