"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","wilting of cotton plants ?","drenching bavistin 30gm + humic acid 30ml / 15 liter of water for cotton","MAHARASHTRA","HINGOLI","KALAMNURI                                         ","2014-09-02 16:06:34.633"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","Market Information","MK RATE OF TURMERIC CROP","MKT RATE OF TURMERIC CROP IS 5800-6995 RS QTL FOR BASMAT MKT.","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-09-03 12:31:21.400"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","ROOT ROT IN COTTON?","BLUE COPPAR 30ml/15 Lit of Water Drenching.","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-09-03 14:33:53.927"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER INFORMATION","CLOUDY ATMOSPHERE WITH LITTLE CHANCES OF RAIN FOR 3-4 DAYS, THANK YOU.","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-09-04 06:37:57.957"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER INFORMATION","CLOUDY ATMOSPHERE WITH LITTLE CHANCES OF RAIN FOR 3-4 DAYS, THANK YOU.","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-09-04 06:37:57.957"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Bio-Pesticides and Bio-Fertilizers","TO CONTROL ATTACK OF THRIPS ON COTTON CROP","SPRAY REEGENT 20 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF THRIPS ON COTTON CROP","MAHARASHTRA","HINGOLI","HINGOLI                                           ","2014-09-04 10:34:56.583"
"KHARIF","HORTICULTURE","Condiments and Spices","Turmeric","	Plant Protection	","yellowing of turmeric","humic acid 25 ml + m -45 25 gram + 19:19:19 - drnching","MAHARASHTRA","HINGOLI","BASMAT","2014-09-04 11:07:58.730"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","flower  drop of cotton?","Spray Plano fix 5ml/15 Lit of Water.","MAHARASHTRA","HINGOLI","BASMAT","2014-09-04 11:44:27.330"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","asked about cotton sucking pesy attak ?","Chloropyriphos 30ml + Sprey Metador 25 ml+ Spray Bavistine 30gm/15lit of Waterspraying.","MAHARASHTRA","HINGOLI","AUNDHA  NAGNATH","2014-09-04 12:54:54.973"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","asked about attack of sucking pest on cotton crop?","spray asifet 20 gram /15 lit of water to control sucking pest.","MAHARASHTRA","HINGOLI","BASMAT","2014-09-05 07:23:21.953"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","Leaf Eating Caterpillar","Spray Proclaim 5gm/15lit of Water.","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-09-05 07:24:32.710"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asked About  Weather Report ?","weather , possibility of Light  rainfall","MAHARASHTRA","HINGOLI","SENGAON                                           ","2014-09-05 08:31:09.427"
