"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","nutrients for cotton?","apply 19 19 0 - 3 kg + microlla  200 ml / 20 r / week through drip irrigation","MAHARASHTRA","JALGAON","JAMNER                                            ","2014-08-01 07:11:45.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","fertilizers","10:26:26 + urea","MAHARASHTRA","JALGAON","RAVER                                             ","2014-08-01 07:34:02.000"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Weather","pest in cotton ?","actra 5  gram +  karate15 m ili /pamp spray on cotton .","MAHARASHTRA","JALGAON","RAVER                                             ","2014-08-01 07:37:04.000"
"","AGRICULTURE","Millets","Maize (Makka)","Fertilizer Use and Availability","FERTILIZER DOSE FOR MAIZE?","FERTILIZER DOSE FOR MAIZE - 40:60:60 KG NPK/HAC","MAHARASHTRA","JALGAON","JALGAON                                           ","2014-08-01 08:02:55.000"
"","HORTICULTURE","Fruits","Mosambi","	Plant Protection	","MOSAMBI HERBICIDES?","MOSAMBI HERBICIDES - ROUND UP 50ML/PUMP","MAHARASHTRA","JALGAON","CHALISGAON                                        ","2014-08-01 08:07:57.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","Sucking Pest on cotton?","Sucking Pest on cotton-Spray Actra 5 gm+bavistin 30gm/15 Lit of Water.","MAHARASHTRA","JALGAON","JALGAON                                           ","2014-08-01 08:20:16.000"
"","AGRICULTURE","Others","Others","Weather","weather forecast in jalgaon","weather forecast -atmosphrer is cloudy,possibility medium rainfall .","MAHARASHTRA","JALGAON","JALGAON                                           ","2014-08-01 08:44:25.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attack of White Fly AND Attack of Thrips?","Spray Confidor super / Confidor 10ml/15 Lit of Water.","MAHARASHTRA","JALGAON","YAWAL                                             ","2014-08-01 09:21:43.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer dose for cotton?","fertilizer dose for cotton - spray - 19:19:19 40gm + humic acid 30ml + m-45 30gm / 15 lit water","MAHARASHTRA","JALGAON","AMALNER                                           ","2014-08-01 09:27:21.000"
"RABI","AGRICULTURE","Others","Others","Weather","Farmer has asked about weather condition in his taluka","Informed him that the weather will be cloudy and there are more chances of rains.","MAHARASHTRA","JALGAON","JAMNER                                            ","2014-08-01 09:28:23.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","about herbicides in soyabin","use odc or parshuit 30 ml per 15 liter water on soyabin","MAHARASHTRA","JALGAON","JALGAON                                           ","2014-08-01 09:31:51.000"
"JAYAD","HORTICULTURE","Vegetables","Potato","Weather","weather in Jalgaon  ?","CLOUDEY WEATHER AND POSSIBILITY OF RAIN 
to 3  jully 2014","MAHARASHTRA","JALGAON","MUKTAINAGAR                                       ","2014-08-01 09:42:58.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","intercrop in 2 month cotton","intercrop in 2 month cotton - leafy vegetable , redgram , sesamum","MAHARASHTRA","JALGAON","JAMNER                                            ","2014-08-01 10:08:06.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","weed problem in soybean?","spray persut to control weed in soybean","MAHARASHTRA","JALGAON","BHUSAWAL                                          ","2014-08-01 10:11:04.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Weather","Weather Condition ?","???? ???? ??????
???? ??: 87°
????????: 29.6 ??? 
?????: 74°
???: 79.8%
????????????: 6 ???","MAHARASHTRA","JALGAON","BODWAD                                            ","2014-08-01 10:33:47.000"
"JAYAD","HORTICULTURE","Vegetables","Snake Gourd","Weather","WEATHER IN Jalgaon ?","Cloudy weather, possibility of low rainfall.","MAHARASHTRA","JALGAON","PAROLA                                            ","2014-08-01 10:38:40.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","Asked About SMS Activation ?","Sms scheme is activated successfully","MAHARASHTRA","JALGAON","PACHORA                                           ","2014-08-01 10:45:29.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Weather","Weather Condition ?","???? ???? ??????
???? ??: 87°
????????: 29.6 ??? 
?????: 74°
???: 79.8%
????????????: 6 ???","MAHARASHTRA","JALGAON","BODWAD                                            ","2014-08-01 10:52:48.000"
"JAYAD","AGRICULTURE","Others","Others","","Weather information of jalgaon?","Weather information of jalgaon-Cloudy weather and possibility of light rain","MAHARASHTRA","JALGAON","JAMNER                                            ","2014-08-01 10:54:02.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","COTTON FERTILIZER INFO?","COTTON FERTILIZER- SPRAY 19:19:19 40GM + HUMIC ACID 30 ML + M-45 30 GM /15 LIT WATER","MAHARASHTRA","JALGAON","AMALNER                                           ","2014-08-01 10:57:10.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","fertilizer dose of cotton ?","apply 10:26:26 1 bag + urea 25 kg / acre","MAHARASHTRA","JALGAON","MUKTAINAGAR                                       ","2014-08-01 12:01:49.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","asked about cotton weedside information ?","traga super + heat weed - sticker aaply","MAHARASHTRA","JALGAON","ERANDOL                                           ","2014-08-01 12:37:23.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","asked about cotton Sucking Pest attak ?","Spray Pegasus 25 gm/ 15 lit of water","MAHARASHTRA","JALGAON","JALGAON                                           ","2014-08-01 12:53:08.000"
"","HORTICULTURE","Vegetables","Drum Stick","Agriculture Mechanization","planting distance of drum stick","planting distance of drum stick - 4 x4 meter or 5 x5 meter","MAHARASHTRA","JALGAON","PACHORA                                           ","2014-08-01 12:56:46.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","COTTON FERTILIZER INFO?","COTTON FERTILIZER - SPRAY 19:19:19 + HUMIC ACID + M-45","MAHARASHTRA","JALGAON","JAMNER                                            ","2014-08-01 13:01:33.000"
