"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","Weather Forecast?","cloudy weather, no possibility of rain.","MAHARASHTRA","RAIGARH","","2014-07-01 09:02:14.000"
"RABI","HORTICULTURE","Fruits","Mango","Seeds and Planting Material","varieties of mango ?","varieties of mango - keshar totapuri","MAHARASHTRA","RAIGARH","KHALAPUR                                          ","2014-07-01 10:08:48.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","ATTACK OF SUCKING PEST?","FOR SUCKING PEST SPRAY CONFIDOR / PRIDE + 00:52:34 + MICROLA","MAHARASHTRA","RAIGARH","","2014-07-03 13:11:01.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","Seeds","seed treatment?","application of carbendism 3 gm / kg seed","MAHARASHTRA","RAIGARH","","2014-07-03 20:41:58.000"
"","AGRICULTURE","Others","Others","","Weather Report ? .","Partly cloudy, possible of rain .  chances of monsoon after 5-6 july","MAHARASHTRA","RAIGARH","","2014-07-04 20:20:36.000"
"JAYAD","AGRICULTURE","Others","Others","","contact","9766313920- rathood","MAHARASHTRA","RAIGARH","","2014-07-05 08:42:27.000"
"","HORTICULTURE","Medicinal and Aromatic Plants","Tulsi","Training and Exposure Visits","medicinal and aromatic plants research station contact no ?","plz. contact 02426-243292 MPKV rahuri","MAHARASHTRA","RAIGARH","","2014-07-05 16:57:48.000"
"","AGRICULTURE","Others","Others","","weather?","Mostly clear
Feels Like: +39°
Barometer: 1004.0 hPa 
Dewpoint: +26°
Humidity: 74.8%
Visibility: 6 km","MAHARASHTRA","RAIGARH","","2014-07-05 18:43:34.000"
"JAYAD","HORTICULTURE","Fruits","Banana","	Plant Protection	","BANANA VARIETIES?","G 9,SHRIMANTI.","MAHARASHTRA","RAIGARH","","2014-07-08 13:57:54.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Goat","","feeding problem","green fodder + concentrate +mineral mixture","MAHARASHTRA","RAIGARH","","2014-07-08 15:17:52.000"
"JAYAD","HORTICULTURE","Fruits","Acid Lime","","Fertilizer ?","???? 2 ??? ,?????????????????? -1 ???,?????? -2 ??? ,????? ???? ???????-1   ???.?????-1 ??? ?","MAHARASHTRA","RAIGARH","","2014-07-09 18:26:06.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","weather information","cloudy weather ,possibility of  rain chances","MAHARASHTRA","RAIGARH","","2014-07-09 21:22:31.000"
"","AGRICULTURE","Others","Others","","crops for season","jowar, bajara, til, soybean,tur","MAHARASHTRA","RAIGARH","","2014-07-10 10:34:25.000"
"","HORTICULTURE","Fruits","Mango","	Plant Protection	","attack of termite on mango ?","drenching chloropyriphos 40ml/ 15 lit.of water","MAHARASHTRA","RAIGARH","","2014-07-10 21:04:52.000"
"JAYAD","AGRICULTURE","Millets","Maize (Makka)","","weedicide?","use 2 4 d","MAHARASHTRA","RAIGARH","","2014-07-11 20:39:17.000"
"","HORTICULTURE","Fruits","Citrus","","Fruit drop? (Citrus, lime,","1.5 GA+50 lit alcohol +1 kg urea/100 lit water.spraying","MAHARASHTRA","RAIGARH","","2014-07-14 20:14:03.000"
"","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","fertilizers?","Manuring

Age(Years)	FYM(kg/tree)	Urea(kg/tree)	Super
Phosphate(kg/tree)	Muriate of
Potash(kg/tree)
1	10	0.308 (140 g N)	0.500 (80 g P2O5)	0.480 (300 g K2O)
2	20	0.616 (280 g N)	1.000 (160 g P2O5)	0.960 (600 g K2O)
3	30	0.924 (420 g N)	1.500 (240 g P2O5)	1.440 (900 g K2O)
4	40	1.23 (560 g N)	2.000 (320 g P2O5)	1.920 (1200 g K2O)
5th year onwards	50	1.23 (560 g N)	2.000 (320 g P2O5)	1.920 (1200 g K2O)","MAHARASHTRA","RAIGARH","SHRIVARDHAN","2014-07-15 18:39:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","fertilizer dose ?","19 19 19 2 bag / acar","MAHARASHTRA","RAIGARH","","2014-07-19 12:07:48.000"
"","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation ?","Your Registration process successfully completed","MAHARASHTRA","RAIGARH","","2014-07-19 16:14:33.000"
"JAYAD","AGRICULTURE","Others","Others","","Weather forecast information?","Weather is partly cloudy,  possiblity of  rainfall.","MAHARASHTRA","RAIGARH","","2014-07-20 14:26:59.000"
"JAYAD","HORTICULTURE","Vegetables","Dolichos Bean","	Plant Protection	","attack Sucking Pest","Spray Classic 20 10ml/15 Lit of Water.","MAHARASHTRA","RAIGARH","","2014-07-22 13:04:33.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather Report ?","Partly cloudy, possible thunderstorms with rain.","MAHARASHTRA","RAIGARH","","2014-07-24 11:59:28.000"
"","AGRICULTURE","Others","Others","Weather","weather report?","Cloudy weather,   possibility of rain","MAHARASHTRA","RAIGARH","","2014-07-24 12:21:38.000"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","Seeds and Planting Material","varieties of bitter gourd?","varieties of bitter gourd = hirkani, green gold","MAHARASHTRA","RAIGARH","","2014-07-24 13:51:58.000"
"JAYAD","AGRICULTURE","Others","Others","","krushi vidnane kendra ?","krushi  vidnane  kendra 02194263008","MAHARASHTRA","RAIGARH","","2014-07-26 12:06:15.000"
"JAYAD","HORTICULTURE","Fruits","Mango","Seeds and Planting Material","asked about mango grafting","give detailed for mango cultivation such as grafting practices","MAHARASHTRA","RAIGARH","","2014-07-27 12:04:17.000"
"","HORTICULTURE","Fruits","Mango","","farmer has inquired about pit size and planting distance of mango plant","told him that the pit size will be 1*1*1 and planting distance will be 10 m","MAHARASHTRA","RAIGARH","","2014-07-27 21:05:27.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Government Schemes","crop insurance information?","?????? ???? ????? ??? ?????","MAHARASHTRA","RAIGARH","","2014-07-29 09:07:58.000"
"","AGRICULTURE","Others","Others","Weather","weather?","Partly cloudy, possibility of light  rain.","MAHARASHTRA","RAIGARH","","2014-07-30 20:44:25.000"
"","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Animal Production (Piggery, Goatery, Sheep Farming etc.)","govt scheme?","provide information to poultry farm scheme","MAHARASHTRA","RAIGARH","","2014-07-30 21:22:48.000"
