"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","ASKING ABOUT HOLSTEN FREIGIEAN?","ORIGIN FROM HOLAND","MAHARASHTRA","RATNAGIRI","KHED                                              ","2014-08-01 12:02:20.000"
"JAYAD","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","cow breed ?","cow breed - hf jersy","MAHARASHTRA","RATNAGIRI","KHED                                              ","2014-08-01 12:05:14.000"
"JAYAD","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","YELLOW COLOR OCCUR ON LEAF OF CUCUMBER?","DRAINCHING OF BLUE COPPER 40 GM + HUMIC ACID 30 ML /10 LITER WATER","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-08-02 08:55:35.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather report?","Partly cloudy, possibility of light  rain.?? ???? ???????, ??????? ?????? ???.","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-08-02 12:26:48.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","rat problem in paddy?","Use of Zink Sulphate Tablet.","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-08-05 10:09:19.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","rodent problems?","use poision Zink phosphite powder","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-08-05 15:53:49.000"
"","HORTICULTURE","Fruits","Fig","Fertilizer Use and Availability","FERTILIZER DOSE?","MICROLLA 30 ML / 15 LIT WATER","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-08-06 10:33:21.000"
"","AGRICULTURE","Others","Others","Weather","Weather information?","Cloudy weather and possibility of light rain","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-08-09 11:16:47.000"
"KHARIF","HORTICULTURE","Fruits","Mango","Bio-Pesticides and Bio-Fertilizers","TO CONTROL ATTACK OF TERMITES IN MANGO CROP","SPRAY CHLOROPYRIPHOS 25 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF TERMITES IN MANGO CROP","MAHARASHTRA","RATNAGIRI","GUHAGAR                                           ","2014-08-24 10:15:08.060"
"KHARIF","HORTICULTURE","Fruits","Mango","Fertilizer Use and Availability","Fertilizer Dose -","Spray Microlla 30 ml/15 Lit of Water.","MAHARASHTRA","RATNAGIRI","MANDANGAD                                         ","2014-08-25 16:46:11.577"
