"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","Weather report ?","Weather -Partially cloudy,no possibility of rainfall. Mansoon will active after 6 july.","MAHARASHTRA","RATNAGIRI","KHED                                              ","2014-07-01 11:25:49.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asked About  Weather Forecast ?","Cloudy  Weather, possibility of light rain. Mansoon Will come in 6-7 July","MAHARASHTRA","RATNAGIRI","RAJAPUR                                           ","2014-07-01 11:45:31.000"
"RABI","AGRICULTURE","Others","Others","Weather","weather information about Ratnagiri?","weather forecast -atmosphrer is cloudy,no possiblity of mansoon rainfall","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-07-03 08:38:14.000"
"JAYAD","AGRICULTURE","Others","Others","	Field Preparation	","weed control?","weed control-spray MERA-71 2.5lit/hectare","MAHARASHTRA","RATNAGIRI","SANGMESHWAR","2014-07-05 10:19:11.000"
"","AGRICULTURE","Others","Others","Weather","weather?","partly cloudy with light rainfall","MAHARASHTRA","RATNAGIRI","SANGMESHWAR","2014-07-06 17:50:39.000"
"JAYAD","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","TO CONTROL ATTACK OF TERMITES IN SOIL","DRENCHING OF CHLOROPYRIPHOS 30 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF TERMITES IN SOIL","MAHARASHTRA","RATNAGIRI","KHED                                              ","2014-07-08 07:38:34.000"
"","HORTICULTURE","Flowers","Rose","Agriculture Mechanization","ROSE PLANTING MATERIAL SIZE","ROSE PLANTING MATERIAL SIZE IS UPTO PENCILE SIZE REQUIRED","MAHARASHTRA","RATNAGIRI","KHED                                              ","2014-07-09 08:06:25.000"
"JAYAD","HORTICULTURE","Flowers","Rose","","Fertilizer Dose ?","19:19:19+ microla","MAHARASHTRA","RATNAGIRI","KHED                                              ","2014-07-09 11:09:03.000"
"JAYAD","AGRICULTURE","Others","Others","Agriculture Mechanization","ask about cost of power tiller?","misctubisi tiller- 1,50,000","MAHARASHTRA","RATNAGIRI","LANJA                                             ","2014-07-09 16:26:51.000"
"JAYAD","AGRICULTURE","Others","Others","","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","RATNAGIRI","RAJAPUR                                           ","2014-07-10 16:32:50.000"
"JAYAD","AGRICULTURE","Others","Others","","Govt. Schemes ?","guide to visit TAO.","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-07-12 11:07:51.000"
"","AGRICULTURE","Others","Others","Weather","WEATHER REPORT ?","INFORMED HIM THAT THERE IS CLOUDEY WEATHER AND POSSIBILITY OF GOOGD RAINFALL.","MAHARASHTRA","RATNAGIRI","RAJAPUR                                           ","2014-07-15 10:07:11.000"
"","HORTICULTURE","Fruits","Sapota","Seeds and Planting Material","variety of sapota","kallipatti,cricket ball","MAHARASHTRA","RATNAGIRI","KHED                                              ","2014-07-15 16:54:00.000"
"JAYAD","AGRICULTURE","Others","Others","","Govt. Schemes ?","please visit nearer nationalised bank.","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-07-16 12:33:24.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","Asked About SMS Activation ?","Sms scheme is activated successfully","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-07-16 12:46:32.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather Forecast ?","PARTLY CLOUDY,WITH THUNDER STORM AND RAIN","MAHARASHTRA","RATNAGIRI","SANGMESHWAR","2014-07-17 12:06:33.000"
"","AGRICULTURE","Others","Others","Government Schemes","Govt.  Schemes-","50-60 % subsidies, loan pls visit nearer nationalised bank.","MAHARASHTRA","RATNAGIRI","SANGMESHWAR","2014-07-17 12:24:53.000"
"JAYAD","AGRICULTURE","Others","Others","","kulith varieties","kulith varieties--man,sena","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-07-18 06:20:14.000"
"JAYAD","AGRICULTURE","Others","Others","","mouse control","use the zink phospate","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-07-21 10:35:29.000"
"JAYAD","AGRICULTURE","Others","Others","Training and Exposure Visits","krushi seva Kendra licence?","visit taluka agri officer","MAHARASHTRA","RATNAGIRI","MANDANGAD                                         ","2014-07-21 16:55:59.000"
"JAYAD","AGRICULTURE","Others","Others","","Govt.  Schemes","subsidies, guide to visit taluka krushi karyalai","MAHARASHTRA","RATNAGIRI","RATNAGIRI                                         ","2014-07-22 06:48:26.000"
"JAYAD","HORTICULTURE","Flowers","Marigold","Seeds and Planting Material","varieties ?","painapple,spray,betterboll,red broked","MAHARASHTRA","RATNAGIRI","SANGMESHWAR","2014-07-22 12:40:57.000"
"","AGRICULTURE","Others","Others","","Asked About SMS Activation ?","Asked About SMS Activation-Your Registration process successfully completed","MAHARASHTRA","RATNAGIRI","CHIPALUN","2014-07-22 13:15:27.000"
"JAYAD","HORTICULTURE","Fruits","Mango","Government Schemes","govt schemes for orchad plantation?","100 subcidy for rojagar hami yojana antargat","MAHARASHTRA","RATNAGIRI","LANJA                                             ","2014-07-22 19:34:54.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Ask about Weather Forecast?","possible thunderstorms with rain.","MAHARASHTRA","RATNAGIRI","RAJAPUR                                           ","2014-07-25 09:12:12.000"
