"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Onion","","herbicide","alachlor","MAHARASHTRA","SOLAPUR","SOUTH  SOLAPUR","2014-08-01 07:11:17.000"
"","AGRICULTURE","Others","Others","Weather","Weather Forecast?","Partly cloudy, possibility with rain.","MAHARASHTRA","SOLAPUR","SOUTH  SOLAPUR","2014-08-01 07:15:01.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","","SPACING IN CHILLI","SPACING IN CHILLI - 60 x 45 cm","MAHARASHTRA","SOLAPUR","MADHA                                             ","2014-08-01 07:38:26.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","Govt. Schemes ?","please visit nearer nationalised bank.","MAHARASHTRA","SOLAPUR","KARMALA                                           ","2014-08-01 07:40:32.000"
"RABI","AGRICULTURE","Others","Others","Weather","weather information about solapur?","Overcast and light rain
Feels Like: +24°
Barometer: 1002.6 hPa 
Dewpoint: +22°
Humidity: 90.2%
Visibility: 4 km
As of 01/08 05:30 am","MAHARASHTRA","SOLAPUR","SOUTH  SOLAPUR","2014-08-01 07:50:10.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer has asked about weather condition in his taluka","Informed him that the weather will be cloudy and there are more chances of rains.","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 07:53:16.000"
"","AGRICULTURE","Others","Others","","nursery licence choice","visit to TAO","MAHARASHTRA","SOLAPUR","MADHA                                             ","2014-08-01 08:11:12.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","asked about sugarcane fertilizer doses ?","10.26.26- 1 bag , micronutreants-1 mop-1 bag , 00.52.34+ microlla spraying.","MAHARASHTRA","SOLAPUR","SOUTH  SOLAPUR","2014-08-01 08:11:45.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","","Flower Drop in pomegranate?","Flower Drop in pomegranate-Spray Boom flower 20ml/15lit of Water.","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 08:26:10.000"
"JAYAD","HORTICULTURE","Fruits","Grape","	Plant Protection	","Attack of Blight?","Spray Redomil Gold 30gm+  humic acid 30 ml /15Lit of Water.","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH                                     ","2014-08-01 08:38:36.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","farmer has enquired about weather forecast in his tahsil","weather forecast -atmosphrer is cloudy,possibility medium rainfall","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2014-08-01 08:55:15.000"
"JAYAD","AGRICULTURE","Others","Others","","DREEP SUBSIDI","DREEP SUBSIDI - 50 % SUBSEEDI","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2014-08-01 08:57:07.000"
"JAYAD","HORTICULTURE","Fruits","Papaya","	Plant Protection	","YELLOW VAIN MOSAIC ON PAPAYA?","METASITOX 10 ML IN 15 LITER WATER","MAHARASHTRA","SOLAPUR","KARMALA                                           ","2014-08-01 09:01:16.000"
"","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","fertilizer in pomogranate","null","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 09:03:18.000"
"JAYAD","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","","sugarcane fertilizers","10:26:26=3 bag+urea=1 bag+zn,fe,mg=20 kg+nim=50 kg par yekar","MAHARASHTRA","SOLAPUR","MALSHIRAS                                         ","2014-08-01 09:07:23.000"
"JAYAD","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","virus attack on bitter gourd?","spray arena chocklet","MAHARASHTRA","SOLAPUR","MALSHIRAS                                         ","2014-08-01 09:11:42.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","","fertilizer dose ?","???????? ???????? + ????? ?? ?????/?????? ??????????? ???? ?????? ?????.","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 09:15:37.000"
"","HORTICULTURE","Vegetables","Onion","Agriculture Mechanization","weedicide in onion","weedicide in onion - spray goal 22.5 ml + 30 ml targa super / 15 lit of water","MAHARASHTRA","SOLAPUR","SOLAPUR NORTH                                     ","2014-08-01 09:23:49.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Attack of Leaf Miner?","Spray Azadirictine 30 ml/15 Lit of Water.","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 09:25:18.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","Agriculture Mechanization","flower drop in chilli?","12.61.00 40  gram   +  humic acid  30  +   calibor 40  gram /pamp  spray on  chilli.","MAHARASHTRA","SOLAPUR","SOUTH  SOLAPUR","2014-08-01 09:29:23.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Seeds","soybean variety?","soybean variety ... JS 335","MAHARASHTRA","SOLAPUR","AKKALKOT                                          ","2014-08-01 09:30:33.000"
"JAYAD","AGRICULTURE","Others","Others","	Plant Protection	","farmer has enquired about weather forecast in his tahsil","weather forecast -atmosphrer is cloudy,possibility medium rainfall","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 09:48:24.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","Thrips Attack ?","Spray Karate10ml/15 Lit of Water.","MAHARASHTRA","SOLAPUR","MOHOL                                             ","2014-08-01 09:49:28.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","","Asked about  Weather Report ?","Partly Cloudy, Possible Thunderstorms with Rain.","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 09:49:57.000"
"","AGRICULTURE","Others","Others","","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 09:53:22.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","","pomegranate atac welt?","cloro=50 ml+humik=20 ml ,,10 lit water drching","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 10:00:07.000"
"","AGRICULTURE","Others","Others","Weather","weather forecast of pandharpur","weather forecast -atmosphrer is cloudy,possibility medium rainfall .","MAHARASHTRA","SOLAPUR","PANDHARPUR                                        ","2014-08-01 10:05:59.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","•	Farmer has requested to give weather report.","•	cloudy weather possibility of rainfall","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2014-08-01 10:20:15.000"
"JAYAD","AGRICULTURE","Others","Others","","asked about insurance scheme ?","pls visit nearer nationalised bank","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2014-08-01 10:46:12.000"
"","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","POMOGRANATE FERTILIZER INFO?","POMOGRANATE FERTILIZER INFO - 19:19:19 1 KG+ UREA AND HUMIC ACID 1 LIT/ACRE BY DRIP","MAHARASHTRA","SOLAPUR","MANGALVEDHE                                       ","2014-08-01 10:49:18.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","","Flower Drop?","Spray Plano fix 5ml/15 Lit of  Water.","MAHARASHTRA","SOLAPUR","SOUTH  SOLAPUR","2014-08-01 10:53:23.000"
"JAYAD","HORTICULTURE","Vegetables","Chillies","","chilli flower drop","Spray Planofix 5ml/15 Lit of Water.","MAHARASHTRA","SOLAPUR","SANGOLA","2014-08-01 11:01:22.000"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","blight on okra?","•	Spray M-45 30 gm/15 Lit of Water.","MAHARASHTRA","SOLAPUR","BARSHI                                            ","2014-08-01 11:01:31.000"
"JAYAD","HORTICULTURE","Vegetables","Onion","","weed control in onion?","spray goal","MAHARASHTRA","SOLAPUR","MOHOL                                             ","2014-08-01 11:08:39.000"
