"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","WANT DRAINCHING?","DRAINCHING OF BLUE COPPER 30 GM + HUMIC ACID 30 ML + BAVISTINE 30 GM /15 LITER WATER","MAHARASHTRA","THANE","JAWHAR                                            ","2014-09-05 07:50:26.550"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","asked about catterpillar attack on bitter  gaurd","spraying of profex super30ml/15 lit water","MAHARASHTRA","THANE","THANE                                             ","2014-09-08 12:05:38.133"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Bio-Pesticides and Bio-Fertilizers","TO CONTROL ATTACK OF TERMITES IN PADDY CROP","DERENCHING OF CHLOROPYRIPHOS 30 ML IN 10 LTR OF WATER TO CONTROL ATTACK OF TERMITES IN PADDY CROP","MAHARASHTRA","THANE","SHAHAPUR                                          ","2014-09-08 19:40:32.530"
"KHARIF","HORTICULTURE","Plantation Crops","Sandal Wood","Field Preparation","soweing distance?","4m X 5m","MAHARASHTRA","THANE","THANE                                             ","2014-09-09 09:48:05.840"
"KHARIF","AGRICULTURE","Others","Others","Market Information","Farmer has requested to start SMS service on his mobile","The registration is completed on his mobile","MAHARASHTRA","THANE","MURBAD                                            ","2014-09-09 17:56:59.860"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forecast information?","weather forecast -atmosphere is cloudy, possibility light rainfall .","MAHARASHTRA","THANE","JAWHAR                                            ","2014-09-10 11:11:38.153"
"KHARIF","HORTICULTURE","Fruits","Bail","	Plant Protection	","Attack  Stem Borer?","Spray Nuwan 15ml/ 15Lit of Water.","MAHARASHTRA","THANE","AMBERNATH                                         ","2014-09-10 12:26:03.663"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Asking about Weather Forecast ?","Partly cloudy,with thunder storm and rain","MAHARASHTRA","THANE","MURBAD                                            ","2014-09-10 17:36:30.210"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","Your Registration process successfully completed.","MAHARASHTRA","THANE","MURBAD                                            ","2014-09-10 17:39:51.330"
"JAYAD","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","Attack of Caterpillar?","????? 100 -4 ????/15 ???? ????.","MAHARASHTRA","THANE","BHIWANDI","2014-09-11 08:47:04.083"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","THANE","PALGHAR                                           ","2014-09-11 09:52:19.017"
"KHARIF","AGRICULTURE","Cereals","Barley (Jau)","	Plant Protection	","ATTACK OF BLIGHT-----","ATTACK OF BLIGHT-----00:52:34--- 60 GRAM  + MICROLA --- 40 ML --15 LIT OF WATER","MAHARASHTRA","THANE","TALASARI                                          ","2014-09-11 12:30:57.687"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Govt. Schemes- Drip Irrigation subsidies.","50-60 % subsidies, loan please  visit nearer nationalised bank.","MAHARASHTRA","THANE","BHIWANDI","2014-09-13 14:56:26.607"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Credit","subcidy for buffelo","subcidy for buffelo - no subcidy for buffalo farming","MAHARASHTRA","THANE","THANE                                             ","2014-09-13 16:30:32.777"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","leaf eating caterpillar?","SPRAY CORAGEN 5 ML IN 15 LTR OF WATER","MAHARASHTRA","THANE","SHAHAPUR                                          ","2014-09-13 17:28:37.290"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","contact number of tahsil agriculture officer?","contact number of tahsil agriculture officer-9762623074","MAHARASHTRA","THANE","BHIWANDI","2014-09-14 09:35:45.930"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","Cloudy weather  and  possibility of light   rain","MAHARASHTRA","THANE","PALGHAR                                           ","2014-09-14 10:41:20.620"
"KHARIF","HORTICULTURE","Fruits","Mango","Seeds and Planting Material","mango variety?","mango variety .... alphanso","MAHARASHTRA","THANE","WADA                                              ","2014-09-14 12:17:15.347"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","ATTACK OF SUCKIN PEST----","SPRAY CONFIDOR -- 6 ML / ACTRA -- 5 GRAM + 00:52:34 -- 60 GRAM + MICROLA --- 40 ML IN 15 LIT OF WATER","MAHARASHTRA","THANE","JAWHAR                                            ","2014-09-14 16:39:14.423"
"KHARIF","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","thrips on cucumber?","Spray Actra 5 gm/15 Lit of Water","MAHARASHTRA","THANE","BHIWANDI","2014-09-15 09:10:24.283"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Livestock Products Processing and Packaging","Govt. Schemes","loan pls visit nearer nationalised bank","MAHARASHTRA","THANE","THANE                                             ","2014-09-15 17:04:55.433"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION","CLOUDY WEATHER RAIN CHANCES","MAHARASHTRA","THANE","MURBAD                                            ","2014-09-16 10:33:00.297"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","Weather Forecast ?","Cloudy weather possibility of  Light  rain.","MAHARASHTRA","THANE","PALGHAR                                           ","2014-09-16 18:08:31.960"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Farmer has enquired about control measure for sucking pest attack  in urd?","to control sucking pest attack  in urd Spray Actra 5 gm+ M-45 30 gm/15 Lit of Water","MAHARASHTRA","THANE","PALGHAR                                           ","2014-09-17 10:35:29.127"
"RABI","AGRICULTURE","Others","Others","Weather","Weather report ?","Cloudy and light rain
Precip chance: 40%
Humidity: 74%","MAHARASHTRA","THANE","MURBAD                                            ","2014-09-18 10:32:07.510"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Cultural Practices","ASKED ABOUT PIT SIZE FOR COCONUT PLANT","MAKE THE PIT OF 3 FT LONG 3 FT BROAD & 3 FT DEEP TO PLANT THE COCONUT PLANTS","MAHARASHTRA","THANE","PALGHAR                                           ","2014-09-18 10:59:15.770"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","SMS Activation","Your Registration process successfully completed","MAHARASHTRA","THANE","MURBAD                                            ","2014-09-18 14:40:56.560"
"KHARIF","AGRICULTURE","Others","Others","Weather","asked about weather forecasting ?","Cloudy weather  and  possibility of light   rain","MAHARASHTRA","THANE","MURBAD                                            ","2014-09-18 14:42:42.790"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","attack of shoot & friit boror in brinjal?","spray spinosad 5gm / 15 liter of water for controlling shoot & friit boror in brinjal","MAHARASHTRA","THANE","MURBAD                                            ","2014-09-18 14:47:52.913"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","YELLOWING OF BITTER GOURD?","bavistine 30gm + HUMIC ACID 30ml/15 Lit of Water Drenching.","MAHARASHTRA","THANE","JAWHAR                                            ","2014-09-18 17:57:20.730"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","Asked About SMS Activation?","Your SMS Registration process successfully completed.","MAHARASHTRA","THANE","KALYAN                                            ","2014-09-19 14:30:52.977"
"KHARIF","HORTICULTURE","Vegetables","Cowpea (Vegetable)","Agriculture Mechanization","variety of cowpea","variety of cowpea - pusa phalguni , pusa komal , pusa do phasali","MAHARASHTRA","THANE","JAWHAR                                            ","2014-09-20 11:46:27.383"
"KHARIF","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER  FORCAST?","CURRENT WEATHER CONDITION –PARTLY CLOUDEY POSSIBILITY OF LIGHT RAIN","MAHARASHTRA","THANE","JAWHAR                                            ","2014-09-23 13:08:04.583"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather report","Partly cloudy and possibility of light rain","MAHARASHTRA","THANE","THANE                                             ","2014-09-23 16:49:23.107"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","SINDHU VARIETIES","SINDHU VARIETIES -RATNA AND ALPHANSO","MAHARASHTRA","THANE","KALYAN                                            ","2014-09-24 12:06:15.433"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","Seeds and Planting Material","verities?","mhyco-65,64 , parbhani karnti","MAHARASHTRA","THANE","JAWHAR                                            ","2014-09-25 16:07:28.310"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","sms activation","Partly cloudy and possibility of light rain","MAHARASHTRA","THANE","PALGHAR                                           ","2014-09-25 19:15:10.120"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather info.","Weather is partly cloudy,no possiblity of  rainfall.","MAHARASHTRA","THANE","WADA                                              ","2014-09-25 19:35:16.510"
"KHARIF","AGRICULTURE","Others","Others","Weather","farmer asked about current weather condition?","cloudy weather no possibil;ity of rainfall.","MAHARASHTRA","THANE","THANE                                             ","2014-09-28 08:47:33.030"
