"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Drum Stick","	Plant Protection	","ASKING ABOUT VARIETIES OF DRUM STICK?","VARIETIES OF DRUM STICK-CO 1, CO2,PKM 1,KOKAM RUCHIRA","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 07:13:55.000"
"JAYAD","AGRICULTURE","Cereals","Wheat","","Asked about  Weather Report ?","Partly Cloudy, Possible Thunderstorms with Rain.","MAHARASHTRA","WASHIM","MANORA                                            ","2014-08-01 07:42:34.000"
"","AGRICULTURE","Others","Others","Weather","weather forecast","weather forecast -atmosphrer is cloudy,possibility medium rainfall .","MAHARASHTRA","WASHIM","MANORA                                            ","2014-08-01 07:49:09.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","farmer has enquired about weather forecast in his tahsil","weather forecast -atmosphrer is cloudy,possibility medium rainfall","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-08-01 07:59:22.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Farmer has asked about weather condition in his taluka","Informed him that the weather will be cloudy and there are more chances of rains.","MAHARASHTRA","WASHIM","WASHIM                                            ","2014-08-01 08:03:38.000"
"","AGRICULTURE","Others","Others","Government Schemes","regarding registration for sms scheme","your registration is successful for   kisan sms portal","MAHARASHTRA","WASHIM","MANORA                                            ","2014-08-01 08:03:55.000"
"RABI","AGRICULTURE","Others","Others","Weather","WEATHER INFORMATION ABOUT WASHIM?","Cloudy
Feels Like: +26°
Barometer: 1000.6 hPa 
Dewpoint: +24°
Humidity: 91.4%
Visibility: 4 km
As of 01/08 05:30 am","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 08:11:54.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","soybean  atac blight?","newstar=20 ml+19:19=50gm++bavestin=30 gm+stikar=10 ml,,/15 Lit of Water.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 08:44:15.000"
"JAYAD","AGRICULTURE","Others","Others","","Sucking Pest on soyabean?","Sucking Pest on soyabean-Spray Confidor 10ml/15 Lit of Water.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 08:44:54.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","Weather","weather in Washim  ?","CLOUDEY WEATHER AND POSSIBILITY OF RAIN 
to 3  jully 2014","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 08:49:00.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","Sucking Pest on cotton?","Sucking Pest on cotton-Spray Actra 5 gm/15 Lit of Water.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-08-01 08:50:26.000"
"","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","WILT?","Humic Acid 30ml/15 Lit of Water Drenching.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 08:55:22.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","about herbicides in soyabin","use odc or parshuit 30 ml per 15 liter water on soyabin","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 09:15:34.000"
"JAYAD","HORTICULTURE","Vegetables","Potato","Weather","weather in Washim ?","CLOUDEY WEATHER AND POSSIBILITY OF RAIN 
to 3  jully 2014

CLOUDEY WEATHER AND POSSIBILITY OF RAIN 
to 3  jully 2014","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 09:23:39.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","","soybean atac Leaf Eating Caterpillar ?","Spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 09:25:28.000"
"JAYAD","HORTICULTURE","Vegetables","Cluster Bean","","blight on cluster bean ?","spray bavistin 25 gm + microla 30 ml / 15 lit water","MAHARASHTRA","WASHIM","MANORA                                            ","2014-08-01 09:44:05.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","asked about weedicide in soybean crop?","use parshut as a weedicide in soybean crop","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 09:55:50.000"
"","AGRICULTURE","Others","Others","Government Schemes","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-08-01 10:21:18.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asking about Weather forecast information","Today’s weather-partly cloudy, thunderstrom with rain","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-08-01 10:40:30.000"
"JAYAD","AGRICULTURE","Others","Others","","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-08-01 10:49:58.000"
"JAYAD","AGRICULTURE","Others","Others","","WEATHER INFORMATION","Weather - Partly cloudy, possiblity of good rainfall.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-08-01 10:51:12.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","farmer has enquired about weather forecast in his tahsil","weather forecast -atmosphrer is cloudy,possibility medium rainfall","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 10:59:30.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","fungal attack on tomato ?","fungal attack on tomato - spray bavistin 25 gm + microla 30 ml / 15 lit water","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 11:05:31.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","Fertilizer Use and Availability","WEEDICIDE FOR SOYABEAN CROP?","SPRAY PERSUIT ON SOYABEAN","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 11:07:13.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asking about Weather forecast information","Today’s weather-partly cloudy, thunderstrom with rain","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 11:09:38.000"
"JAYAD","AGRICULTURE","Others","Others","Government Schemes","sms activation?",". Your SMS  Registration process successfully completed","MAHARASHTRA","WASHIM","MANORA                                            ","2014-08-01 11:22:06.000"
"","AGRICULTURE","Others","Others","","crops","jowar, bajara,til,soybean, maka","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 11:23:36.000"
"","AGRICULTURE","Others","Others","","ASKED ABOUT SMS ACTIVATION?","sms scheme is activated on your mobile number","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-08-01 11:25:06.000"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","farmer has enquired about weather forecast in his tahsil","weather forecast -atmosphrer is cloudy,possibility medium rainfall","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-08-01 11:28:33.000"
"","AGRICULTURE","Others","Others","","crops","jower, bajara, makka, soybean, til, tur","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-08-01 11:55:57.000"
"RABI","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER INFORMATION","ATMOSPHERE IS PARTLY CLOUDY WITH LITTLE CHANCES O FRAIN","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-08-01 12:22:25.000"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","dropping of flower on cotton crop?","Spray Plano fix 5ml/15 Lit of Water.","MAHARASHTRA","WASHIM","WASHIM                                            ","2014-08-01 12:37:54.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","herbicide on soyabean?","15 te 20 vya divashi tannashak vaparave","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-08-01 12:51:50.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Asking about Weather forecast information","Today’s weather-partly cloudy, thunderstrom with rain","MAHARASHTRA","WASHIM","RISOD                                             ","2014-08-01 12:52:34.000"
"JAYAD","AGRICULTURE","Others","Others","","Asked about SMS Activation ?","Your Registration process successfully completed.","MAHARASHTRA","WASHIM","RISOD                                             ","2014-08-01 13:12:20.000"
"JAYAD","HORTICULTURE","Vegetables","Capsicum","	Plant Protection	","Powdery Mildew Attack?","?????????? 30 ?????/15 ???? ??????????? ???? ?????? ?????.	?????????????? ????? ????? ?????30???? + ????? ????? 30 ????/15???? ???????.","MAHARASHTRA","WASHIM","RISOD                                             ","2014-08-01 13:19:49.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","weather report","Weather is partly cloudy, possiblity of light rain. Heavy rain  for next 4-5 Days","MAHARASHTRA","WASHIM","RISOD                                             ","2014-08-01 14:34:46.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Red Mites Attack?","Spray Oberon 15ml / omite 5ml/15Lit of Water.","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-08-01 14:40:30.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather forecast information?","Weather is partly cloudy, possiblity of light rain. Heavy rain  for next 4-5 Days","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-08-01 14:42:20.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","Caterpillar Attack-","Spray Chloropyriphos 30ml/15 Lit of Water.","MAHARASHTRA","WASHIM","RISOD                                             ","2014-08-01 14:59:29.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATHER INFORMATION","ATMOSPHERE IS PARTLY CLOUDY WITH LITTLE CHANCES OF RAIN","MAHARASHTRA","WASHIM","RISOD                                             ","2014-08-01 15:17:25.000"
"","","","","","","","MAHARASHTRA","WASHIM","RISOD                                             ","2014-08-01 15:18:00.000"
