"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Field Preparation	","asked about soybean caterpillar attak ?","profex super-30 ml+ redomil gold-30 gram/15 l;it water spraying","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-09-02 08:48:41.150"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","damping off","drenching of bavistin 30 gram /15 liter","MAHARASHTRA","WASHIM","MANORA                                            ","2014-09-02 14:16:08.497"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Fertilizer Use and Availability","ASKED ABOUT GROWTH SPRAY?","SPRAY 19:19:19 – 60 GRAMS + MICROLA – 40 ML + BAVISTIN – 30 GRAMS IN 15 LITER OF WATER","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-09-02 15:44:49.110"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","ASKED ABOUT SMS ACTIVATION?","sms scheme is activated on your mobile number","MAHARASHTRA","WASHIM","RISOD                                             ","2014-09-02 18:21:15.433"
"KHARIF","AGRICULTURE","Others","Others","Weather","regarding registration for sms scheme","your registration is successful for   kisan sms portal","MAHARASHTRA","WASHIM","RISOD                                             ","2014-09-03 09:29:20.803"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Crop Insurance","weedicide ?","no  recommdation  of   herbicide in cotton  or pea .","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-09-04 07:27:02.853"
"KHARIF","HORTICULTURE","Fruits","Ber","Market Information","information about apple ber?","Mobile     :  09763758008 , 09763036255,E-mail      :  appleber@rukminifarmakola.com,Website   :  www.RukminiFarmAkola.Com","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-09-04 12:27:35.020"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather forcast washim?","4,5,7,8 September  2014 la pavasachi shakyata ahe","MAHARASHTRA","WASHIM","MANGRULPIR                                        ","2014-09-04 14:31:09.120"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER OF WASHIM ?","cloudy weather  with rainfall","MAHARASHTRA","WASHIM","MALEGAON                                          ","2014-09-04 14:41:41.367"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Nutrient Management","foliar spray for cotton ?","foliar spray for cotton- spray 13;0;45 75gm + magnesium sulphate 50gm + boron 15gm / 15 liter of water","MAHARASHTRA","WASHIM","KARANJA                                           ","2014-09-04 15:49:46.277"
