"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF APHIDS IN RICE.","SUGGESTED TO SPRAY CORAGEN @3ML/15 LT OF WATER OR DIMETHOATE 30 EC @2ML/LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-07 07:42:24.700"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking asbout the medicine for poultry","Advice-Ambiplex-5ml/lit. of water","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-09 16:09:05.117"
"KHARIF","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF BLIGHT IN CORIANDER","SUGGESTED TO SPRAY MANCOZEB @ 1GM/LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-10 11:45:58.860"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF BACTERIAL LEAF BLIGHT IN RICE.","SUGGESTED TO SPRAY BAVISTIN OR TOPSIN @ 1 AND HALF MATCH BOX WITH STREPTOCYCLINE 0.5 GM/10 LT OF WATER AT INTERVALS OF 15 DAYS.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-10 14:38:28.190"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF APHIDS IN RICE.","SUGGESTED TO SPRAY DIMETHOATE 30 EC @ 2ML/LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-11 10:52:40.413"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF APHIDS IN RICE.","SUGGESTED TO SPRAY FIPRONIL @ 2GM/LT OF WATER OR IMIDACLOPRID @ 7ML/15 LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-11 10:58:54.547"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF APHIDS IN RICE.","SUGGESTED TO SPRAY FIPRONIL @2GM/LT OF WATER OR IMIDACHLOPRID@7 ML/15 LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-11 16:00:46.857"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF APHIDS IN RICE.","SUGGESTED TO SPRAY FIPRONIL @ 2GM/LT OF WATER OR IMIDACLOPRID @ 7ML/15 LT OF WATER OR TRAP METHOD.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-12 11:48:02.823"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF BACTERIAL LEAF BLIGHT IN  RICE.","SUGGESTED TO SPRAY BAVISTIN OR TOPSIN @ 1 AND HALF MATCHES BOX WITH STREPTOCYCLINE @0.5GM/10 LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-13 13:07:56.513"
"KHARIF","HORTICULTURE","Vegetables","Others","Nursery Management","ASKING ABOUT THE GREEN HOUSE.","DETAILS GIVEN(ADDRESS OF AGRICULTURE DEPT OR HORTICULTURE DEPT)","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-13 13:16:39.550"
"KHARIF","HORTICULTURE","Vegetables","Others","Nursery Management","ASKING ABOUT THE AVAILABILITY OF GREEN HOUSE.","DETAILS GIVEN(HORT.DEPT. AND AGRI.DEPT.)","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-13 14:19:48.890"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF BACTRIAL LEAF BLIGHT IN RICE OR INSECT IN CHILLI.","SUGGESTED TO SPRAY CARBENDAZIM @ 1 AND HALF MATCHES BOX WITH STREPTOCYCLINE @0.5 GM/10 LT OF WATER.FOR CHILLI SUGGESTED TO SPRAY MALATHION 50 EC OR DIMETHOATE 30 EC @2ML/LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-14 08:22:40.190"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about the weather report","Answer is given in details. Rainfall-11 mm, Max. temp.-33 degree c Min. temp.-21 degree c","MANIPUR","IMPHAL EAST","IMPHAL EAST II                                    ","2014-09-16 12:50:37.703"
"KHARIF","HORTICULTURE","Vegetables","Leafy Vegetable","Cultural Practices","ASKING ABOUT THE CULTURAL PRACTICES OF MUSTARD.","DETAILS GIVEN(FERT DOSE UREA 33KG,SSP 47KG AND POTASH 13 KG/SANGAM,FULL DOSE OF SSP,MOP AND HALF OF UREA AT THE TIME OF FIELD PREPARATION,TOP DRESS REMAINING OF UREA AFTER 30 AND 60 DAYS OF SOWING)","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-17 16:37:44.587"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE  KCC.","DETAILS GIVEN(TO SOLVE THE PROBLEM ABOUT AGRI,VETY.AND FISHERY)","MANIPUR","IMPHAL EAST","IMPHAL EAST II                                    ","2014-09-19 11:50:08.477"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","ASKING ABOUT THE VETY PROBLEM.","SUGGESTED PLEASE CALL AGAIN 2PM(VETY.EXPERT NOT AVAILABLE)","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-19 12:05:36.283"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF BACTERIAL LEAF BLIGHT IN RICE.","SUGGESTED TO SPRAY CARBENDAZIM(BAVISTIN)OR TOPSIN  1 AND HALF MATCH BOX WITH STREPTOCYCLINE @ 0.5GM/ 10LT OF WATER.","MANIPUR","IMPHAL EAST","IMPHAL EAST II                                    ","2014-09-19 13:51:32.680"
"KHARIF","AGRICULTURE","Oilseeds","Toria","Sowing Time and Weather","ASKING ABOUT THE SOWING SEASON FOR MUSTARD.","SETAILS GIVEN(SOWING TIME OCTOBER -NOVEMBER)","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-19 15:09:58.310"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","Foliar application of nutrients in paddy","I suggested him to spray Paddy Special at the rate of 2 litre per water or  spray mixture of 10 gram Urea,20 gram SSP and 20 gram MOP in one litre of water.","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-19 19:45:51.220"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","Foliar application of nutrients in Paddy","I suggested him to spray Paddy Special at the rate of 2 gram per litre of water or  spray mixture of 10 gram Urea,20 gram SSP and 20 gram MOP in one litre of water","MANIPUR","IMPHAL EAST","IMPHAL EAST I                                     ","2014-09-19 19:49:43.927"
