"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-02 10:13:17.000"
"","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking about the medicine for poultry disease","Advice-Ambiplex-5ml/lit. of water","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-02 10:31:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","ASKING ABOUT THE FERTILIZER USE AND AVAILABILITY FOR RICE.","DETAILS GIVEN(UREA-98KG,DAP-87 KG AND MOP-50 KG/PARI)","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-02 14:46:31.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF SHEATHE BLIGHT IN RICE.","SUGGESTED TO SPRAY CARBENDAZIM OR HEXACONAZOLE @ 2ML/LT OF WATER AT 15 DAYS OF INTERVAL.","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-02 15:06:55.000"
"","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Management","Asking about the medicine for poultry","Advice-lixen powder-5mgm/lit. of water","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-04 10:01:12.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","ASKED ABOUT WEATER REPORT","RAINFALL SLIGHTLY TOMORROW,TEM 27","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-04 12:12:44.000"
"JAYAD","HORTICULTURE","Plantation Crops","Rubber","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF INSECT IN TREE BEAN AND MANGO.","SUGGESTED TO APPLY CARBOFURAN 3G AROUND THE PLANT AND INJECT ROGOR IN HOLES PLUG WITH MUD OR COTTON(TREE BEAN) AND FOR MANGO-SPRAY MALATHIO 50 EC @ 1ML/LT OF WATER FIRST AT FLOWERING AND SECOND AT PEASIZE STAGE.","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-05 07:53:19.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","ASKING ABOUT THE FERT.DOSE OF POTASH FOR RICE(PANICLE STAGE)","DETAIS GIVEN(UREA-5KG AND POTASH 5KG/SANGAM AT PANICLE STAGE)","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-05 12:32:09.000"
"JAYAD","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","ASKING ABOUT THE MANAGEMENT OF WATER QUALITY IN FISH POND.","APPLY LIME @ 7 KG/SANGAM OF WATER AREA.","MANIPUR","THOUBAL","KAKCHING                                          ","2014-08-07 14:48:29.000"
"","AGRICULTURE","Others","Others","	Plant Protection	","Asking about the Agricultural","Answer is transferred to Agri-expert","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-08 10:13:20.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF SWARMING CATERPILLAR IN RICE FIELD BED.","SUGGESTED TO SPRAY CHLORPYRIPHOS @ 3ML/LT OF WATER OR FIPRONIL OR IMIDACLOPRID @ 5ML/LT OF WATER IN THE BED.","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-08 11:00:07.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","ASKING ABOUT THE FERT. USE AND AVAILABILITY FOR RICE.","DETAILS GIVEN(APPLY UREA AT THE TIME OF TELLERING AND PANICLE STAGE.)","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-09 09:44:17.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF SWARMING CATERPILLAR IN RICE.","SUGGESTED TO SPRAY CHLORPYRIPHOS OR MONOCROTOPHOS AND DRAIN WATER IN THE FIELD.KEROSINE THE WATER WHILE IRRIGATION .","MANIPUR","THOUBAL","KAKCHING                                          ","2014-08-09 13:26:04.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF GALL MIDGE IN RICE.","SUGGESTED TO SPRAY FIPRONIL OR CHLORPYRIPHOS OR PHORATE 10 G.","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-09 14:58:58.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","ASKING ABOUT THE CONTROL MEASURE OF LEAF FOLDER IN RICE.","SUGGESTED TO SPRAY CHLORPYRIPHOS OR QUINALPHOS OR DICHLORVOS 76 SL .","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-10 08:34:11.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","ASKING ABOUT THE CONTROL MEASURE OF WEEDICIDE IN RICE FIELD.","SUGGESTED TO SPRAY 2,4-D, OR THIOBENCARB OR ANILOFOS OR BENTAZONE ETC","MANIPUR","THOUBAL","KAKCHING                                          ","2014-08-10 10:18:18.000"
"","AGRICULTURE","Others","Others","	Field Preparation	","Asking about the Agricultural","Answer is transferred to Agri-expert","MANIPUR","THOUBAL","KAKCHING                                          ","2014-08-11 10:55:40.000"
"","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","Asking about the Agricultural","Answer is transferred to Agri expert","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-11 11:01:56.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF RICE SHEATH BLIGHT AND STEM BORER IN RICE.","SUGGESTED TO SPRAY DITHANE M 45@2 GM/LT OF WATER AND FOR STEM BORER,SPRAY MONOCROTOPHOS OR CHLORPYRIPHOS OR CORAGEN @ 3ML/15 LT OF WATER OR LAMBDACYHOTHRIN @ 15ml/ 15LT OF WATER (3 PUMPS /SANGAM)","MANIPUR","THOUBAL","KAKCHING                                          ","2014-08-22 15:34:21.210"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE OF RICE SHEATH BLIGHT AND STEM BORER IN RICE.","SUGGESTED TO SPRAY DITHANE M 45@2 GM/LT OF WATER AND FOR STEM BORER,SPRAY MONOCROTOPHOS OR CHLORPYRIPHOS OR CORAGEN @ 3ML/15 LT OF WATER OR LAMBDACYHOTHRIN @ 15ml/ 15LT OF WATER (3 PUMPS /SANGAM)","MANIPUR","THOUBAL","KAKCHING                                          ","2014-08-22 15:34:42.353"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE CONTROL MEASURE RICE SHEATH BLIGHT AND STEM BORER IN RICE.","SUGGESTED TO SPRAY DITHANE M 45@2 GM/LT OF WATER AND FOR STEM BORER,SPRAY MONOCROTOPHOS OR CHLORPYRIPHOS OR CORAGEN @ 3ML/15 LT OF WATER OR LAMBDACYHOTHRIN @ 15ml/ 15LT OF WATER (3 PUMPS /SANGAM)","MANIPUR","THOUBAL","KAKCHING                                          ","2014-08-22 15:42:04.787"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ASKING ABOUT THE STEM BORER IN RICE.","SUGGESTED TO SPRAY CORAGEN @ 3ML/15LT OF WATER OR LAMBDACYHOTHRIN @15ML/15 LT OF WATER OR MONOCROTOPHOS OR CHLORPYRIPHOS ETC.","MANIPUR","THOUBAL","THOUBAL                                           ","2014-08-23 12:49:37.290"
