"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Condiments and Spices","Ginger","	Plant Protection	","SOFT AND RHIZOME ROT IN GINGER","TREAT THE SEEDS WITH MANCOZEB @ 3G/L WATER 30MIN BEFORE PLANTING AND METALAXYL @ 0.1 % AS PRE MONSOON TREATMENT","MEGHALAYA","JAINTA HILLS","THADLASKEIN                                       ","2014-09-09 10:53:40.903"
"KHARIF","FISHERIES","Inland","Others","Tank, Pond and Reservoir Management","Management of fishery pond","I suggest him to consult the Fishery expert","MEGHALAYA","JAINTA HILLS","AMLAREM                                           ","2014-09-10 20:36:36.613"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","SHOOT BORER IN CITRUS","spray Monocrotophos 36 WSC @ 1 ml/lit or Quinalphos 25 EC @ 1.5 ml/lit or Carbaryl 50 WP @  4 g/lit.","MEGHALAYA","JAINTA HILLS","THADLASKEIN                                       ","2014-09-12 11:59:57.530"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","SEED AND PLANTING MATERIALS FOR TOMATO","EXPLAINED IN DEATAILS","MEGHALAYA","JAINTA HILLS","THADLASKEIN                                       ","2014-09-12 15:04:38.110"
"KHARIF","AGRICULTURE","Others","Others","	Field Preparation	","To know about Kissan Call Centre","Explain in details about the informations that can be avail from Kissan Call Centre","MEGHALAYA","JAINTA HILLS","KHLIEHRIAT                                        ","2014-09-14 15:41:43.873"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","Management of Rodents in paddy field","I suggested him to apply Bromodioline @ 1 g mix with rice grain and vegetable.","MEGHALAYA","JAINTA HILLS","KHLIEHRIAT                                        ","2014-09-15 19:54:14.900"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Cultural Practices","CULTIVATION OF TOMATO","ANSWER GIVEN IN DETAILS","MEGHALAYA","JAINTA HILLS","THADLASKEIN                                       ","2014-09-16 11:16:34.150"
"KHARIF","HORTICULTURE","Vegetables","Carrot","Field Preparation","Management of nutrients in Carrot.","I suggested him to apply FYM @ 25 t/ha 3 weeks before sowing of seeds. 60 kg Urea, 30 kg SSP and 120 kg MOP/ha at time of final field preparation.","MEGHALAYA","JAINTA HILLS","THADLASKEIN                                       ","2014-09-17 20:39:10.787"
"KHARIF","HORTICULTURE","Vegetables","Carrot","Fertilizer Use and Availability","Fertiliser management for carrot","I suggest him to apply FYM @ 25 t/ha, Urea @ 60 kg, SSP @ 30 kg and MOP @ 120 kg/ha.","MEGHALAYA","JAINTA HILLS","THADLASKEIN                                       ","2014-09-18 17:51:03.860"
"KHARIF","AGRICULTURE","Others","Others","Agriculture Mechanization","The price of Rice milling machine","I told him it may cost around 80,000-2,00,000 lakh rupees","MEGHALAYA","JAINTA HILLS","KHLIEHRIAT                                        ","2014-09-19 15:31:13.203"
"RABI","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","Query on schemes related to fishery","I suggested him to contact fishery department.","MEGHALAYA","JAINTA HILLS","LASKEIN                                           ","2014-09-29 19:21:43.907"
