"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","Fertilizer Use and Availability","FRUIT CRACK","BORAX 3GM/1LITRE OF WATER","ODISHA","ANUGUL","KANIHA                                            ","2014-09-02 15:04:56.473"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GUNDHI BUG","DDVP 1ML/1LITRE OF WATER","ODISHA","ANUGUL","TALACHER                                          ","2014-09-02 15:36:22.120"
"KHARIF","AGRICULTURE","Others","Others","Fertilizer Use and Availability","UNAVAILABILITY OF UREA","CONTACT DAO OFFICE","ODISHA","ANUGUL","PALALAHADA                                        ","2014-09-02 18:24:54.033"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","WILTING DISEASES OF BRINJAL","RECOMMENDED FOR SPRAY COPPER OXICHLORIDE 30GM+ STREPTOCYCLIN 1.5 GM WITH 10  LIT WATER SPRAY.","ODISHA","ANUGUL","KANIHA                                            ","2014-09-02 19:25:36.990"
"KHARIF","HORTICULTURE","Vegetables","Spine Gourd","	Plant Protection	","SUCKING PEST","IMIDACLOPRID 1ML/3LITRES OF WATER","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-02 19:36:28.580"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","WILTING","PLANTOMYCIN 1GM+COC 2GM/1LITRE OF WATER","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-04 17:25:12.247"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","WILTING","PLANTOMYCIN 1GM+COC 2GM/1LITRE OF WATER","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-04 17:25:12.247"
"KHARIF","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","POND MANAGEMENT","CONTACT EXPERT","ODISHA","ANUGUL","BANARPAL                                          ","2014-09-04 17:48:35.447"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT IN ANUGUL DIST","RAINFALL DATA SEPT 5-31MM,SEPT 6-12MM,SEPT 7-29MM","ODISHA","ANUGUL","KISHORENAGAR                                      ","2014-09-04 20:13:12.873"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT IN ANUGUL DIST","RAINFALL DATA SEPT 5-31MM,SEPT 6-12MM,SEPT 7-29MM","ODISHA","ANUGUL","KISHORENAGAR                                      ","2014-09-04 20:13:12.873"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER IN BRINJAL","RECOMMENDED FOR SPRAY FAME 5ML/ 15 LIT WATER FOR CONTROL OF FRUIT BORER IN BRINJAL.","ODISHA","ANUGUL","PALALAHADA                                        ","2014-09-05 07:10:44.373"
"KHARIF","HORTICULTURE","Fruits","Banana","Cultural Practices","BANANA CULTIVATION","DETAIL PACKAGE OF PRACTICE EXPLAINED IN BANANA CULTIVATION.","ODISHA","ANUGUL","ATHMALLIK                                         ","2014-09-06 11:57:52.373"
"KHARIF","AGRICULTURE","Others","Others","Weather","RAINFALL FORECAST IN ANUGUL DIST","RAINFALL FORECAST IN ANUGUL DIST--- 8 MM EXPECTED RAINFALL OCCURS ON 8TH SEPEMBER 2014","ODISHA","ANUGUL","KISHORENAGAR                                      ","2014-09-07 13:59:25.820"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","STEM BORER IN BRINJAL","RECOMMENDED FOR SPRAY FAME 5ML/15 LIT WATER FOR CONTROL OF STEM BORER IN BRINJAL.","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-08 10:21:23.070"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT ROT","SAAF 2GM/1LITRE OF WATER","ODISHA","ANUGUL","PALALAHADA                                        ","2014-09-09 15:39:17.913"
"KHARIF","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","FISH NUTRITION","RECOMMENDED TO FISHERY FTA FOR DETAIL INFORMATION","ODISHA","ANUGUL","BANARPAL                                          ","2014-09-10 16:05:42.143"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CASE WORM","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","ANUGUL","ATHMALLIK                                         ","2014-09-11 15:07:00.040"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CASE WORM","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-12 15:23:00.393"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Rice Gall midge","Recommended for spray Quinalphos 25% EC 2ml per litre of water to control Rice Gall midge","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-13 08:49:51.660"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","stem borer in brinjal","recommended fame @ 1ml/3litre water","ODISHA","ANUGUL","ATHMALLIK                                         ","2014-09-14 14:49:42.070"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","fruit borer in brinjal","recommended fame @ 1ml/3litre water","ODISHA","ANUGUL","ATHMALLIK                                         ","2014-09-14 16:41:30.870"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","WEEDCIDE","FUZI SUPER 100ML/ACRE","ODISHA","ANUGUL","CHHENDIPADA                                       ","2014-09-14 16:53:10.693"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report","average 10mm rainfall in next 5 days","ODISHA","ANUGUL","BANARPAL                                          ","2014-09-14 18:47:36.713"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT & SHOOT BORER","SPINOSAD 1ML/3LITRES OF WATER","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-16 14:32:45.510"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","STEM BORER IN BRINJAL","RECOMMENDED FOR SPRAY FAME 5ML/15 LIT WATER FOR CONTROL OF STEM BORER IN BRINJAL.","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-16 14:43:10.040"
"KHARIF","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","NUTRITION","CONTACT EXPERT","ODISHA","ANUGUL","KANIHA                                            ","2014-09-16 17:57:03.740"
"RABI","HORTICULTURE","Vegetables","Cauliflower","Cultural Practices","DETAILS FROM FIELD PREPARATION TO HARVESTING","CONTACT AHO OF YOUR BLOCK","ODISHA","ANUGUL","CHHENDIPADA                                       ","2014-09-17 10:58:18.017"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","fertilizer dose of paddy","recommended dap-35kg, mop-25kg, zinc-7kg","ODISHA","ANUGUL","KISHORENAGAR                                      ","2014-09-17 17:30:57.310"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","POWDERY MILDE IN PADDY","RECOMMENDED FOR SPRAY SULPHUR 4GM/LIT WATER FOR CONTROL OF POWDERY MILDEW IN PADDY.","ODISHA","ANUGUL","BANARPAL                                          ","2014-09-19 13:50:49.543"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","stem borer in paddy","recommended fame @ 1ml/3 litre water","ODISHA","ANUGUL","ATHMALLIK                                         ","2014-09-20 15:22:48.600"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","STEM BORER IN BRINJAL","RECOMMENDED FOR SPRAY FAME 5ML/ 15 LIT WATER FOR CONTROL OF STEM BORER IN BRINJAL.","ODISHA","ANUGUL","KISHORENAGAR                                      ","2014-09-24 06:55:49.813"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Fertilizer Use and Availability","FERTILISER DOSE","UREA 350GM+DAP 400GM+MOP 1KG+MIXED MICRONUTRIENT 250GM/PLANT","ODISHA","ANUGUL","ATHMALLIK                                         ","2014-09-24 20:16:12.677"
"KHARIF","HORTICULTURE","Fruits","Mango","Cultural Practices","MANGO CULTIVATION","DETAIL PACKAGE OF PRACTICE EXPLAINED","ODISHA","ANUGUL","KISHORENAGAR                                      ","2014-09-25 09:18:38.330"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FRUIT BORER","SPINOSAD 1ML/3LITRES OF WATER","ODISHA","ANUGUL","CHHENDIPADA                                       ","2014-09-25 21:10:16.303"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","ROOT ROT IN BRINJAL","RECOMMENDED FOR SPRAY RIDOMIL 2.5 GM/ LIT WATER FOR CONTROL OF ROOT ROT IN BRINJAL.","ODISHA","ANUGUL","PALALAHADA                                        ","2014-09-27 11:27:51.253"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","STEM BORER IN BRINJAL","RECOMMENDED FOR SPRAY FAME 5ML/15 LIT WATER FOR CONTROL OF STEM BORER IN BRINJAL","ODISHA","ANUGUL","KANIHA                                            ","2014-09-27 12:57:08.060"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","LEAF CURL","IMIDACLOPRID 1ML/3LITRES OF WATER","ODISHA","ANUGUL","CHHENDIPADA                                       ","2014-09-27 17:13:35.077"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","FERTILIZER DOSE OF BANANA","APPLY COWDUNG-10KG AND NPK MIXTURE 15KG/ ACRE.","ODISHA","ANUGUL","CHHENDIPADA                                       ","2014-09-28 06:14:40.770"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT IN PADDY","RECOMMENDED FOR SPRAY HEXACONOZOL 400 ML/ 200 LIT WATER ACRE FOR CONTROL OF SHEATH BLIGHT IN PADDY.","ODISHA","ANUGUL","BANARPAL                                          ","2014-09-28 12:23:05.527"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLAST IN PADDY","RECOMMENDED FOR SPRAY TRICYCLOGEL 120GM/ 200 LIT WATER ACRE FOR CONTROL OF BLAST IN PADDY.","ODISHA","ANUGUL","CHHENDIPADA                                       ","2014-09-29 10:38:49.370"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF ROT","SPRAY VALIDAMYCIN 2ML/1LITRE OF WATER","ODISHA","ANUGUL","ATHMALLIK                                         ","2014-09-30 16:28:42.380"
"KHARIF","HORTICULTURE","Fruits","Mango","Cultural Practices","LEAF CATTER PILLAR IN MANGO","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CATTER PILLAR IN MANGO.","ODISHA","ANUGUL","ANUGUL                                            ","2014-09-30 18:29:12.217"
