"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Fruits","Guava","	Plant Protection	","BETTER GROWTH AND YIELD IN GUAVA","APPLY NPK MIXTURE( BIO FERTILIZER) 200GM/ TREEE FOR BETTER GROWTH AND YIELD IN GUAVA.","ODISHA","GANJAM","ASKA                                              ","2014-11-01 09:07:39.860"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","POTATO CULTIVATION","DETAIL  PACKAGE OF PRACTICE GIVEN IN POTATO CULTIVATION.","ODISHA","GANJAM","KABISURYANAGAR                                    ","2014-11-01 09:39:48.487"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID PEST IN PADDY","RECOMMENDED FOR SPRAY ACEPHETE 2GM/ LIT WATER FOR CONTROL OF APHID PEST IN PADDY.","ODISHA","GANJAM","GANJAM                                            ","2014-11-01 10:42:55.540"
"RABI","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Disease Reporting","RANIKHET DISEASE","CONTACT VAS OF YOUR BLOCK","ODISHA","GANJAM","BUGUDA                                            ","2014-11-03 14:16:47.437"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","WILTING DISEASES OF TAMATO","RECOMMENDED FOR SPRAY COPPER OXICHLORIDE 30GM+ STREPTOCYCLIN 1.5 GM WITH 10 LIT WATER CONTROL OF WILTING DISEASES OF TAMATO.","ODISHA","GANJAM","SHERAGADA                                         ","2014-11-04 16:43:24.320"
"RABI","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","LEAF EATING CATERPILLAR","CHLOROPYRIPHOS 2ML/1LITRE OF WATER","ODISHA","GANJAM","HINJILICUT                                        ","2014-11-04 18:49:15.953"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","LEAF CURL IN BRINJAL","RECOMMENDED FOR SPRAY TRIZOPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CURL IN BRINJAL.","ODISHA","GANJAM","SURADA                                            ","2014-11-05 14:52:51.320"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","MITES IN BRINJAL","RECOMMENDED TO SPRAY DICOFOL 18.5 EC 4ML/1 LITER OF WATER","ODISHA","GANJAM","BUGUDA                                            ","2014-11-06 10:29:08.217"
"RABI","HORTICULTURE","Vegetables","Potato","Cultural Practices","SEED TREATMENT","MANCOZEB 3GM/1LITRE OF WATER","ODISHA","GANJAM","BEGUNIAPADA                                       ","2014-11-06 15:50:22.087"
"RABI","AGRICULTURE","Others","Others","Weather","RAINFALL FORECAST IN GANJAM DIST","NO RAINFALL OCCURS GANJAM DIST UPTO 10TH OCTOBER 2014.","ODISHA","GANJAM","DIGAPAHANDI                                       ","2014-11-07 08:13:15.710"
"RABI","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","FRUIT DROPS IN COCONUT","RECOMMENDED FOR SPRAY DAP-700GM, UREA--400GM, MOP-500GM AND COW DUNG 6 CARTOONS GIVEN FOR FRUIT DROPS IN COCONUT.","ODISHA","GANJAM","SHERAGADA                                         ","2014-11-07 09:52:08.413"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","LEAF CATTER PILLAR IN BRINJAL","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CATTER PILLAR IN BRINJAL.","ODISHA","GANJAM","SURADA                                            ","2014-11-07 11:10:12.403"
"RABI","HORTICULTURE","Flowers","Marigold","Cultural Practices","MARIGOLD CULTIVATION","DETAIL PACKAGE OF PRACTICE GIVEN ABOUT MARIGOLD CULTIVATION.","ODISHA","GANJAM","SHERAGADA                                         ","2014-11-07 13:37:46.703"
"RABI","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Cultural Practices","VARIETIES","USA,UMA,KALIKA,BINAYAK,NIRMALA,PRACHI.","ODISHA","GANJAM","CHIKITI                                           ","2014-11-07 17:47:34.523"
"RABI","AGRICULTURE","Others","Others","Weather","RAINFALL FORECAST IN GANJAM DIST","14 MM EXPECTED RAINFALL OCCURS ON 11TH NOVEMBER 2014 IN GANJAM DIST.","ODISHA","GANJAM","DIGAPAHANDI                                       ","2014-11-08 07:55:16.773"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID PEST IN PADDY","RECOMMENDED FOR SPRAY ACEPHETE 2GM/ LIT WATER FOR CONTROL OF APHID PEST IN PADDY.","ODISHA","GANJAM","GANJAM                                            ","2014-11-08 09:58:36.410"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH","BUPROFEZIN 2ML/1LITRE OF WATER","ODISHA","GANJAM","RANGEILUNDA                                       ","2014-11-08 19:34:19.110"
"RABI","HORTICULTURE","Vegetables","Potato","Government Schemes","SUBSIDY","CONTACT AHO OF YOUR BLOCK","ODISHA","GANJAM","SANAKHEMUNDI                                      ","2014-11-08 20:06:55.710"
"RABI","HORTICULTURE","Vegetables","Mushroom","	Plant Protection	","MUSHROOM CULTIVATION","DETAIL PACKAGE OF PRACTICE EXPLAINED ABOUT MUSHROOM CULTIVATION.","ODISHA","GANJAM","POLOSARA                                          ","2014-11-09 06:40:19.800"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","APHID PEST IN PADDY","RECOMMENDED FOR SPRAY  ACEPHETE 2GM/ LIT WATER FOR CONTROL OF APHID PEST IN PADDY.","ODISHA","GANJAM","SANAKHEMUNDI                                      ","2014-11-09 07:37:55.537"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","Cultural Practices","LEAF CURL IN BRINJAL","RECOMMENDED FOR SPRAY TRIZOPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CURL IN BRINJAL.","ODISHA","GANJAM","BUGUDA                                            ","2014-11-09 10:55:09.800"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","CATERPILLAR","CHLOROPYRIPHOS 2ML/1LITRE OF WATER","ODISHA","GANJAM","CHIKITI                                           ","2014-11-09 16:13:03.190"
"RABI","FISHERIES","Inland","Fresh Water","Tank, Pond and Reservoir Management","FISHERY SCHEME","CONTACT AFO OF YOUR BLOCK","ODISHA","GANJAM","KHALLIKOTE                                        ","2014-11-09 16:43:09.020"
"RABI","HORTICULTURE","Vegetables","Cucumber","	Plant Protection	","MITES","IMIDACLOPRID 1ML/3LITRES OF WATER","ODISHA","GANJAM","GANJAM                                            ","2014-11-09 17:50:06.437"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","ROOT ROT","RIDOMIL MZ 2.5GM/1LITRE OF WATER","ODISHA","GANJAM","DIGAPAHANDI                                       ","2014-11-09 17:52:57.170"
