"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","WEEDCIDE","TARGA SUPER 2ML/1LITRE OF WATER","ODISHA","KALAHANDI","NARALA                                            ","2014-09-02 14:12:28.477"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","WEEDCIDE","TARGA SUPER 2ML/1LITRE OF WATER","ODISHA","KALAHANDI","NARALA                                            ","2014-09-02 14:12:28.477"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLAST IN PADDY","TRICYCLAZOLE 120GM/ACRE","ODISHA","KALAHANDI","DHARAMAGARH                                       ","2014-09-02 15:55:48.093"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","TOP DRESSING","UREA 15KGS/ACRE","ODISHA","KALAHANDI","NARALA                                            ","2014-09-02 16:17:19.630"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","IMIDACLOPRID 1ML/3LITRES OF WATER","ODISHA","KALAHANDI","MADANPUR    RAMPUR                                ","2014-09-02 18:47:24.830"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLB IN PADDY","PLANTOMYCIN 200GM+COC 400GM/ACRE","ODISHA","KALAHANDI","NARALA                                            ","2014-09-02 20:34:12.023"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GALL MIDAGE IN PADDY","RECOMMENDED FOR SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF GALL MIDAGE IN PADDY.","ODISHA","KALAHANDI","MADANPUR    RAMPUR                                ","2014-09-02 20:49:43.050"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GALL MIDAGE IN PADDY","RECOMMENDED FOR SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF GALL MIDAGE IN PADDY.","ODISHA","KALAHANDI","MADANPUR    RAMPUR                                ","2014-09-02 20:49:43.050"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","GALL MIDAGE IN PADDY","RECOMMENDED FOR SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF GALL MIDAGE IN PADDY.","ODISHA","KALAHANDI","MADANPUR    RAMPUR                                ","2014-09-02 20:49:43.050"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEEDICIDE FOR PADDY","APPLY REFIT @ 800ML/HACTER","ODISHA","KALAHANDI","JUNAGARH                                          ","2014-09-03 10:25:35.757"
