"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF EATING CARTERPILAR","CHLOROPYRIPHOS 2ML/1LITRE OF WATER","ODISHA","NAWAPARA","KHARIAR                                           ","2014-09-02 19:00:10.527"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","KHAIRA DISEASE","ZINC SULPHATE 10KG/ACRE","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-02 20:03:29.367"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER IN PADDY","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL STEM BORER IN PADDY.","ODISHA","NAWAPARA","KOMNA                                             ","2014-09-04 10:32:27.857"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER IN PADDY","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF STEM BORER IN PADDY.","ODISHA","NAWAPARA","KOMNA                                             ","2014-09-05 12:52:15.687"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLAST IN PADDY","RECOMMENDED FOR SPRAY TRICYLOGOL 120GM/200 LIT WATER /ACRE FOR CONTROL OF BLAST IN PADDY.","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-07 07:06:49.287"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLB IN PADDY","PLANTOMYCIN 200GM+COC 400GM/ACRE","ODISHA","NAWAPARA","KOMNA                                             ","2014-09-07 15:34:35.100"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BPH IN PADDY","IMIDACLOPRID 1ML/3LITRES OF WATER","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-10 18:05:36.690"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","varieties of tomato","recommended BT-2, BT-10, BT-12","ODISHA","NAWAPARA","KHARIAR                                           ","2014-09-10 18:23:58.973"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","SHEATH BLIGHT","HEXA CONAJAL 2ML/1LITRE OF WATER","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-11 15:17:58.967"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Gall midge in paddy","For-Bangi-Spray Carbosulfan 25% EC,2ml/ltr of water","ODISHA","NAWAPARA","SINAPALI                                          ","2014-09-11 17:43:42.347"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommended chloropyriphos @ 2ml/litre water","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-12 14:46:00.340"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","fertilizer dose of paddy","recommended dap-35kg, mop-25kg, zinc-7kg/acre","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-12 15:24:33.380"
"RABI","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Market Information","SCHEME REGARDING COW","CONTACT VAS OF YOUR BLOCK","ODISHA","NAWAPARA","SINAPALI                                          ","2014-09-12 17:10:14.993"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","leaf turn red in paddy","recommended zinc @ 4gm/litre water","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-14 17:44:22.373"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer in paddy","recommended thimet @ 2gm/litre water","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-15 14:57:38.043"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","TONIC FOR SPRAY","AGROMIN GOLD 1ML/1LITRE OF WATER","ODISHA","NAWAPARA","NUAPADA                                           ","2014-09-15 15:31:53.687"
