"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","WEED CONTROL IN G.NUT","RECOMMENDED TO SPRAY TARGASUPER 2ML/1 LITER OF WATER","ODISHA","NAYAGARH","NAYAGARH                                          ","2014-09-04 14:59:09.190"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","WEED CONTROL IN G.NUT","RECOMMENDED TO SPRAY TARGASUPER 2ML/1 LITER OF WATER","ODISHA","NAYAGARH","NAYAGARH                                          ","2014-09-04 15:04:09.893"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","BLB OF PADDY","PLANTOMYCIN 200GM+COC 400GM/ACRE","ODISHA","NAYAGARH","ODAGAON                                           ","2014-09-04 19:09:36.713"
"KHARIF","HORTICULTURE","Fruits","Lemon","	Plant Protection	","SCAB IN LEMON DISEASES","RECOMMENDED FOR SPRAY 1.5 GM STREPTOCYCLIN +30GM COPPER OXICHLORIDE 30GM WITH 10 LIT WATER.","ODISHA","NAYAGARH","DASAPALLA                                         ","2014-09-05 10:32:59.930"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FUNGAL WILT","CARBENDAZIM 1.5GM/1LITRE OF WATER","ODISHA","NAYAGARH","RANAPUR                                           ","2014-09-09 17:57:40.220"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","PADDY Brown plant leafhopper","RECOMMENDED TO SPRAY BUPROFEZIN 25%SC @ 25ML/LIT OF WATER","ODISHA","NAYAGARH","BHAPUR                                            ","2014-09-10 12:19:38.550"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Disease Management","DISEASE","CONTACT EXPERT","ODISHA","NAYAGARH","RANAPUR                                           ","2014-09-10 15:53:16.050"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","VARIETY OF TAMATO","VARIETY OF TAMATO--- ARATI,UPASANA UTKAL DIPATI,ANJALI ETC","ODISHA","NAYAGARH","ODAGAON                                           ","2014-09-14 07:35:46.377"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","gall midge in paddy","recommended carbofuran 3g @ 12kg/acre","ODISHA","NAYAGARH","BHAPUR                                            ","2014-09-14 20:02:31.290"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","UREA GOVT SUBSIDY RATE","RECOMMENDED TO CONTACT ASST AGRICULTURE OFFICE OR UREA RATE-RS 284-285 PER BAG","ODISHA","NAYAGARH","ODAGAON                                           ","2014-09-15 06:37:25.550"
