"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","ROOT ROT","REDOMIL MZ 2.5GM/1LITRE OF WATER","ODISHA","PURI","KAKAT PUR                                         ","2014-09-02 14:06:55.600"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Mushroom Production","mushroom production","recommended take training in kvk","ODISHA","PURI","SATYABADI                                         ","2014-09-02 15:41:19.757"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Mushroom Production","mushroom production","recommended take training in kvk","ODISHA","PURI","SATYABADI                                         ","2014-09-02 15:41:19.757"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Mushroom Production","mushroom production","recommended take training in kvk","ODISHA","PURI","SATYABADI                                         ","2014-09-02 15:41:19.757"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","ZINC DEFICIENCY","ZINC  SULPHATE 5KG/ACRE","ODISHA","PURI","GOP                                               ","2014-09-02 19:55:19.600"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","LEAF CURL IN CAULIFLOWER","RECOMMENDED FOR SPRAY TRIZOPHOUS 2ML/ LIT WATER FOR CONTROL OF LEAF CURL IN CAULIFLOWER .","ODISHA","PURI","NIMAPADA                                          ","2014-09-04 10:18:42.317"
"KHARIF","HORTICULTURE","Plantation Crops","Eculeptous","Cultural Practices","TRANSPLANTING PROCESS","REMOVE POLYTHENE BEFORE TRANSPLANTING","ODISHA","PURI","KANAS                                             ","2014-09-05 14:26:26.370"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF PURI DIST","RAINFALL DATA FROM SEPT 7-27MM,SEPT 8-22MM,SEPT 9-6MM Rainfall (mm)","ODISHA","PURI","SADAR                                             ","2014-09-06 11:50:37.753"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF PURI DIST","RAINFALL DATA FROM 7-27MM,SEPT 8-22MM,SEPT 9-6MM Rainfall (mm)","ODISHA","PURI","PIPILI                                            ","2014-09-06 14:00:33.460"
"KHARIF","HORTICULTURE","Fruits","Banana","	Plant Protection	","SUCKING PEST IN BANANA","RECOMMENDED FOR SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN BANANA.","ODISHA","PURI","NIMAPADA                                          ","2014-09-08 13:32:12.697"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weed infestation in paddy","recommended almix @ 8gm/acre","ODISHA","PURI","NIMAPADA                                          ","2014-09-08 18:12:31.170"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","LEAF EATING CARTERPILAR","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","PURI","SADAR                                             ","2014-09-09 16:15:58.833"
"KHARIF","HORTICULTURE","Vegetables","Radish","Cultural Practices","SEED RATE","2KG-3KG/ACRE","ODISHA","PURI","NIMAPADA                                          ","2014-09-09 21:19:49.780"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","BASAL FERTILISER DOSE","UREA 15KG,DAP 35KG,MOP 25KG/ACRE","ODISHA","PURI","DELANGA                                           ","2014-09-10 14:07:41.657"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","PURI","SADAR                                             ","2014-09-10 15:05:30.263"
"KHARIF","HORTICULTURE","Vegetables","Ridge Gourd","	Plant Protection	","VARIETY OF RIDGE GOURD","VARIETY OF RIDGE GOURD--KANYA KUMARI, JAIPUR LUNG, BARAPATRI.","ODISHA","PURI","DELANGA                                           ","2014-09-13 09:11:28.150"
"KHARIF","HORTICULTURE","Vegetables","Ridge Gourd","Cultural Practices","variety of ridge gourd","variety of ridge gourd--JAIPUR LUNG, BARAPATRI, DHRA ETC","ODISHA","PURI","DELANGA                                           ","2014-09-13 09:14:36.440"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","LEAF EATING CATERPILLER","CHLOROPYRIPHOS 400ML/ACRE","ODISHA","PURI","DELANGA                                           ","2014-09-13 14:08:20.357"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","STEM BORER IN PADDY","RECOMMENDED FOR SPRAY CHLOROPYRIPHOUS 2ML/ LIT WATER FOR CONTROL OF STEM BORER IN PADDY.","ODISHA","PURI","SADAR                                             ","2014-09-14 07:56:11.093"
