"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","production of tomato","4 quintal/acre","ODISHA","SUNDARGARH","NUAGAON                                           ","2014-08-01 11:27:49.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","GRADE OF PADDY","FOLLOW THE EXPLAINED PROCEDURE","ODISHA","SUNDARGARH","BONAIGARH                                         ","2014-08-01 12:56:03.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","seed price of paddy","call transfered to expert","ODISHA","SUNDARGARH","BONAIGARH                                         ","2014-08-01 12:56:29.000"
"","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","leaf curl in chilly","recomended abamectin @ 1ml/1litre","ODISHA","SUNDARGARH","SUNDARGARH                                        ","2014-08-01 19:21:26.000"
"","FISHERIES","Inland","Fresh Water","Fishery Mechanization","FOR CONSTRUCTION OF AQUASHOP","RECOMENDED TO CONTACT AFO(SATISH RANJAN DAS-9437232299) DIRECTORATE OF FISHERIES,CUTTACK,ODISHA FOR BETTER ASSISTANCE","ODISHA","SUNDARGARH","LATHIKATA                                         ","2014-08-02 11:34:30.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","weedcide in rice.","weedcide in rice.-apply butachlor 800ml/acre with 25 kg of sand.","ODISHA","SUNDARGARH","BONAIGARH                                         ","2014-08-02 17:09:09.000"
"","HORTICULTURE","Fruits","Banana","	Plant Protection	","SIGATOKA IN BANANA","RECOMMENDED SPRAY CARBENDAZIM 1.5GM/1LITRE OF WATER","ODISHA","SUNDARGARH","LAHUNIPARA                                        ","2014-08-02 17:24:10.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","FUNGAL AND BACTERIAL DISEASE BRINJAL","RECOMMENDED SAAF 2 GM +PLANTOMYCIN 1 GM /LTR WATER FUNGAL AND BACTERIAL DISEASE BRINJAL","ODISHA","SUNDARGARH","HEMGIR                                            ","2014-08-02 17:26:32.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","fertilizer application in rice","apply 12 kg phosphorous and potash and 6 kg nitrogen.","ODISHA","SUNDARGARH","TANGARPALI                                        ","2014-08-03 06:50:53.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","HARVESTING TIME OF PADDY OF TEJASWINI VARIETY","HARVESTING TIME - 135 DAYS.","ODISHA","SUNDARGARH","TANGARPALI                                        ","2014-08-03 13:38:28.000"
"","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","shoot rot in tomato","recomended redomil @ 2.5gm/litre water","ODISHA","SUNDARGARH","NUAGAON                                           ","2014-08-03 14:53:36.000"
"","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Integrated Farming","POULTRY FARMING","RECOMMENDED TO MEET BLOCK VETRINARY DEVELOPMENT OFFICER, LEPHRIPARA FOR ASSISTANCE","ODISHA","SUNDARGARH","LEPHRIPARA                                        ","2014-08-03 20:51:31.000"
"","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Integrated Farming","about petting cow","consult vas","ODISHA","SUNDARGARH","SUNDARGARH                                        ","2014-08-04 15:10:59.000"
"","HORTICULTURE","Fruits","Papaya","	Plant Protection	","ROOT ROT IN PAPAYA","APPLY SAAF @ 2GM/LITRE SPRAY","ODISHA","SUNDARGARH","BONAIGARH                                         ","2014-08-04 16:56:22.000"
"","HORTICULTURE","Vegetables","Cowpea (Vegetable)","Cultural Practices","FLOWER DROP IN COWPEA","PLANOFIX 1ML/5LITRES OF WATER","ODISHA","SUNDARGARH","HEMGIR                                            ","2014-08-04 17:43:04.000"
"","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","leaf turn yellow in pumpkin","recomended confidor @ 1ml/3litre water","ODISHA","SUNDARGARH","BISRA                                             ","2014-08-04 17:49:48.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","ROOT ROTTING IN PADDY","ROOT ROTTING IN PADDY--RECOMEND TO SPRAY SAAF 2GM/LITER WATER","ODISHA","SUNDARGARH","SUNDARGARH                                        ","2014-08-04 18:57:34.000"
"","HORTICULTURE","Condiments and Spices","Ginger","Cultural Practices","FERTILISER DOSE  IN GINGER","RECOMMENDED DOSE  UREA 80KG,MOP 120KG PER ACRE FOR FERTILISER DOSE  IN GINGER","ODISHA","SUNDARGARH","HEMGIR                                            ","2014-08-05 09:32:26.000"
"","HORTICULTURE","Vegetables","Mushroom","Training and Exposure Visits","TRAINING ON MUSHROOM","VISIT OUAT BBSR FOR MUSHROOM TRAINING .","ODISHA","SUNDARGARH","LATHIKATA                                         ","2014-08-05 10:10:15.000"
"","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Cultural Practices","CULTIVATION PRACTICES","DETAILS GIVEN","ODISHA","SUNDARGARH","SUNDARGARH                                        ","2014-08-06 20:20:26.000"
