"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","control of bph in paddy ?","??? ??? ???? ??? ?? ???????? ???? ????????????? 25% ?? ????? ?? ????????????? 36 % 400 ??.?? ?? ?????????????? 17.8% 40 ???? ?? ????????????? 25% 320 ??.??.????? ??? ?????? ???","CHHATTISGARH","Balod","GUNDERDEHI","2014-11-01 11:04:33.913"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","How to control of fungal attack in brinjal crop?","Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","Balod","GUNDERDEHI","2014-11-01 12:46:59.387"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","Which fertilizer and nutrient give for better growth in citrus crop?","apply N:p:K 19:19:19 @ 100 GRAM AND HUMIC ACID 30 ML PER PUMP .","CHHATTISGARH","Balod","GUNDERDEHI","2014-11-02 12:20:03.867"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","mandi rat of paddy","Navapara	Paddy(Dhan)	168.6	Tonnes	NR	HMT	FAQ	1701	1725	1712	Rs/Quintal
Tonnes		MTU-1008	FAQ	1234	1291	1265	Rs/Quintal
Tonnes		Samba Masuri	FAQ	1300	1501	1460	Rs/Quintal
Tonnes		Swarna Masuri (OLD)	FAQ	1265	1287	1275	Rs/Quintal","CHHATTISGARH","Balod","GURUR","2014-11-02 15:23:01.940"
"RABI","AGRICULTURE","Others","Others","Weather","govermwent schymes","aa","CHHATTISGARH","Balod","BALOD","2014-11-03 07:09:38.963"
"RABI","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","control of canker in acid lime  ?","spray of Copper oxychloride (COC) 0.3% is done followed by 4 sprayings with Streptocyclin 100 ppm + COC 1.5 kg/ha at monthly intervals.","CHHATTISGARH","Balod","GURUR","2014-11-03 08:19:22.933"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEATHER INFORMATION ?","----------------------------------------------------------------------------------------------------
                              DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              07/11               08/11               09/11               10/11               11/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   0                   0                   0","CHHATTISGARH","Balod","	DONDILOHARA","2014-11-06 10:59:31.653"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to increse yield of padddy ?","use npk 191919 100g\pump","CHHATTISGARH","Balod","GUNDERDEHI","2014-11-06 11:29:26.060"
"RABI","AGRICULTURE","Others","Others","Weather","weather","DAY-1               DAY-2               DAY-3               DAY-4               DAY-5
                              08/11               09/11               10/11               11/11               12/11
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   0                   0                   8                   6                   0
Max Temperature ( deg C)       29                  29                  30                  31                  31
Min Temperature ( deg C)       16                  16                  18                  21                  20
Total cloud cover (octa)        8                   7                   6                   4                   3
Max Relative Humidity (%)      61                  64                  93                  92                  82","CHHATTISGARH","Balod","DONDI","2014-11-07 13:47:39.213"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","which fertilizer and nutrient give for better growth in paddy crop?","Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","CHHATTISGARH","Balod","DONDI","2014-11-09 10:18:57.853"
