"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Shoot and fruit borer:","Insecticide	Dose
Azadirachtin 1.0% EC (10000 ppm)	3.0  ml/lit.
Azadirachtin 0.03 % WSP (300 ppm)	5.0  g/lit.
Chlorpyrifos 20 % EC	1.0  ml/lit.
Dimethoate 30 % EC	7.0  ml/10 lit.
Emamectin benzoate 5 % SG	4 g/10 lit.
Flubendiamide 20 WDG	7.5 g/10 lit.
Phosalone 35 % EC	1.5  ml/lit.
Quinalphos 25 % EC	1.5 ml/lit.
Thiodicarb 75 % WP	2.0 g/lit.
Thiometon 25 % EC	1.0 ml/lit.
Trichlorofon 50 % EC	1.0 ml/lit.
Triazophos 40 % EC	2.5 ml/lit.","CHHATTISGARH","BalodaBayar","BILAIGARH","2014-12-01 07:39:30.703"
"RABI","AGRICULTURE","Cereals","Wheat","	Water Management	","INFORMATION REGARDING FOR THE 1ST IRRIGATION  OF WHEAT AFTER SOWING ?","1ST IRRIGATION TO WHEAT CROP AFTER 25TH DAYS  DATE OF SOWING .","CHHATTISGARH","BalodaBayar","BHATAPARA","2014-12-02 10:09:20.257"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR WEATHER ?","NO CHANCES OF RAINFALL .","CHHATTISGARH","BalodaBayar","BHATAPARA","2014-12-02 10:11:02.197"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","How to control white fly in brinjal crop?","Recommended for Spray Dimethoate 30%EC (Rogar) 40 ml per pump.","CHHATTISGARH","BalodaBayar","KASDOL","2014-12-03 07:45:36.353"
"RABI","HORTICULTURE","Fruits","Acid Lime","	Plant Protection	","how to control podery mildew in citrus ?","spray wettble sulphue @ 1.5 kg/ hactare dissolve in 200 litre of water to control podery mildew in citrus .","CHHATTISGARH","BalodaBayar","BILAIGARH","2014-12-03 14:26:26.073"
"RABI","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","how to control weeds in okra ?","Spray Oxyflourfen 23.5 EC @ 750 ml /hECTARE    application on third day after sowing.  Herbicide application should be integrated with one hand weeding on 30 days after sowing.","CHHATTISGARH","BalodaBayar","BILAIGARH","2014-12-03 18:19:37.573"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","farmer want to know information about Seed treatment in GRAM  crop.","Use bavastim 3 gm per kg of seed","CHHATTISGARH","BalodaBayar","SIMGA","2014-12-04 12:40:03.487"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","what is the requirement of fertilizer?","125kg SSP, 40kg Urea, MOP 15kg /acar.","CHHATTISGARH","BalodaBayar","BALODA BAZAR","2014-12-04 15:07:58.903"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Weather information","Chance of no rain next fine days.","CHHATTISGARH","BalodaBayar","BILAIGARH","2014-12-04 15:39:58.300"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","Farmer wants to know about sowing time of wheat crop?","recommended for 15 th october to 1 st week of november is the best sowing time for inirrigated wheat crop.","CHHATTISGARH","BalodaBayar","BALODA BAZAR","2014-12-04 16:16:58.920"
