"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","how to improve growth ?","spray NPK 19 :19;19 @ 1.5 Kg/acar dissolve in 150 litre of water.","CHHATTISGARH","Gariyaband","DEOBHOG","2014-12-01 15:21:25.807"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","HOW TO CONTROL Leaf curl DISEASE ?","SPRAY Dimethoate 2ml oR Acephate 1g per litre of water TO CONTROL Leaf curl DISEASE  .","CHHATTISGARH","Gariyaband","FINGESHWAR","2014-12-01 20:15:53.270"
"RABI","HORTICULTURE","Fruits","Aonla","	Plant Protection	","how to improve growth ?","spray NPK 19 :19;19 @ 1.5 Kg/acar dissolve in 150 litre of water.","CHHATTISGARH","Gariyaband","FINGESHWAR","2014-12-01 20:22:19.713"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Farmer want to know about how to control blast of paddy crop?","Recommended for spray hexaconazol 5% EC 400ml at per Acer.","CHHATTISGARH","Gariyaband","CHHURRA","2014-12-05 06:29:29.043"
"RABI","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","How to control caterpillars in COWPEA crop?","Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.","CHHATTISGARH","Gariyaband","CHHURRA","2014-12-05 10:35:07.753"
"RABI","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","	Plant Protection	","How to control caterpillars in arher crop?","Recommended for Spray of Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac.","CHHATTISGARH","Gariyaband","GARIYABAND","2014-12-06 12:25:43.923"
"RABI","FISHERIES","Inland","Fresh Water","Breeding of freshwater prawn","farmer wants to information of fishrri  deptt. ?","9425891770 contect number of fishrri  deptt","CHHATTISGARH","Gariyaband","GARIYABAND","2014-12-07 12:32:30.133"
"RABI","HORTICULTURE","Vegetables","Bitter Gourd","	Plant Protection	","How to increase size and production in bitter gaurd crop?","Recommended for N:P:K 0:52:34 1 kg at per acer","CHHATTISGARH","Gariyaband","FINGESHWAR","2014-12-08 10:41:45.343"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","farmer want to know information about How to control of fungal attack in ONION crop ?","spray mencojeb + carbandazim 45 gram and steptrocyclin 2 gram at 15 liter of water","CHHATTISGARH","Gariyaband","CHHURRA","2014-12-11 11:58:42.437"
"RABI","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","HOW TO CONTROL LEAF CURL VIRUS IN CHILLI ?","spray imidchloprid 17.8 SL @ 3 ML./ 10 LITRE OF WATER  
TO CONTROL LEAF CURL VIRUS IN CHILLI .","CHHATTISGARH","Gariyaband","FINGESHWAR","2014-12-12 20:57:43.427"
"RABI","HORTICULTURE","Fruits","Jack Fruit","	Plant Protection	","Farmer want to know  How to control flower dropping problem in  jack fruit crop ?","Recommended for spray Alfa NAA (planofex) 3-5ml per pump.","CHHATTISGARH","Gariyaband","FINGESHWAR","2014-12-13 20:20:16.280"
"RABI","AGRICULTURE","Others","Others","Weather","weather information ?","some clouds in your area","CHHATTISGARH","Gariyaband","MAINPUR","2014-12-16 07:14:05.950"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","How to control of fungal attack in moong crop?","Drenching of carbendazim + manco zev 40 gm/ and streptrocycline 2 gram at 15 liter of water .","CHHATTISGARH","Gariyaband","DEOBHOG","2014-12-17 10:32:26.833"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","farmer want to know information about Seed treatment ?","Use bavastim 3 gm per kg of seed","CHHATTISGARH","Gariyaband","GARIYABAND","2014-12-20 07:32:27.457"
"RABI","AGRICULTURE","Cereals","Wheat","	Field Preparation	","farmer want to know information about Seed treatment ?","Use bavastim 3 gm per kg of seed","CHHATTISGARH","Gariyaband","GARIYABAND","2014-12-20 07:32:30.037"
"RABI","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Fertilizer Use and Availability","what is the fertilizer dose of Moong ?","120kg SSP,  20 Kg Urea , MOP  25kg/acar at the time of sowing.","CHHATTISGARH","Gariyaband","DEOBHOG","2014-12-21 17:15:04.870"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Farmer want to know  How to control flower dropping problem in  crop ?","Recommended for spray Alfa NAA (planofex) 3-5ml per pump.","CHHATTISGARH","Gariyaband","FINGESHWAR","2014-12-23 16:57:29.903"
"RABI","HORTICULTURE","Vegetables","Onion","Fertilizer Use and Availability","fertilizer application","Apply FYM 25 t/ha, Azospirillum 2 kg and Phosphobacteria 2 kg/ha, N 50 kg, P 150 kg and K 75 kg/ha as basal dose and N 50 kg/ha as top-dressing is done at 30 days after planting. Apply Zinc sulphate as basal dose @ 50 kg/ha at the time of last ploughing.","CHHATTISGARH","Gariyaband","CHHURRA","2014-12-26 10:43:22.800"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","farmer want to know information about What are fertilizer doses in paddy crop?","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","Gariyaband","FINGESHWAR","2014-12-27 09:14:07.607"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","farmer want to know information about How to control of fungal attack in crop ?","Use copper oxy chloride  50% w  45 gram and steptrocyclin  90% w/w 2 gram at 15 liter of water","CHHATTISGARH","Gariyaband","CHHURRA","2014-12-27 12:58:10.257"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Recommended for Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","Gariyaband","FINGESHWAR","2014-12-28 10:52:01.917"
