"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","ask abt thrips","i suggest profenophos","GUJARAT","JUNAGAdH","","2014-08-01 08:50:34.000"
"","AGRICULTURE","Fodder Crops","fodder sorghum","","ask about grass hopper in soghum","I suggested spray sypermethrin 8 mili / 15 liter","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 09:01:49.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","ask about groundnut leaf become yellow color.","i suggest to use:100 gram ferous sulfet  + 10 gram cytric acid per 10 liter water and to spray.","GUJARAT","JUNAGAdH","VISAVADAR                                         ","2014-08-01 09:32:05.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","ask for fungus problem in cotton","suggest:copper oxicloride 40 ml with humic acid /pump","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 09:35:54.000"
"","HORTICULTURE","Vegetables","Indian Bean (Vegetable)","","ask for  heliothish","sugg to quinalphosh 1.5% 5 kg/vigha","GUJARAT","JUNAGAdH","UNA                                               ","2014-08-01 09:36:09.000"
"","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","ask about catter pillar in sesame","I suggested quinalphosh 30 mili / 15 liter","GUJARAT","JUNAGAdH","MANGROL                                           ","2014-08-01 09:36:23.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","ask for cotton fertilizer dose","sugg to yuriya 15 kg/vigha","GUJARAT","JUNAGAdH","KESHOD                                            ","2014-08-01 09:38:07.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","ask about fertlizer application","I suggested  nitrogenous fertilizer should be given after sowing","GUJARAT","JUNAGAdH","MENDARDA                                          ","2014-08-01 09:59:14.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Cultural Practices","ask for sowing cumin in cotton","suggest it is possible","GUJARAT","JUNAGAdH","MANGROL                                           ","2014-08-01 10:00:17.000"
"","HORTICULTURE","Fruits","Papaya","","viral disease in papaya","dimethoate  15 ml/pump","GUJARAT","JUNAGAdH","MANGROL                                           ","2014-08-01 10:08:18.000"
"","AGRICULTURE","Others","Others","","ask for loan","suggested visit nationalized bank","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 10:15:54.000"
"","AGRICULTURE","Others","Others","","ask about weather condition","call on 1800 180 1717 for weather","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 10:19:31.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","weather information","given contact 18001801717","GUJARAT","JUNAGAdH","MENDARDA                                          ","2014-08-01 10:49:16.000"
"","AGRICULTURE","Others","Others","","ask about weather","call 1800 180 1717","GUJARAT","JUNAGAdH","KODINAR                                           ","2014-08-01 10:58:53.000"
"","AGRICULTURE","Others","Others","","ASK for weather","call 1800 180 1717 for weather","GUJARAT","JUNAGAdH","KODINAR                                           ","2014-08-01 11:01:30.000"
"JAYAD","AGRICULTURE","Others","Others","","ask for miss call","sugg to 1800 208 208 1","GUJARAT","JUNAGAdH","VISAVADAR                                         ","2014-08-01 11:21:50.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","groundnut leaf become yellow color.","i suggest to use:100 gram ferous sulfet  + 10 gram cytric acid per 10 liter water and to spray.","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 11:30:22.000"
"","AGRICULTURE","Others","Others","","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 11:32:49.000"
"","AGRICULTURE","Others","Others","","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 11:41:55.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","appli. dose of neem oil","60 ml/pumop","GUJARAT","JUNAGAdH","KODINAR                                           ","2014-08-01 11:51:01.000"
"","AGRICULTURE","Pulses","Pigeon pea (red gram/arhar/tur)","","ASK ABOUT VARIETY","SUGGEST BDN-2 VARIETY","GUJARAT","JUNAGAdH","VISAVADAR                                         ","2014-08-01 11:52:35.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","sucking pest in gnut","neem oil 60 ml/pump","GUJARAT","JUNAGAdH","MENDARDA                                          ","2014-08-01 11:52:53.000"
"","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","","ASK ABOUT SESAMUM BLACK VARIETY","SUGGEST GUJARAT TIL 10","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 11:55:54.000"
"","AGRICULTURE","Others","Others","","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 12:00:35.000"
"JAYAD","AGRICULTURE","Others","Others","","ASK ABOUT WILT DIESEAS.","mancozeb 25 gram per pump and to spray.","GUJARAT","JUNAGAdH","VANTHALI                                          ","2014-08-01 12:01:13.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","ask about wilt in g'nut","I suggested copperoxicloride 40 gram / 15 liter","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 12:07:13.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","ASK ABOUT WILT CONTROL","SUGGEST CARBENDAZIM 20 GRAM/10 LITAR WATER","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 12:19:54.000"
"","HORTICULTURE","Vegetables","Onion","","Onion fertilizers information.","i suggest to need potash in onion crop.","GUJARAT","JUNAGAdH","UNA                                               ","2014-08-01 12:21:06.000"
"JAYAD","AGRICULTURE","Others","Others","","ask for rainfall information","varsad samanya che","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 12:21:21.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","ask about cotton fungi problem","suggest:bavistin 30 gm/pump dranching","GUJARAT","JUNAGAdH","KODINAR                                           ","2014-08-01 12:40:24.000"
"","AGRICULTURE","Others","Others","","ask about tractor subcidy","i suggest contact horticulture and agriculture officer","GUJARAT","JUNAGAdH","MANGROL                                           ","2014-08-01 12:53:34.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","YELLOWING OF GNUT","FESO4 100 GM + 10 GM LIMBU NA FUL IN 10 L WATER","GUJARAT","JUNAGAdH","PATAN VERAVAL                                     ","2014-08-01 13:35:14.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","ask abt larvae problem?","suggested qunalphos 20 ml/pump.","GUJARAT","JUNAGAdH","","2014-08-01 14:03:14.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","ask about sucking pest","suggested trayjofos 25ml per pump","GUJARAT","JUNAGAdH","VISAVADAR                                         ","2014-08-01 14:17:06.000"
"","AGRICULTURE","Others","Others","Market Information","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","JUNAGAdH","","2014-08-01 14:19:19.000"
"","AGRICULTURE","Others","Others","","ask for i kisan registration info.","apply online for i kisan  registration","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 14:22:06.000"
"","AGRICULTURE","Others","Others","","ask market rate","call 1800 102 8767","GUJARAT","JUNAGAdH","MALIA                                             ","2014-08-01 14:30:48.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","ask for sucking pest control information","suggest:prophenophose 25 ml/pump sprey","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 14:33:52.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","ask about prevent growth in groundnut","i suggest livocin 20ml/pump spray","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 14:56:34.000"
"","AGRICULTURE","Others","Others","","Ask for market rate","call 1800 102 8767 for market rate","GUJARAT","JUNAGAdH","TALALA                                            ","2014-08-01 15:03:28.000"
"RABI","AGRICULTURE","Others","Others","	Field Preparation	","ask about market","market price sms","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 15:16:18.000"
"","AGRICULTURE","Others","Others","","ask about market rate","suggest call 18001028767 for market rate","GUJARAT","JUNAGAdH","KODINAR                                           ","2014-08-01 15:20:58.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","Groundnut leaf become yellow color. 	100 gm ferous sulfet+ 10  gm cytricacid /10 liter water &spray  	??0  ????? ???? ????? + ??  ????? ???????????? ?? ???? ??????? ???? ??????.","100 gm ferous sulfet+ 10  gm cytricacid /10 liter water &spray","GUJARAT","JUNAGAdH","PATAN VERAVAL                                     ","2014-08-01 15:24:59.000"
"","AGRICULTURE","Others","Others","","ask for rainfall information","suggest probability of rainfall","GUJARAT","JUNAGAdH","MANGROL                                           ","2014-08-01 15:25:19.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Agriculture Mechanization","Ask for cotton thrips.","profenophos 30 ml. per pump and to spray.","GUJARAT","JUNAGAdH","PATAN VERAVAL                                     ","2014-08-01 15:27:23.000"
"","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","","ask about wilt in groundnut","i suggest mencozeb 35gram/pump spray","GUJARAT","JUNAGAdH","VISAVADAR                                         ","2014-08-01 15:42:11.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","ask about sucking pest in coton","Traizophos 20 ml / 10 lit water","GUJARAT","JUNAGAdH","VISAVADAR                                         ","2014-08-01 15:43:48.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","ask about sucking pest","Traizophos 20 ml / 10 lit water","GUJARAT","JUNAGAdH","MANAVADAR                                         ","2014-08-01 15:45:10.000"
"","AGRICULTURE","Others","Others","Weather","Ask about weather","possibility of rain fall","GUJARAT","JUNAGAdH","MANAVADAR                                         ","2014-08-01 16:04:23.000"
"JAYAD","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","Ask for groundnut growth retarded informaton.","liyosin 5 ml. per pump and to spray.","GUJARAT","JUNAGAdH","JUNAGADH                                          ","2014-08-01 16:21:52.000"
"","HORTICULTURE","Plantation Crops","Coconut","Field Preparation","ask about sowing distance","6*6meter between two plant","GUJARAT","JUNAGAdH","PATAN VERAVAL                                     ","2014-08-01 16:28:43.000"
