"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","nutrient give for better Which fertilizer and growth in soyabean crop?","Spray N: P: K 19:19:19 100 grams and humic acid 30 ml at 15 liter of water.","CHHATTISGARH","Mungeli","MUNGELI","2014-08-07 09:47:12.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","flower & fruit  dropping ?","??????????? @ 5  ??.?? / ??? ?? ?????? ????","CHHATTISGARH","Mungeli","MUNGELI","2014-08-09 10:28:12.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","how to control fungal disease in paddy ?","trycyclozole powder","CHHATTISGARH","Mungeli","MUNGELI","2014-08-20 07:27:00.217"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Which fertilizer and nutrient give for better growth in mango crop?","foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.","CHHATTISGARH","Mungeli","LORMI","2014-08-20 07:57:17.107"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","fertilizer application","Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.","CHHATTISGARH","Mungeli","PATHARIYA","2014-08-20 08:45:35.720"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","Mungeli","MUNGELI","2014-08-21 07:51:56.020"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather","Bilaspur 1 – 3 Day Weather Forecast Summary: Moderate rain (total 13mm), heaviest on Sat afternoon. Warm (max 34°C on Fri afternoon, min 27°C on Sat night). Wind will be generally light.Bilaspur 4 – 7 Day Weather Forecast Summary: Moderate rain (total 11mm), heaviest on Wed night. Warm (max 36°C on Wed afternoon, min 28°C on Mon night). Wind will be generally light.","CHHATTISGARH","Mungeli","MUNGELI","2014-08-22 13:55:10.343"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weather information","Cloudy
Feels Like: +38°
Dewpoint: +23°
Humidity: 54.2%
Visibility: 4 km
As of 22/08 02:30 pm
Observed at Pendra Road
Past observations, Pendra Road >","CHHATTISGARH","Mungeli","MUNGELI","2014-08-22 16:42:55.503"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-08-22 17:20:04.010"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","Mungeli","MUNGELI","2014-08-23 12:20:07.560"
"KHARIF","AGRICULTURE","Millets","Sorghum (Jowar/Great Millet)","	Plant Protection	","how to control stem borer ?","apply Phorate 10 G 8 kg/hectare","CHHATTISGARH","Mungeli","MUNGELI","2014-08-24 20:45:18.930"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","control of algae in paddy ?","use of copper sulphate 5 kg/acre","CHHATTISGARH","Mungeli","MUNGELI","2014-08-25 08:23:59.130"
