"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","Control  of  Wilt,Leaf Spot, Rust, Blast  of  Gram,Groundnut, Fruits, Vegetables, Rice ?","Spray  of  Carbendazim 12% + Mancozeb 63% WP (Saaf  or  sixer) @  35 g /pump.","CHHATTISGARH","Mungeli","MUNGELI","2014-11-01 12:22:31.700"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Control  of  pest in brinjal ?","Spray of  Profenophos 40%+Cypermethrin 4% EC( Rocket or Poltrin or Veercombi )@ 40 ml /pump","CHHATTISGARH","Mungeli","MUNGELI","2014-11-01 12:27:03.350"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","????????","??????? ?? ????? 3 ????? ????? ?? ?????? 1.5 ??.??. ????? ???? ??? ?? ????? ?? 
 ??  
•  ???????????? 5 ????? ????? ???? ??? ?? ????? ?? ???????? ???? ?","CHHATTISGARH","Mungeli","LORMI","2014-11-01 15:31:42.550"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WHEN HARVESTING OF RICE ?","Taking the average duration of the crop as an indication, drain the water from the field 7 to 10 days before the expected harvest date as draining hastens maturity and improves harvesting conditions.
When 80% of the panicles turn straw colour, the crop is ready for harvest.  Even at this stage, the leaves of some of the varieties may remain green.
Confirm maturity by selecting the most mature tiller and dehusk a few grains. If the rice is clear and firm, it is in hard dough stage.
When most of the grains at the base of the panicle in the selected tiller are in a hard dough stage, the crop is ready for harvest. At this stage harvest the crop, thresh and winnow the grains.","CHHATTISGARH","Mungeli","MUNGELI","2014-11-02 17:35:51.080"
"RABI","AGRICULTURE","Others","Others","Weather","tell me weather forecast .","chance of no rainfall next five days .","CHHATTISGARH","Mungeli","MUNGELI","2014-11-02 17:43:26.803"
"RABI","AGRICULTURE","Others","Others","Weather","Weather forecasting","No rainfall within 5 days in your district.","CHHATTISGARH","Mungeli","MUNGELI","2014-11-04 14:43:18.277"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","What are the varities of onion crop ?","nashik red , pusa white round , royal selection , royal red , orient .","CHHATTISGARH","Mungeli","PATHARIYA","2014-11-06 09:58:50.073"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WHAT ARE THE VARITIES OF PADDY CROP ?","Pusa basmati – 1,pusa basmati – 6, pusa basmati – 1509, pusa basmati -1121, pusa sugandha – 2, or 3.","CHHATTISGARH","Mungeli","LORMI","2014-11-06 10:52:54.800"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","How to control of weeds in wheat ?","Spray of  Sulfosulfuron 75% + Metsulfuran Methyl 5% WG @ 16 gm/acre","CHHATTISGARH","Mungeli","PATHARIYA","2014-11-08 11:50:42.407"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about Which non selective herbicide use in field?","Spray  of Glyphosate 41% SL 100 ml per pump.","CHHATTISGARH","Mungeli","PATHARIYA","2014-11-08 12:15:41.410"
