"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control gundhi bug in paddy crop ?","Spray of Profenofos 40% + Cypermethrin 4% EC 1000 Ml. / hac.","CHHATTISGARH","Mungeli","MUNGELI","2014-10-01 09:00:15.380"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about How to control Blast disease in paddy crop?","Spray Tricyclazol, hexacorazol, propiconazol 20-25 ml per pump and steptrocyclin 2 to 3 gram per pump.","CHHATTISGARH","Mungeli","LORMI","2014-10-01 10:08:00.003"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control stem borer in paddy crop?","Apply cartap hydro  chloride 7 to 10 kg at per Acer.","CHHATTISGARH","Mungeli","LORMI","2014-10-01 11:21:10.563"
"KHARIF","HORTICULTURE","Vegetables","Potato","	Plant Protection	","????????????? ?????? ???????? ??? ?? ???????","????? ??????? ?? ???
????? ???? ???????
????? ?????
????? ?????
????? ??????
????? ??????
????? ??????
?????????? ???? ??????? ???????
????? ????????-1
????? ????????-2
????? ????????-3
????? ??????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-01 15:32:19.213"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","weather forecast ?","chance of no  rainfall next five days .","CHHATTISGARH","Mungeli","PATHARIYA","2014-10-02 17:05:04.937"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:36:33.060"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:36:46.093"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:36:59.523"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:37:12.890"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","??? ??? ??? ???? ?????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ??? ??? ?????? ??? ??? ???? ?? ??? ?? ???? ???? ??? ?? ?? ????? ?? ?? ????: ???? ????????? ???? ???? ???? ???","????????? ??????? ??? ??? ?????? ????? ???? ?? ????? ?????? ? 375;* ???? ??? ??? ??? ?????? ?????? ?? ?????????? ?????? ??? ????????????? (??????? - 1.0 ????/??. ????) ?? ????????????? (?????- 1 ????/??. ????) ?? ??????? 10-12 ??? ?? ????? ?? ?? ??? ????? ???? ???????","CHHATTISGARH","Mungeli","MUNGELI","2014-10-04 14:37:26.233"
