"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather in formation","??????? ????
???? ??: +39°
????????: 1005.1 ???????????? 
?????: +22°
???: 38.5%
????????????: 4 ????????
???? ?? 19.8. 02:30 pm
?? ???? ??? Hissar
????? ????????, Hissar >","CHHATTISGARH","Surajpur","PRATAPPUR","2014-08-19 17:11:54.673"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control caterpillars in paddy crop?","Troijofos 40 EC 1000 Ml. / hac. Rate of spray.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-08-20 07:12:15.253"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","thrips problem in bhinndi","Insecticide	Dose
Imidacloprid 17.8 % SL	3.0 ml/10 lit.
Dimethoate 30 % EC	1.0 ml/lit.
Emamectin benzoate 5 % SG	4 g/10 lit.
Ethion 50 % EC	2.0 ml/lit.
Fipronil 5 % SC	1.5 ml/lit.
Oxydemeton –Methyl 25 % EC	1.0 ml/lit.
Phosalone 35 % EC	2.0 ml/lit.
Spinosad 45 % SC	3.2 ml/10 lit.
Thiacloprid 21.7 % SC	6.0 ml/10 lit.","CHHATTISGARH","Surajpur","BHAIYATHAN","2014-08-20 07:43:51.150"
"KHARIF","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","farmer want to know information about How to control white fly in cowpea crop?","Spray Dimethoate (Rogar) per pump.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-08-21 16:19:08.037"
"KHARIF","AGRICULTURE","Others","Others","Weather","farmer want to know information about   weather information ?","20/08               21/08               22/08               23/08               24/08
------------------- ------------------- ------------------- ------------------- ------------------- -------------------
Rainfall (mm)                   4                   6                   6                  12                  16
Max Temperature ( deg C)       32                  33                  32                  29                  29","CHHATTISGARH","Surajpur","PRATAPPUR","2014-08-21 16:48:48.610"
"KHARIF","HORTICULTURE","Vegetables","Cowpea (Vegetable)","	Plant Protection	","To know about the control of sucking pest","?????? ??? ????- ????, ???? ?????, ??????? ??? ?? ???? ????????????? 25 ???.??. ?? 750 ??.??. ????? ???????? ?? ?? ??????? ????","CHHATTISGARH","Surajpur","ODGI","2014-08-23 14:41:36.450"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","How to control weeds in paddy crop?","Spray Nomini gold (Bispayriback sodium) 80 gram per acar.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-08-24 13:58:35.070"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","To know about the control of blast in paddy crop ?","???????? ????????? ???? ??????????????? (??? ?? ???) - 6 ????.10 ??. ????, ??????????????? (????????- 1 ????./??. ????) ?? ??????????? (?????????-1.5 ????/??. ????) ?? ??????? ???? ??????? ??? ?? ??????? ?? ?????? 12-15 ??? ??? ??????? ?????? ???? ???????","CHHATTISGARH","Surajpur","SURAJPUR","2014-08-24 16:25:27.997"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Leaf Blast
•Severe cases of infection - entire crop give a blasted or burnt appearance- hence the name ""BLAST""","???????? ????????? ???? ??????????????? (??? ?? ???) - 6 ????.10 ??. ????, ??????????????? (????????- 1 ????./??. ????) ?? ??????????? (?????????-1.5 ????/??. ????) ?? ??????? ???? ??????? ??? ?? ??????? ?? ?????? 12-15 ??? ??? ??????? ?????? ???? ???????","CHHATTISGARH","Surajpur","SURAJPUR","2014-08-24 18:56:27.130"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about blast attack of paddy?","spray tricyclazole 75% wp 200gm. per acre","CHHATTISGARH","Surajpur","BHAIYATHAN","2014-08-25 14:41:42.483"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Control  of   Sucking Pests  of  Cotton, Rice and Vegetables ?","Spray of  Imidacloprid 17.8 % SL(confidor)  @ 7 ml/pump","CHHATTISGARH","Surajpur","PREMNAGAR","2014-08-26 06:50:10.763"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Fertilizer Use and Availability","How to increase the growth & flowering of ?","???? ???  ??????? ?????? ???? ?? ?? ?? 0:52:34 @ 100 ????? / ??? +?????????????  @ 30 ??.?? / ??? ?? ?????? ????","CHHATTISGARH","Surajpur","SURAJPUR","2014-08-26 12:30:03.270"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","FRUIT DROP IN COCONUT","APPLY PLANOFIX @ 7 ML/PUMP","CHHATTISGARH","Surajpur","BHAIYATHAN","2014-08-28 15:54:51.723"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","To know about the control of sucking pest","?????? ??? ????- ????, ???? ?????, ??????? ??? ?? ???? ????????????? 25 ???.??. ?? 750 ??.??. ????? ???????? ?? ?? ??????? ?????","CHHATTISGARH","Surajpur","BHAIYATHAN","2014-08-28 18:14:37.490"
