"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","SUCKING PEST IN CABBAGE","?????? ??? ????- ????, ???? ?????, ??????? ??? ?? ???? ????????????? 25 ???.??. ?? 750 ??.??. ????? ???????? ?? ?? ??????? ?????","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-01 18:31:14.657"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","How to control fruit borer in brinjal crop?","Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-03 10:10:09.317"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","Farmer want to information about Fungal attack in crop  ?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of watr.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-04 11:34:02.583"
"KHARIF","HORTICULTURE","Flowers","Marigold","	Plant Protection	","how to increase flowering in marigold crop ?","Foliar spray of FeSO4 0.5% + ZnSO4 0.5% on 30th and 45th day after transplanting.","CHHATTISGARH","Surajpur","SURAJPUR","2014-10-04 11:50:49.347"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","To know about the control of stem borer in paddy crop ?","????????????? 36 ??????? 1500 ??.??., ?? ????????????? 20 ??????? 2500 ??.??. ?? ???????????? 20% 150 ??.??..","CHHATTISGARH","Surajpur","BHAIYATHAN","2014-10-05 16:41:49.203"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","farmer want to know information about  fungal attack in paddy ?","Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water.
Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-05 17:38:19.917"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control brown spot disease  of paddy ?","???? ??? ??? ??? ?????? ???? ?? ????????????? (?????) ????????? ?? 1 ??.??. ??. ???? ?? ?? ?? ??????? 12-15 ??? ?? ????? ?? ??? ?? ??? ??? ????? ????? ??????????? 1 ????./??. ???? ?? ????????????? (???) ?? 2 ????./??. ???? ?? ?? ?? ??????? ???? ???????","CHHATTISGARH","Surajpur","RAMANUJNAGAR","2014-10-05 21:24:45.720"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","to know about the control of shoot & fruit borer in brinjal  crop ?","spray any one of the following insecticide  
Thiodicarb 75 % WP 2.0 g/lit., Spinosad 45 % SC 3.2 ml/10 lit., Novaluron 10 % EC 7.5 ml/10 lit., Indoxacarb 14.5 % SC 6.5 ml/10 lit..","CHHATTISGARH","Surajpur","RAMANUJNAGAR","2014-10-05 21:27:34.600"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","To know about the control of stem borer in paddy crop ?","????????????? 36 ??????? 1500 ??.??., ?? ????????????? 20 ??????? 2500 ??.??. ?? ???????????? 20% 150 ??.??..","CHHATTISGARH","Surajpur","RAMANUJNAGAR","2014-10-05 21:31:39.570"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","To know about the control of stem borer in paddy crop ?","????????????? 36 ??????? 1500 ??.??., ?? ????????????? 20 ??????? 2500 ??.??. ?? ???????????? 20% 150 ??.??..","CHHATTISGARH","Surajpur","RAMANUJNAGAR","2014-10-05 21:31:52.617"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","how to control gall midge of paddy  ?","spray Thiamethoxam 25% WG 100 g/ha to control gall midge of paddy  .","CHHATTISGARH","Surajpur","RAMANUJNAGAR","2014-10-05 21:35:37.773"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","farmer want to know information about bio gas?","to know information about bio gas contact to your department of agriculture.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-06 15:04:01.353"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","	Plant Protection	","sowing time of pea crops ?","sowing time October November","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-08 07:42:00.087"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","To know about the control of sucking pest in paddy crop ?","????????????? 36 ??????? 1500 ??.??. ?? ?????????????? 125 ?? .??. ?? ???????? + ???????????? 150 ??.??. .","CHHATTISGARH","Surajpur","ODGI","2014-10-08 15:44:06.253"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","how to control Grain discoluration of paddy ?","Spray - Carbendazim + Thiram + Mancozeb (1:1:1) 0.2% at 50% flowering stage.","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-09 17:40:14.280"
"KHARIF","AGRICULTURE","Millets","Maize (Makka)","Sowing Time and Weather","sowing season of  maize ?","??? ???? ?? ????? ??? ??????? ???? ?? ???? ??????? ?? ????? ?????? ?? ?????? ??? ??? ?? ??????? ???? ?? ???? ?????? ?","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-09 17:44:53.400"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","WEATHER INFORMATION","Mostly clear
Feels Like: +37°
Dewpoint: +22°
Humidity: 51.6%
Visibility: 4 km
As of 10/10 02:30 pm
Observed at Pbo Raipur
Past observations, Pbo Raipur >","CHHATTISGARH","Surajpur","PRATAPPUR","2014-10-10 16:47:55.163"
