"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","mealy bug in cotton","recommended for spray profenophos 2ml/lit.","PUDUCHERRY","KARAIKAL","Kottucherry","2014-08-03 21:26:31.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","mealy bug in cotton","recommended for spray profanofos 2ml+ acpate 2ml neem oil 3ml + teepol 1ml / lit of water","PUDUCHERRY","KARAIKAL","Kottucherry","2014-08-05 13:15:39.000"
"JAYAD","HORTICULTURE","Flowers","Jasmine","	Plant Protection	","Red spider mite in jasmine","Recommended for spray dicofol 2ml/liter of water","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-07 14:09:20.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Ear head bug in paddy","recommended Ear head bug in paddy Apply vasampu powder 10 kg /ac","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-08 10:06:14.000"
"JAYAD","HORTICULTURE","Plantation Crops","Coconut","Seeds and Planting Material","coconut seedling availability","recommended number for thanjavur Coconut Research Station 04373-260205","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-08 19:47:36.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","mealy bug in cotton","Recommended for spray imidacloprid 2ml + neem oil 3ml + teepol 1ml / lit of water","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-09 16:12:37.000"
"","AGRICULTURE","Millets","Maize (Makka)","Market Information","market rate for maize","recommended for maize market rate:2200-2400/quintal","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-10 16:23:19.000"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Nutrient Management","sesame basal","recommended apply urea 30kg + superphosphate 58kg + potash 15 kg/ac","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-20 15:01:14.653"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","Nutrient Management","top dressing in sugarcane","recommended for apply urea 75kg+potash 25kg/ac","PUDUCHERRY","KARAIKAL","Kottucherry","2014-08-21 12:04:34.307"
"KHARIF","AGRICULTURE","Green Manure","Kolanchi(Tephrosia Purpurea)","Nutrient Management","Green Manure Sesbania (Sesbania speciosa) Nutrient content","Sesbania N - 2.71 P - 0.53 K - 2.21","PUDUCHERRY","KARAIKAL","Nedungadu","2014-08-21 16:45:11.077"
"KHARIF","HORTICULTURE","Flowers","Jasmine","Cultural Practices","spacing for jasmine","Recommended for spacing for jasmine 1.25 m*1.25m","PUDUCHERRY","KARAIKAL","Thirunallar","2014-08-22 15:33:17.740"
"KHARIF","AGRICULTURE","Others","Others","Weather","asking about weather details","Recommended for toay rainy day","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-22 18:18:07.130"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather report karaikal","recommended for weather report karaikal today have rain","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-22 21:23:55.447"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","basal application for paddy","recommended fertilizer for urea30kg+SSP 50jkg+potash 15kg +neemcake 10kg/ac","PUDUCHERRY","KARAIKAL","Thirunallar","2014-08-23 11:09:21.473"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","contact to kvk dept","Recommended for contact to kvk dept number 04368-236479","PUDUCHERRY","KARAIKAL","Nedungadu","2014-08-23 16:34:55.860"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather detail in puduchery","have rain in puduchery","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-23 17:02:31.247"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","Spotted pod borer in black gram","recommended for Spotted pod borer in black gram spray monocrotophos 2ml+neem oil 3ml+teepol 1 ml/liter of water,","PUDUCHERRY","KARAIKAL","Kottucherry","2014-08-25 11:00:41.757"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","paddy seeds availability","recommended number for agriculture office 04367 – 261444","PUDUCHERRY","KARAIKAL","TR Pattinam","2014-08-25 19:54:44.397"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","leaf blight control in teak","recommended for drench with carbendazim 2gm/liter of water","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-26 13:08:50.920"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Cultural Practices","spacing for coconut","Recommended for spacing for coconut 25 ft*25 ft","PUDUCHERRY","KARAIKAL","KARAIKAL                                          ","2014-08-28 16:39:20.520"
