"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding control of foot rot in basmati 1509?","broadcast 500gm saaf mix with 20kg sand/acre","PUNJAB","BHATINDA","TALWANDI SABO                                     ","2014-08-01 06:09:48.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING THE CURRENT WEATHER CONDITION?","More clouds than sun; very warm with a shower or thunderstorm around","PUNJAB","BHATINDA","BATHINDA                                          ","2014-08-01 06:28:09.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR  WEATHER ?","50 PERCENT CHANCES OF RAINFALL TODAY","PUNJAB","BHATINDA","SANGAT                                            ","2014-08-01 06:29:49.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","WEATHER IS CLOUDY OF FEW DAYS","PUNJAB","BHATINDA","SANGAT                                            ","2014-08-01 06:30:13.000"
"","AGRICULTURE","Fiber Crops","Cotton (Kapas)","","Information regarding how to control Wilt Disease in Cotton?","Only seed treatment with recommended dose of fungicides. Spray 250 gm. Carbendazim in 100 lt. of water per acre.","PUNJAB","BHATINDA","BATHINDA                                          ","2014-08-01 06:34:00.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding fertilizers dose in Basmati?","Fertilizers dose in Pusa Punjab Basmati-1509:- 54 kg. Urea in Pusa Punjab Basmati-1509, 27 kg. DAP, 25 kg. Zinc (21%). Skip phosphorus application to rice if recommended dose of phosphorus had been applied to the preceeding wheat crop.
Fertilizers dose in Pusa Basmati-1121:- 36 kg. Urea in Pusa Basmati-1121, 27 kg. DAP, 25 kg. Zinc (21%). Skip phosphorus application to rice if recommended dose of phosphorus had been applied to the preceeding wheat crop.","PUNJAB","BHATINDA","SANGAT                                            ","2014-08-01 06:37:58.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","WEATHER IS CLOUDY OF FEW DAYS","PUNJAB","BHATINDA","TALWANDI SABO                                     ","2014-08-01 06:41:56.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER CONDITION?","CHANCE OF A LITTLE RAINFALL TODAY.","PUNJAB","BHATINDA","PHUL                                              ","2014-08-01 06:54:27.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding how to control Rice Stemborer in Paddy?","Broadcast 6 kg. Regent (Fipronil 0.3G), 4 kg. Ferterra (Chlorantraniliprole 0.4GR) or 10 kg. Padan/Caldan 4G per acre in standing water.","PUNJAB","BHATINDA","SANGAT                                            ","2014-08-01 06:56:59.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","BHATINDA","SANGAT                                            ","2014-08-01 06:59:02.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Seeds","INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF BAJRA?","THE SUITABLE VARIETIES OF BAJRA-PHB-2884(NEW VARIETY-2014),PHB-2168,PCB-164 & PHB-47.","PUNJAB","BHATINDA","TALWANDI SABO                                     ","2014-08-01 06:59:38.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","BHATINDA","TALWANDI SABO                                     ","2014-08-01 07:07:19.000"
