"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-10-01 06:54:05.330"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE WEATHER ?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-10-01 07:10:28.833"
"KHARIF","HORTICULTURE","Vegetables","Onion","Seeds and Planting Material","INFORMATION REGARDING FOR THE SOWING TIME OF ONION(PYAJ)?","THE SOWING TIME OF ONION(PYAJ) IS -IN KHARIB SEASON-JUNE MONTH & IN RABI SEASON-OCT.-NOV.","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-10-01 08:57:23.647"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FERTERRA) PER ACRE.","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-10-01 09:03:14.123"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP?","FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP,PLS SPRAY 500ML HEXACONAZOLE(HEXAVEER) OR 200 ML THIFLUZAMIDE(PULSOR) IN 150 LITRE WATER.","PUNJAB","FATEHGARH SAHIB","KHAMANO                                           ","2014-10-01 09:35:55.783"
"KHARIF","AGRICULTURE","Others","Others","Training and Exposure Visits","Information regarding Contact no. of PAU, Ludhiana?","Contact no. of PAU, Ludhiana:- 0161-2401960.","PUNJAB","FATEHGARH SAHIB","KHERA                                             ","2014-10-01 10:22:53.700"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF GRASSHOPPER IN PADDY CROP?","FOR THE CONTROL OF GRASSHOPPER IN PADDY(JHONA) CROP,PLS  SPRAY 350 ML LAMBDA CYHALOTHRIN (KARATE) IN 150 LITRE WATER PER ACRE.","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-10-01 10:51:49.140"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST","TODAY THERE ARE NO CHANCES OF RAINFALL","PUNJAB","FATEHGARH SAHIB","KHERA                                             ","2014-10-01 12:27:07.320"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","INFORMATION REGARDING SMS ACTIVATION FROM KISAAN CALL CENTER?","SMS SERVICE IS ACTIVATED ON YOUR PHONE.","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-10-01 13:05:35.737"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding how to control Leaf Folder in Basmati-1121?","Spray 35 ml. Fame (Flubendiamide 480SC) or 60 ml. Coragen (Chlorantraniliprole 20SC) in 100 lt. of water per acre.","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-10-01 13:12:45.967"
"KHARIF","AGRICULTURE","Oilseeds","Indian rapeseed and mustard (yellow sarson)","Varieties","Information regarding new veriety of gobhi sarson","GSC-7
YIELD-8.9QUINTAL/ACRE","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-10-01 14:08:25.007"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER","CHANCE OF RAINFALL","PUNJAB","FATEHGARH SAHIB","KHERA                                             ","2014-10-01 15:16:56.520"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-10-01 16:31:59.617"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF SHEAT BLIGHT IN RICE?","SPRAY TILT @ 200 ML IN 200 LITERS OF WATER /ACRE.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-10-01 17:38:47.503"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF SHEAT BLIGHT IN RICE?","SPRAY TILT @ 200 ML IN 200 LITERS OF WATER /ACRE.","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-10-01 17:47:42.093"
"RABI","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF SHEAT BLIGHT IN RICE?","SPRAY TILT @ 200 ML IN 200 LITERS OF WATER /ACRE.","PUNJAB","FATEHGARH SAHIB","KHAMANO                                           ","2014-10-01 18:44:00.363"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR WEATHER CONDITION ?","WEATHER IS CLOUDY AND CHANCE OF RAINFALL","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-10-01 19:48:50.350"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE WEATHER?","WEATHER IS CLOUDY AND CHANCE OF RAINFALL IN NEXT TWO DAYS.","PUNJAB","FATEHGARH SAHIB","KHAMANO                                           ","2014-10-01 19:48:56.430"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","NO CHANCE OF RAINFALL TODAY.","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-10-01 20:05:27.403"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information regarding weather ?","some clouds and no chances of rainfall .","PUNJAB","FATEHGARH SAHIB","KHAMANO                                           ","2014-10-01 20:12:26.430"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR WEATHER CONDITION ?","WEATHER IS CLOUDY AND CHANCE OF RAINFALL","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-10-01 20:20:41.787"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","TODAY WEATHER IS CLOUDY BUT NO CHANCES  OF RAINFALL","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-10-01 20:25:36.090"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","TODAY WEATHER IS CLOUDY BUT NO CHANCES  OF RAINFALL","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-10-01 20:27:59.110"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding control of catter piller in paddy?","spray fame 40ml in 120 litre of water/acre","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-10-02 06:11:01.570"
"RABI","AGRICULTURE","Cereals","Wheat","	Plant Protection	","INFORMATION REGARDING FOR THE SUITABLE VARIETIES OF WHEAT FOR RUNNING SEASON?","SUITABLE VARIETIES OF WHEAT FOR RUNNING SEASON ARE-WH 1105 (23QTLS/ACRE,2014) HD-2967, PBW-621, PBW-550, & DBW-17, PBW-502, WH-542.","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-10-02 08:40:11.843"
