"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding the weather forcasting","weather is dry and there is no chances of rainfall today","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-01 20:10:53.950"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding the weather forcasting","weather is dry and there is no chances of rainfall today","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-01 20:10:53.950"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding the weather forcasting","weather is dry and there is no chances of rainfall today","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-01 20:10:53.950"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding the weather forcasting","weather is dry and there is no chances of rainfall today","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-01 20:10:53.950"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 08:20:28.443"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 08:20:28.443"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING CONTROL OF BROWN LEAF SPOT DISEASE IN PADDY","FOR CONTROL OF BROWN LEAF SPOT IN PADDY, SPRAY 200 ML OF TILT 25 EC OR FOLICUR 25 EC IN 200 LITRES OF WATER","PUNJAB","FATEHGARH SAHIB","KHERA                                             ","2014-09-02 12:01:39.987"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","WEATHER IS CLOUDY & SOME CHANCES OF RAINFALL  IN NEXT 3 DAY","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-09-02 13:01:36.477"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information","WEATHER IS CLOUDY & SOME CHANCES OF RAINFALL  IN NEXT 3 DAY","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-09-02 13:01:36.477"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","some clouds and some chances of rainfall .?? ??????  ??????  ???  ????  ???  ??  ???? ??","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 14:04:09.783"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","some clouds and some chances of rainfall .?? ??????  ??????  ???  ????  ???  ??  ???? ??","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 16:45:30.303"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER ?","some clouds and some chances of rainfall .?? ??????  ??????  ???  ????  ???  ??  ???? ??","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 16:45:30.303"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORERS IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORERS IN PADDY(JHONA) CROP PLS SPRAY 30-35 ml FAME PER ACER.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 17:52:05.160"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP?","FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP,PLS SPRAY 500ML HEXACONAZOLE 5%(HEXAVEER) OR 200 ML THIFLUZAMIDE(PULSOR) IN 150 LITRE WATER.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 17:54:37.907"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Information regarding for yellowing of rice????","Spray npk 19:19:19 npk 1 kg  per acre....","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-09-02 18:06:19.520"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 19:40:44.350"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 19:40:44.350"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 19:40:44.350"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 19:40:44.350"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP?","Spray tilt 200 ml in 125 litres of water....","PUNJAB","FATEHGARH SAHIB","AMLOH                                             ","2014-09-02 19:46:00.847"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING  WEATHER ?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-02 19:54:07.380"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING  WEATHER ?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-09-03 07:35:54.883"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING  WEATHER ?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-09-03 07:35:54.883"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","?????? ???? ??? ?? ?? ?? ?? ????? ?? ???? ?? ?????? ?????? ?? ?????? ??? ????? ?? ???? ??","PUNJAB","FATEHGARH SAHIB","KHAMANO                                           ","2014-09-03 08:28:16.573"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INSECTICIDE SPRAY","FAME 40 ML IN 120 LITER WATER PER ACRE","PUNJAB","FATEHGARH SAHIB","KHERA                                             ","2014-09-03 09:04:27.923"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","INFORMATION RGEARDING FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP?","FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP,SPRAY 400 ML HEXACONAZOLE 5% EC OR 400 ML VALIDAMYCIN 3%L OR 200 ML THIFLUZAMIDE(PULSUR) MIXED WITH 200LITRE WATER PER ACRE.","PUNJAB","FATEHGARH SAHIB","BASSI PATHANA                                     ","2014-09-03 14:08:32.153"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","IRON DEFICIENCY IN PADDY","SPRAY FERROUS SULPHATE 1 KG IN 100 LITRES OF WATER","PUNJAB","FATEHGARH SAHIB","SIRHIND                                           ","2014-09-04 11:14:11.690"
