"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-08-01 06:51:13.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN PADDY(JHONA) CROP?","FOR THE CONTROL OF WEEDS IN PADDY(JHONA) CROP,PLS APPLY 1.250LITRE BUTACHLOR OR .500 LITRE PRETILACHLOR MIXED WITH 20KG OF SAND AFTER 3 TO 7 DAYS TRANSPLANTING","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-08-01 06:53:04.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF TERMITE ATTACK IN PADDY(JHONA) CROP?","FOR THE CONTROL OF TERMITE IN PADDY(JHONA) CROP,PLS APPLY 1LITRE CHLORO.50%EC OR 2.5 LITRE CHLORO.20% AFTER MIXING IN 10KG SEND AT THE TIME OF IRRIGATION.","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-08-01 07:53:14.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-08-01 13:16:39.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","CONTROL OF VOLUNTEER PLANTS IN PADDY?","ROUGE/REMOVE THAT PLANTS FROM FIELD AND BURRY THEM IN SOIL.","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-08-01 14:52:08.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER CONDITION?","CHANCE OF A LITTLE RAINFALL TODAY.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-08-01 16:05:09.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING  FOR THE WEATHER ?","THERE ARE SOME CHANCES OF RAINFALL NEXT TWO DAYS.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-08-01 16:29:50.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","information regarding to weather ?","chances of rainfall  IN NEXT 3 DAYS","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-08-01 16:54:28.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-08-01 17:27:14.000"
"JAYAD","AGRICULTURE","Others","Others","","information regarding for weather ?","some clouds and some chances of rainfall .","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-08-01 17:32:18.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding control foot root  IN RICE CROP?","spray 200ml Tilt in 200 Ltr of water /acre .","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-08-01 19:21:38.000"
"","AGRICULTURE","Others","Others","","weather information ?","today there are some chances of rain","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-08-02 06:10:34.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOOT ROT IN PADDY ?","spray 200 ml tilt in 200 litre of water per acre at fruit stage","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-08-02 06:23:39.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF ROOT ROT IN PADDY FIELD?","BROADCAST 500GG SAAF MIX WITH 10KG SAND/ACRE.","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-08-02 07:44:56.000"
"","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","information regarding insecticide for brinjal ?","spray 60 ml coragen in 120 litre of water per acre","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-08-02 08:48:08.000"
"","AGRICULTURE","Others","Others","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP- 500 GM ACEPHATE IN 120 LITER OF WATER/ACRE","PUNJAB","KAPURTHALA","DHILWAN                                           ","2014-08-02 10:18:09.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FERROUS DIFICIENCY IN RICE?","FERROUS SULPHATE 1KG WITH 1OO LITER WATER SPRAY PER ACRE","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-08-02 10:44:11.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","CONTROL OF RICE STEMBORER?","SPRAY 350 ML SUTATHION IN 100LT WATER/ACRE.","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-08-02 10:54:08.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","CHANCE OF A LITTLE RAINFALL TONIGHT.","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-08-02 11:29:35.000"
