"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE WEATHER ?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-10-01 06:16:08.500"
"RABI","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE WEATHER ?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-10-01 06:56:15.017"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP?","FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP,PLS SPRAY 500ML HEXACONAZOLE(HEXAVEER) OR 200 ML THIFLUZAMIDE(PULSOR) IN 150 LITRE WATER.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-10-01 07:53:14.490"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMAION REGARDING FOR THE WEATHER?","WEATHER IS CLOUDY BUT NO CHANCES OF RAINFALL  TODAY.","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-10-01 08:02:21.697"
"KHARIF","AGRICULTURE","Cereals","Wheat","	Plant Protection	","INFORMATION REGARDING THE SUITABLE LATE VARIETIES OF WHEAT FOR RUNNING SEASON?","SUITABLE LATE VARIETIES OF WHEAT FOR RUNNING SEASON ARE- PBW-658,  PBW-590, PBW-509 & PBW-373.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-10-01 08:21:12.900"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF GRASSHOPPER IN PADDY CROP?","FOR THE CONTROL OF GRASSHOPPER IN PADDY(JHONA) CROP,PLS  SPRAY 350 ML LAMBDA CYHALOTHRIN (KARATE) IN 150 LITRE WATER PER ACRE.","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-10-01 08:51:47.103"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP?","FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP,PLS SPRAY 500ML HEXACONAZOLE(HEXAVEER) OR 200 ML THIFLUZAMIDE(PULSOR) IN 150 LITRE WATER.","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-10-01 09:04:04.523"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","KAPURTHALA","DHILWAN                                           ","2014-10-01 09:57:13.277"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","INFORMATION REGARDING FOR THE FERT. DOSE AT THE TIME OF  POTATO(ALOO) PLANTING?","THE FERT. DOSE AT THE TIME OF POTATO(ALOO) PLANTING-F.Y.M.-250Q.,SSP-155KG,MOP-40KG & UREA-165KG(AS TOP DRESSING-.3 TIME)  PER ACRE.","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-10-01 12:56:03.273"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER","NO CHANCE OF RAINFALL","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-10-01 14:27:16.580"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","SUNDI CONTROL","EKALUX 3ML IN 1LITRE WATER","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-10-01 15:08:20.763"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?","WEATHER REMAINS ALMOST CLOUDY TODAY, CHANCE OF A LITTLE RAINFALL.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-10-01 15:24:07.710"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR THE CURRENT WEATHER CONDITION?","WEAETHER REMIANS CLEAR TONIGHT.","PUNJAB","KAPURTHALA","SULTANPUR LODHI                                   ","2014-10-01 15:35:55.463"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","INFORMATION REGARDING WEATHER ?","CHANCE OF A LITTLE RAINFALL TODAY.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-10-01 15:39:24.927"
