"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","?????? ???? ??? ?? ?? ?? ?? ????? ?? ???? ?? ?????? ?????? ?? ?????? ??? ????? ?? ???? ??","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-09-02 07:37:33.133"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","?????? ???? ??? ?? ?? ?? ?? ????? ?? ???? ?? ?????? ?????? ?? ?????? ??? ????? ?? ???? ??","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-09-02 07:37:33.133"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","?????? ???? ??? ?? ?? ?? ?? ????? ?? ???? ?? ?????? ?????? ?? ?????? ??? ????? ?? ???? ??","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-09-02 07:37:33.133"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-09-03 06:12:38.927"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-09-03 06:12:38.927"
"KHARIF","AGRICULTURE","Others","Others","Varieties","contact no of animal hospital","0161-2414011,2414060","PUNJAB","KAPURTHALA","KAPURTHALA                                        ","2014-09-03 06:50:09.570"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION  REGARDING CONTROL OF SHEATH BLIGHT IN PADDY?","CONTROL OF SHEATH BLIGHT IN PADDY PLS SPRAY OF 200ML TITL OR 200 GM BAVISTIN IN 120 LITER WATER/ACRE","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-09-03 07:25:17.740"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION  REGARDING CONTROL OF SHEATH BLIGHT IN PADDY?","CONTROL OF SHEATH BLIGHT IN PADDY PLS SPRAY OF 200ML TITL OR 200 GM BAVISTIN IN 120 LITER WATER/ACRE","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-09-03 07:25:17.740"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING  WEATHER ?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-09-03 07:27:14.080"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING  WEATHER ?","SOME CHANCE OF RAINFALL TODAY.","PUNJAB","KAPURTHALA","PHAGWARA                                          ","2014-09-03 07:27:14.080"
