"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","MOGA","NIHAL SINGH WALA                                  ","2014-08-01 07:01:27.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FERTERRA) PER ACRE.","PUNJAB","MOGA","MOGA-I                                            ","2014-08-01 07:32:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","MOGA","BAGHAPURANA                                       ","2014-08-01 07:41:36.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","MOGA","KOT-ISE-KHAN                                      ","2014-08-01 08:38:21.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF APHIDS IN COTTON(NARMA) CROP?","FOR THE CONTROL OF APHIDS IN COTTON(NARMA) CROP,PLS. SPRAY 100ML IMIDACHLOPRIDE OR 120GM THIAMATHOXAM/ACRE IN 150LITRE WATER.","PUNJAB","MOGA","NIHAL SINGH WALA                                  ","2014-08-01 09:07:56.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORERS IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORERS IN PADDY(JHONA) CROP PLS SPRAY 40GM FAME PER ACER.","PUNJAB","MOGA","MOGA-I                                            ","2014-08-01 09:10:29.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","MOGA","MOGA-II                                           ","2014-08-01 10:16:12.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING CONTROL foot root  IN RICE CROP?","spread 500g baviston in 10kg sand.","PUNJAB","MOGA","KOT-ISE-KHAN                                      ","2014-08-01 10:29:25.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","MOGA","BAGHAPURANA                                       ","2014-08-01 10:44:59.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF FUZARIUM WILT DISEASE IN COTTON(NARMA) CROP?","FOR THE CONTROL OF FUZARIUM WILT DISEASE IN COTTON(NARMA) CROP,PLS SPRAY KOCIDE(COPPER HYDRO XICHLORIDE)-500GM IN 150LITRE WATER/ACRE.","PUNJAB","MOGA","KOT-ISE-KHAN                                      ","2014-08-01 10:57:46.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","information regarding zinc deficiency in paddy ?","spray 250 gm chilated zinc in 100 litre of water per acre","PUNJAB","MOGA","KOT-ISE-KHAN                                      ","2014-08-01 11:24:43.000"
