"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Potato","Cultural Practices","INFORMATION REGARDING FOR THE CONTROL OF WEEDS IN POTATO CROP?","FOR THE CONTROL OF WEEDS IN PEA CROP, SPRAY 1 LITRE STOMP (PENDIMETHALIN) OR 200 GM ATRAZINE OR 200 GM SENCOR (METRIBUZIN) IN 200 LITRE WATER PER ACRE WITHIN THREE DAYS OF SOWING","PUNJAB","RUPNAGAR","RUPNAGAR                                          ","2014-09-01 20:13:25.350"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-09-03 07:39:19.113"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP?","FOR THE CONTROL OF SHEATH BLIGHT ATTACK ON PADDY(JHONA) CROP,PLS SPRAY 500ML HEXACONAZOLE(HEXAVEER) OR 200 ML THIFLUZAMIDE(PULSOR) IN 150 LITRE WATER.
orr validamycin 400 ml per acre....","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-09-04 14:40:48.327"
"KHARIF","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","TODAY THERE ARE SOME CHANCES OF RAIN","PUNJAB","RUPNAGAR","RUPNAGAR                                          ","2014-09-04 19:11:26.897"
"KHARIF","HORTICULTURE","Fruits","Grape","	Plant Protection	","how to control thirips in grape ?","spray to malathion @ 2 ml in 1 liter of water / acre .","PUNJAB","RUPNAGAR","MORINDA                                           ","2014-09-06 13:57:21.070"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","INFORMATION REGARDING  WEATHER ?","?? ???? ??? ?? ??? ?? ???? ?? ??","PUNJAB","RUPNAGAR","MORINDA                                           ","2014-09-06 16:58:55.593"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION RGEARDING FOR THE CONTROL OF GRASSHOPPER IN PADDY CROP?","FOR THE CONTROL OF GRASSHOPPER IN PADDY(JHONA) CROP,PLS  SPRAY 350 ML LAMBDA CYHALOTHRIN (KARATE) IN 150 LITRE WATER PER ACRE.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-09-06 18:21:32.833"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","weather is cloudy and some  chances of rainfall today","PUNJAB","RUPNAGAR","ANANDPUR SAHIB                                    ","2014-09-06 19:54:23.990"
"KHARIF","AGRICULTURE","Others","Others","Weather","information regarding weather ?","weather is cloudy and some  chances of rainfall today","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-09-06 21:01:53.977"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 350 ML  SPARK (TRIAZOPHOSE+ DLTAMETHRIN) IN 150 LITRE WATER PER ACRE.","PUNJAB","RUPNAGAR","NURPUR BEDI                                       ","2014-09-07 06:56:34.060"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 350 ML  SPARK (TRIAZOPHOSE+ DLTAMETHRIN) IN 150 LITRE WATER PER ACRE.","PUNJAB","RUPNAGAR","CHAMKAUR SAHIB                                    ","2014-09-07 07:55:18.177"
