"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","TARN TARAN","","2014-08-01 06:11:52.000"
"JAYAD","HORTICULTURE","Vegetables","Brinjal","","INFORMATION REGARDING FOR THE CONTROL OF DAMPING OFF DISEASE IN BRINJAL(BAINGAN) CROP?","FOR THE CONTROL OF DAMPING OFF DISEASE IN BRINJAL(BAINGAN) CROP,PLS. SPRAY 300GM CARBENDAZIM(BAVISTIN) /ACRE.","PUNJAB","TARN TARAN","","2014-08-01 06:15:08.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding how to control Rice Stemborer in Paddy?","Broadcast 6 kg. Regent (Fipronil 0.3G), 4 kg. Ferterra (Chlorantraniliprole 0.4GR) or 10 kg. Padan/Caldan 4G per acre in standing water. OR
Spray 560 ml. Monocrotophos 36SL or 350 ml. Triazophos 40EC or 1 litre Chlorpyriphos 20EC in 100 lt. of water per acre to control Rice Stemborer in Paddy.","PUNJAB","TARN TARAN","GANDIWIND-9                                       ","2014-08-01 07:51:05.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST  ?","SOME CHANCES OF RAINFALL IN NEXT 2  DAYS.","PUNJAB","TARN TARAN","","2014-08-01 08:25:02.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FERTERRA) PER ACRE.","PUNJAB","TARN TARAN","","2014-08-01 08:49:55.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","Information regarding fertilizers dose in Basmati?","Fertilizers dose in Pusa Basmati-1121:- 36 kg. Urea in Pusa Basmati-1121, 27 kg. DAP, 25 kg. Zinc (21%). Skip phosphorus application to rice if recommended dose of phosphorus had been applied to the preceeding wheat crop.","PUNJAB","TARN TARAN","GANDIWIND-9                                       ","2014-08-01 09:37:58.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","INFORMATION REGARDING FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF LEAF FOLDER IN PADDY(JHONA) CROP,PLS SPRAY 400 ML TRIZOPHOS 40 EC(HOSTATHION) OR 350 ML SPARK (TRIZOPHOS+DELTAMETHRIN) OR 350 ML PROFENOPHOS+CYPERMETHRIN IN 150 LITRE WATER PER ACRE.","PUNJAB","TARN TARAN","","2014-08-01 09:56:30.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","INFORMATION REGARDING CONTROL OF FOOT ROT IN PADDY","SPRAY BAVISTIN 200GM IN 200 LTRS OF WATER/ACRE","PUNJAB","TARN TARAN","PATTI-14","2014-08-01 10:06:16.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING OF THE WETHER","SOME CHANCES OF RAIN TODAY","PUNJAB","TARN TARAN","","2014-08-01 10:37:56.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER FORECAST ?","WEATHER IS CLOUDY AND THERE ARE SOME CHANCES OF RAINFALL TODAY","PUNJAB","TARN TARAN","","2014-08-01 11:49:33.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING FOR  WEATHER ?","50 PERCENT CHANCES OF RAINFALL TODAY","PUNJAB","TARN TARAN","","2014-08-01 12:04:56.000"
"","AGRICULTURE","Others","Others","","INFORMATION REGARDING FOR THE  WEATHER   ?","WEATHER OF SKY IS PARTLY CLOUDY AND SOME  CHANCE OF RAINFALL .","PUNJAB","TARN TARAN","","2014-08-01 12:51:40.000"
"","AGRICULTURE","Others","Others","Weather","INFORMATION REGARDING WEATHER?","CHANCE OF 3MM RAINFALL TODAY.","PUNJAB","TARN TARAN","","2014-08-01 12:56:52.000"
"","AGRICULTURE","Cereals","Paddy (Dhan)","","INFORMATION REGARDING FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP?","FOR THE CONTROL OF RICE STEMBORER IN PADDY(JHONA) CROP,PLS APPLY 5KG CARTAP HYDROCHLORIDE(PADAN) OR 4KG CHLORANTRANILIPROLE(FARTERA) PER ACRE.","PUNJAB","TARN TARAN","","2014-08-01 13:29:25.000"
