"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","tell me  disease control in onion","SPRAY OF COPPER OXICHLORIDE 45 GM + CHUNA 1.5 GM PER 15 LITER WATER","RAJASTHAN","AJMER","MASOODA                                           ","2014-10-01 08:49:07.693"
"RABI","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TELL ME BLIGHT CONTROL IN ONION","SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER 
SPRAY OF MULTIPLAX MICRONUTRIENT 4 GM PER LITER WATER","RAJASTHAN","AJMER","PISANGAN                                          ","2014-10-01 09:30:34.817"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","TELL ME FLOWER DROPPING CONTROL IN PAPAYA","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER FOR FLOWER DROP CONTROL","RAJASTHAN","AJMER","SRINAGAR                                          ","2014-10-01 10:06:55.160"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Seeds","TELL ME  VARIETY OF GRAM","VARIETY OF GRAM= RSG- 888, RSG 945, RSG 807","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-01 10:08:16.547"
"KHARIF","AGRICULTURE","Fodder Crops","Lucerne (Alfalfa)","	Plant Protection	","TELL ME ROOT INSECT CONTROL IN LUCERN","USE  Fipronil 0.3% GR 12-15 KG PER HA","RAJASTHAN","AJMER","SRINAGAR                                          ","2014-10-01 10:12:36.703"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-01 10:26:27.790"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","AJMER","PISANGAN                                          ","2014-10-01 10:56:59.840"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","AJMER","PISANGAN                                          ","2014-10-01 11:01:44.407"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","AJMER","MASOODA                                           ","2014-10-01 12:56:22.810"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","AJMER","KISHANGARH                                        ","2014-10-01 12:57:25.437"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","AJMER","MASOODA                                           ","2014-10-01 13:48:21.883"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","tell me control thrips in onion","SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER","RAJASTHAN","AJMER","SRINAGAR                                          ","2014-10-01 14:12:35.880"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","tell me control sucking pest","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","AJMER","SRINAGAR                                          ","2014-10-01 14:13:48.900"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Varieties","TELL ME MUSTARD VARIETY","VARUNA RH-30 BIO-902GM-2 LAXMI URVASHI","RAJASTHAN","AJMER","JAWAJA                                            ","2014-10-01 14:18:15.417"
"KHARIF","AGRICULTURE","Others","Others","Weather","TEL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS,","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-01 14:42:14.537"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME CONTROL OF CHITI ?","SPARAY OF BHC POWDER","RAJASTHAN","AJMER","ARAIN                                             ","2014-10-01 14:51:53.763"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","	Plant Protection	","TELL ME CONTROL TARMITE","USE CARTAP HYDROCHLORIDE 4% G 15 KG PER HA","RAJASTHAN","AJMER","PISANGAN                                          ","2014-10-01 15:48:18.273"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","TELL ME MUSTARD VARIETY ?","MUSTARD VARIETY- T59,PUSA BOLD,RH30,BIO902,LAXMI,VASUNDHARA,JAGANNATH,RGN48,73","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-01 21:03:47.140"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","TELL ME MUSTARD VARIETY ?","MUSTARD VARIETY- T59,PUSA BOLD,RH30,BIO902,LAXMI,VASUNDHARA,JAGANNATH,RGN48,73","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-01 21:04:02.260"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Varieties","TELL ME VARIETIE OF MUSTARD ?","MUSTARD VARIETY- T59,PUSA BOLD,RH30,BIO902,LAXMI,VASUNDHARA,JAGANNATH,RGN48","RAJASTHAN","AJMER","PISANGAN                                          ","2014-10-01 21:36:42.963"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","NO RAIN POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-02 07:30:20.190"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME INSECT CONTROL OF COTTON","SPRAY OF THIOMEHTOXAM  5 GM PER 15 LITER WATER","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-02 07:45:15.423"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","TELL ME VARIETY OF MUSTARD","MUSTARD VARIETY- T59,PUSA BOLD,RH30,BIO902,LAXMI,VASUNDHARA,JAGANNATH,RGN48,73","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-02 07:58:22.410"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Market Information","TELL ME  MANDI RATE OF GVAR","BIKANER (GRAIN)  GRAM 2628 RS","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-02 08:41:10.560"
"KHARIF","HORTICULTURE","Fruits","Lemon","	Plant Protection	","TELL ME LEAF BORER CONTROL lemon","SPRAY OF INDOXACARB 14.5% SC 0.5 ML PER LITER WATER","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-02 08:55:20.317"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","AJMER","SRINAGAR                                          ","2014-10-02 09:18:36.600"
"JAYAD","AGRICULTURE","Oilseeds","Mustard","Seeds","TELL ME  VARIETY OF MUSTARD","VARIETY OF MUSTARD= ARAWALI, VASHUNDHRA, SAWARN JYOTI, BIO-902, G M- 2, R H- 819","RAJASTHAN","AJMER","JAWAJA                                            ","2014-10-02 10:15:29.980"
"KHARIF","AGRICULTURE","Fodder Crops","Lucerne (Alfalfa)","	Plant Protection	","TELL ME  VARIETY OF RIJKA","VARIETY OF RIJKA= ANAND 2, LLC-3, LLC-5, TYPE-8, TYPE-9","RAJASTHAN","AJMER","JAWAJA                                            ","2014-10-02 10:25:51.787"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN FALL UP TO 5 DAYS, CLOUDY SKY","RAJASTHAN","AJMER","PISANGAN                                          ","2014-10-02 11:32:28.157"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Bio-Pesticides and Bio-Fertilizers","TELL ME FLOWER DROPING CONTOL IN","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-02 12:22:13.900"
"KHARIF","HORTICULTURE","Vegetables","Pumpkin","	Plant Protection	","TELL ME CONTROL OF FUNGAL DISAESE IN PUMPKIN ?","SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-02 13:02:15.550"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Seeds and Planting Material","TELL ME VARIETY OF PEA","ARAKIL , AJAD PEA-1, VARIETY OF PEA","RAJASTHAN","AJMER","SRINAGAR                                          ","2014-10-02 13:33:55.097"
"RABI","HORTICULTURE","Fruits","Papaya","Seeds and Planting Material","TELL ME PAPAYA VARIETY","VARIETY OF PAPAYA = TAIWAN 786, SURYA, KURG HONEYDEW, PUSA MEJESTIC","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-02 13:51:20.800"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN FALL POSSIBILITY IN NEXT 5 DAYS  IN YOUR DISTRICT","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-02 14:33:10.590"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN AJMER","???? 5  ??? ?? ????? ?? ???????? ???? ??","RAJASTHAN","AJMER","ARAIN                                             ","2014-10-02 14:37:34.420"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN AJMER","???? 5  ??? ?? ????? ?? ???????? ???? ??","RAJASTHAN","AJMER","ARAIN                                             ","2014-10-02 14:37:48.170"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN AJMER","???? 5  ??? ?? ????? ?? ???????? ???? ??","RAJASTHAN","AJMER","ARAIN                                             ","2014-10-02 14:38:01.493"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN FALL POSSIBILITY IN NEXT 5 DAYS  IN YOUR DISTRICT","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-02 15:21:10.037"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME ABOUT SUCKING PEST CONTROL IN COTTON","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","AJMER","MASOODA                                           ","2014-10-02 15:38:38.083"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","TELL ME SOWING TIME OF MUSTARD ?","SOWING TIME OF MUSTARD - UN IRRIGATED- 15 SEPTEMBER TO 15 OCTOBER , IRRIGATED- OCTOBER LAST","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-02 16:07:46.197"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL IN NEXT 5 DAYS IN YOUR DISTRICT","RAJASTHAN","AJMER","ARAIN                                             ","2014-10-02 18:52:42.160"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME INSECT CONTROL IN COTTON ?","SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-02 21:28:27.363"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME INSECT CONTROL IN COTTON ?","SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-02 21:28:40.723"
"KHARIF","HORTICULTURE","Vegetables","Chillies","Bio-Pesticides and Bio-Fertilizers","TELL ME SUCKING PEST CONTROL IN","SPRAY OF IMIDACHLOPRID 17.5% SL 0.5 ML PER LITER WATER","RAJASTHAN","AJMER","BHINAY                                            ","2014-10-03 10:18:45.070"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","Market Information","TELL ME GREEN GRAM RATE IN KEKRI MANDI","KEKRI MOONG (LOCAL) RS.5450/QT","RAJASTHAN","AJMER","ARAIN                                             ","2014-10-03 14:01:15.827"
"KHARIF","AGRICULTURE","Others","Others","Weather","TEL ME WEATHER RERORT","NO RAINFALL NEXT FIVE DAYS","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-03 14:31:24.333"
"KHARIF","AGRICULTURE","Others","Others","Weather","TEL ME WEATHER RERORT","NO RAINFALL NEXT FIVE DAYS","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-03 14:31:38.243"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME PEST CONTROL IN COTTON","ACEFATE 2 GRAM/LITER SPRAY","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-03 17:21:01.280"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER FORECASTING","NOT RAINFALL NEXT FIVE DAYS","RAJASTHAN","AJMER","KEKRI                                             ","2014-10-03 17:30:21.190"
