"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Lemon","	Plant Protection	","TELL MR FLOWER DROP CONTROL IN","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","ALWAR","RAMGARH                                           ","2014-09-02 07:16:30.040"
"KHARIF","HORTICULTURE","Vegetables","Carrot","Agriculture Mechanization","TELL ME  VARIEATY OF CARROT","VARIETY OF CARROT= PUSA RUDHIRA, PUSA ASITA","RAJASTHAN","ALWAR","RAMGARH                                           ","2014-09-02 07:20:56.787"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Varieties","TELL ME BEST VARITIES OF BAJRA.","RAJ-171, ICMH-356, ICTP-8203, WCC-75, HHB-67, RHB-30.","RAJASTHAN","ALWAR","KISHANGARH BAS                                    ","2014-09-03 12:58:34.773"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Varieties","TELL ME BEST VARITIES OF BAJRA.","","RAJASTHAN","ALWAR","KISHANGARH BAS                                    ","2014-09-03 12:59:01.210"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Varieties","TEST CALL","TEST CALL","RAJASTHAN","ALWAR","KISHANGARH BAS                                    ","2014-09-03 13:57:21.757"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAINFALL 10 MM NEXT FIVE DAYS OF","RAJASTHAN","ALWAR","KOTKASIM                                          ","2014-09-04 06:51:06.993"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME WEED CONTROL GUAR","SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN 400 LITER WATER","RAJASTHAN","ALWAR","BEHROR                                            ","2014-09-04 07:23:43.520"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TELL ME PEST CONTROL","SPRAY OF DIMETHOATE 30 EC 2 ML /LITER WATER","RAJASTHAN","ALWAR","RAJGARH                                           ","2014-09-04 07:38:48.277"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","fruit fall down in cotton","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER FOR FLOWER DROP CONTROL","RAJASTHAN","ALWAR","RAMGARH                                           ","2014-09-04 10:47:36.843"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME INSECT CONTROL IN COTTON .","SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-04 11:34:41.107"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","PEST CONTROL IN COTTON","EMIDACLOROPRID 17.8% 0.5M.L./LITERA WATRE SPRAY","RAJASTHAN","ALWAR","MANDAWAR                                          ","2014-09-04 11:45:14.013"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","TELL ME NOT FLOWERING IN MOONG","THIOUREA 0.5 GRAM/LITER SPRAY","RAJASTHAN","ALWAR","KISHANGARH BAS                                    ","2014-09-04 11:57:06.593"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","thrips in bottle gourd","SPRAY OF IMIDACHLOPRID 17.5% SL 0.5 ML PER LITER WATER","RAJASTHAN","ALWAR","RAMGARH                                           ","2014-09-04 12:18:42.903"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN ALWAR","LIGHT RAIN POSSIBILITY IN  NEXT  5 DAYS","RAJASTHAN","ALWAR","BEHROR                                            ","2014-09-04 16:32:20.053"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","tell me about no proper growth of brinjal","SPRAY OF MULTIPLAX MICRONUTRIENT 4 GM PER LITER WATER","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-05 14:10:45.413"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","Nutrient Management","tell me about no proper growth of brinjal","SPRAY OF MULTIPLAX MICRONUTRIENT 4 GM PER LITER WATER","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-05 14:10:45.413"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","tell me pest control","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-05 14:18:36.427"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","tell me pest control","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-05 14:18:36.427"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","TELL ME PEST CONTROL","SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER","RAJASTHAN","ALWAR","UMREN                                             ","2014-09-05 16:17:29.853"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","FLOWER FALL DOWN IN POMEGRANATE","NO FRUIT IN 4 YEAR IN POMEGRANATE","RAJASTHAN","ALWAR","KOTKASIM                                          ","2014-09-05 18:23:07.107"
"KHARIF","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","WEED CONTROL IN CARROPT","HAND WEEDING DONE","RAJASTHAN","ALWAR","KOTKASIM                                          ","2014-09-05 18:42:55.700"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TELL ME CONTROL OF YELLOWING IN ONION","DRENCHING 250 GM CARBENDAZIM PAR BIGHA WITH IRRIGATION","RAJASTHAN","ALWAR","BANSUR                                            ","2014-09-05 19:02:16.297"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TELL ME VIRAL DISEASE CONTROL IN ONION","USE SHAP 2GM/LTR","RAJASTHAN","ALWAR","TIJARA                                            ","2014-09-05 19:05:17.640"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDATION","IT MAY BE RAIN FAL ON FIVE DAYS","RAJASTHAN","ALWAR","TIJARA                                            ","2014-09-05 19:10:13.423"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Bio-Pesticides and Bio-Fertilizers","TELL ME RATE OF GAUR","ALWAR  GOWAR 5200","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-05 20:28:14.320"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","TELL ME FRUIT CONTROL IN ANAR","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","ALWAR","RENI                                              ","2014-09-05 20:38:35.580"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TELL ME CONTROL OF BORER OF ONION","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER","RAJASTHAN","ALWAR","KOTKASIM                                          ","2014-09-05 20:52:19.133"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN ALWAR","RAIN FALL POSSIBILITY IN NEXT 5 DAYS, CLOUDY SKY","RAJASTHAN","ALWAR","RAJGARH                                           ","2014-09-05 21:00:22.313"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","	Plant Protection	","TELL ME BORER CONTROL IN CAULIFLOWER","SPRAY OF IMMECTIN BENZOATE 1 GM PER 3 LITER WATER","RAJASTHAN","ALWAR","BEHROR                                            ","2014-09-06 08:16:52.577"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","YELLOWING IN ONION","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","RAJASTHAN","ALWAR","BANSUR                                            ","2014-09-06 08:22:24.120"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","TELL MR FLOWER DROP CONTROL IN
CITRUS","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","ALWAR","RAJGARH                                           ","2014-09-06 08:33:42.830"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME GROWTH IN COTTON","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 GM PER LITER WATER","RAJASTHAN","ALWAR","KOTKASIM                                          ","2014-09-06 08:47:33.017"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME INSECT CONTROL IN COTTON .","TELL ME SUCKING PEST CONTROL

SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-06 08:49:07.037"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME WEED CONTROL IN WHEAT .","HAND WEEDING MUST","RAJASTHAN","ALWAR","KATHUMAR                                          ","2014-09-06 09:22:42.687"
"KHARIF","HORTICULTURE","Fruits","Citrus","	Plant Protection	","TELL ME PLANT PROTECTION AND NO PAROIPAR GROTH","SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 G PER 15 LITER WATER","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-06 09:27:15.857"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","TELL ME PLANT PROTECTION IN ONION","????????+?????? 75 ??????.??. ??? ?? 2 ????? ????? ???? ???? ??? ??? ??? ?? ?????? ?????","RAJASTHAN","ALWAR","MANDAWAR                                          ","2014-09-06 09:41:27.540"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME ABOUT PEST IN FODDER BAJRA","DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA","RAJASTHAN","ALWAR","KATHUMAR                                          ","2014-09-06 09:51:35.850"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME BLIGHT CONTROL IN GUAR","SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER","RAJASTHAN","ALWAR","BEHROR                                            ","2014-09-06 10:24:04.260"
"KHARIF","AGRICULTURE","Others","Others","Weather","TEL ME WEATHER INFORMATION","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","ALWAR","BEHROR                                            ","2014-09-06 10:24:38.237"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tell me pest control","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER","RAJASTHAN","ALWAR","BANSUR                                            ","2014-09-06 10:36:08.670"
"KHARIF","AGRICULTURE","Others","Others","Market Information","TELL ME  KHARTHAL MANDI COTTON RATE","NOT AVAILABLE","RAJASTHAN","ALWAR","LACHHMANGARH                                      ","2014-09-06 10:53:28.877"
