"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","TELL ME WEED CONTROL IN SOYABEAN","SPRAY IMIZATHIPAR 400 GM / HACTOR IN 500 LTR WATER","RAJASTHAN","BANSWARA","GHATOL                                            ","2014-08-01 10:24:14.000"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","Seeds","TELL ME VARIETY OF PADDY","VARIETY OF RICE= PUSA 834, PNR 381, JALDI DHAN 13","RAJASTHAN","BANSWARA","BANSWARA                                          ","2014-08-01 13:21:04.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","","TELL ME WEED CONTROL OG SOYBEAN","SPRAY OF IMIZATHYPER 10% 400 G/ HA WITH 400 LITER WATER AFTER 25 DAYS OF SOWING","RAJASTHAN","BANSWARA","ANANDPURI                                         ","2014-08-01 17:15:59.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","tell me about weedicide use of soyabean","IMEZATHIPER 10% SL 1OO GRAM /BIGHA 100 - 125 LITER WATER","RAJASTHAN","BANSWARA","BAGIDORA                                          ","2014-08-01 17:20:34.000"
"","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","WEED PROBLEM OF SOYABEEN","SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN 400 LITER WATER","RAJASTHAN","BANSWARA","BANSWARA                                          ","2014-08-02 07:15:58.000"
"","","","","","","","RAJASTHAN","BANSWARA","GARHI                                             ","2014-08-02 11:43:33.000"
"JAYAD","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","TELL ME WEED CONTROL IN SOYBEAN","SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN 400 LITER WATER","RAJASTHAN","BANSWARA","BAGIDORA                                          ","2014-08-02 15:23:26.000"
"JAYAD","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","Seeds","TELL ME TIL VARIETY","RT-125 RT-127 PRATAP TIL","RAJASTHAN","BANSWARA","BAGIDORA                                          ","2014-08-02 20:40:18.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME LEAF CURLING IN COTTON","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","BANSWARA","BAGIDORA                                          ","2014-08-03 16:16:35.000"
"JAYAD","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME LEAF CURLING IN COTTON","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","BANSWARA","BAGIDORA                                          ","2014-08-03 16:16:39.000"
