"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME DIEASE CONTROL","DUSTING MITHYAL PARATHION 2 %  20 KG / HA","RAJASTHAN","BHARATPUR","RUPBAS                                            ","2014-09-04 11:46:38.487"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","varity of mustard","VARIETY OF MUSTARD= BIO-902, G M- 2, R H- 819","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-09-04 18:40:20.460"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 5 DAYS","RAJASTHAN","BHARATPUR","NAGAR PAHARI                                      ","2014-09-05 15:52:24.620"
"RABI","HORTICULTURE","Fruits","Kiwi Fruit","Seeds and Planting Material","WHERE I CONTACT FOR KINNU PLANT","PLS VISOIT AT KVK","RAJASTHAN","BHARATPUR","WEIR                                              ","2014-09-05 18:50:26.240"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 5 DAYS","RAJASTHAN","BHARATPUR","NADBAI                                            ","2014-09-05 20:00:08.060"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","TELL ME SUCKING PEST CONTROL BRINJAL","SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER","RAJASTHAN","BHARATPUR","BAYANA                                            ","2014-09-06 06:33:08.577"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME GROWTH IN COTTON","GROWTH IN COTTON SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 GM PER LITER WATER","RAJASTHAN","BHARATPUR","KAMAN                                             ","2014-09-06 07:09:06.757"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","BHARATPUR","KUMHER                                            ","2014-09-06 07:15:58.010"
"KHARIF","HORTICULTURE","Vegetables","Tomato","Bio-Pesticides and Bio-Fertilizers","TELL ME INSECT CONTROL OF TOMATO","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","BHARATPUR","NAGAR PAHARI                                      ","2014-09-06 07:20:25.137"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","YELLOWING N GUAR","SPRAY OF IMIDACLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","BHARATPUR","BAYANA                                            ","2014-09-06 07:35:38.500"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","Bio-Pesticides and Bio-Fertilizers","TELL ME FLOWER DROP CONTROL IN","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","BHARATPUR","NAGAR PAHARI                                      ","2014-09-06 07:45:46.467"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TELL ME CONTROL OF BLIGHT IN CHILLIES","SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-09-06 07:47:32.693"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME  INSECT CONTROL IN GVAR","DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-09-06 07:55:00.637"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME PLANT PROTECTION IN ONION","????????+?????? 75 ??????.??. ??? ?? 2 ????? ????? ???? ???? ??? ??? ??? ?? ?????? ????? 
DRENCHING OF CARBENDAZIM 250 GM PER BHIGA","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-09-06 07:59:18.233"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","Fertilizer Use and Availability","TELL ME SPRAY OF MULTIPLAX IN GVAR","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 GM PER LITER WATER","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-09-06 08:37:00.163"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","Fertilizer Use and Availability","TELL ME SPRAY OF MULTIPLAX IN GVAR","SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 GM PER LITER WATER","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-09-06 08:40:51.773"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","RAIN FALL POSSIBILITY IN NEXT 5 DAYS IN YOUR DIST","RAJASTHAN","BHARATPUR","KAMAN                                             ","2014-09-06 09:15:50.963"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME LEAF CURAL CONTROL OF GUAR","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-09-06 09:42:29.157"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME INSECT CONTROL OF COTTON","SPRAY OF DIMETHOATE 30% EC 2 ML PER LITER WATER","RAJASTHAN","BHARATPUR","KUMHER                                            ","2014-09-06 10:21:57.223"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME BLIGHT CONTROL IN RICE","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","RAJASTHAN","BHARATPUR","DEEG                                              ","2014-09-06 10:29:21.530"
