"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","jivanu rog in soyabeean","SPRAY OF DIMETHOATE 30% EC 2 ML PER LITER WATER","RAJASTHAN","CHITTAURGARH","NIMBAHERA                                         ","2014-09-03 14:19:14.283"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME MICRONUTRIENT IN COTTON .","SPRAY OF MULTIPLAX MICRONUTRIENT 4 GM PER LITER WATER","RAJASTHAN","CHITTAURGARH","BHAINSRORGARH                                     ","2014-09-04 12:53:06.853"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","LAT CONTROL IN SOYABEEN","SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER","RAJASTHAN","CHITTAURGARH","NIMBAHERA                                         ","2014-09-04 17:03:46.217"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","LATH IN SOYBEAN","ROGOR 2 ML/LITAR","RAJASTHAN","CHITTAURGARH","NIMBAHERA                                         ","2014-09-04 17:06:45.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 5 DAYS","RAJASTHAN","CHITTAURGARH","BEGUN                                             ","2014-09-05 13:30:29.553"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","TELL ME INSECT CONTROL IN SOYABEAN","SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER","RAJASTHAN","CHITTAURGARH","KAPASAN                                           ","2014-09-05 14:03:55.750"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","TELL ME PEST CONTROL IN URD","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","CHITTAURGARH","BEGUN                                             ","2014-09-05 15:05:53.493"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRICT","NO RAIN FALL IN NEXT FIVE DAY,CLOUDY SKY","RAJASTHAN","CHITTAURGARH","BEGUN                                             ","2014-09-05 20:35:16.953"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT","RAINFALL POSSIBILITY AFTER 2 DAYS","RAJASTHAN","CHITTAURGARH","DUNGLA                                            ","2014-09-06 08:16:18.827"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","TELL ME WEED CONTROL IN MAIZE .","HAND WEEDING MUST","RAJASTHAN","CHITTAURGARH","GANGRAR                                           ","2014-09-06 08:26:06.443"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","WHITE FLY CONTROL & LEAF SPOT IN COTTON","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","CHITTAURGARH","RASHMI                                            ","2014-09-06 09:31:24.907"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","TELL ME SUCKING PEST CONTROL","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","CHITTAURGARH","RASHMI                                            ","2014-09-06 09:59:58.330"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN MAY BE CONTINUE NEXT 4 DAYS","RAJASTHAN","CHITTAURGARH","CHITTAURGARH                                      ","2014-09-06 10:47:27.287"
"KHARIF","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","TELL ME INSECT CONTROL OF SOYBEAN","SPRAY OF DIMETHOATE 30% EC 2 ML PER LITER WATER","RAJASTHAN","CHITTAURGARH","BHADESAR                                          ","2014-09-06 11:54:39.640"
"KHARIF","AGRICULTURE","Pulses","Winged Bean","	Plant Protection	","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS .PARTLY CLOUDY SKY","RAJASTHAN","CHITTAURGARH","BHADESAR                                          ","2014-09-06 11:59:05.523"
"RABI","AGRICULTURE","Oilseeds","Mustard","Varieties","TELL ME VARIETY OF MUSTARD","MUSTARD VARIETY- T59,PUSA BOLD,RH30,BIO902,LAXMI,VASUNDHARA,JAGANNATH,RGN48","RAJASTHAN","CHITTAURGARH","BARI SADRI                                        ","2014-09-06 12:08:38.787"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","TELL ME VARIETY OF MUSTARD","VARIETY OF MUSTARD= ARAWALI, VASHUNDHRA, SAWARN JYOTI","RAJASTHAN","CHITTAURGARH","BEGUN                                             ","2014-09-06 13:41:49.407"
"KHARIF","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","NO GROTH IN CABBAGE","SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER","RAJASTHAN","CHITTAURGARH","CHITTAURGARH                                      ","2014-09-06 14:14:46.283"
