"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Cultural Practices","CONTROL OF FLOWER DROPING IN TOMATO ?","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","DAUSA","LALSOT                                            ","2014-08-01 08:30:34.000"
"","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","PEST CONTROL IN CHILLI","EMIDACLOROPRID 17.8% 0.5M.L./LITERA WATRE SPRAY","RAJASTHAN","DAUSA","LALSOT                                            ","2014-08-01 08:36:53.000"
"","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","CONTROL FRUIT ROT IN BOTTLE GOURD","COPPEROXICHLORIDE 45 GRAM AND STREPTOCYCLIN 1.5 GRAM/15 LITER WATER SPRAY","RAJASTHAN","DAUSA","LALSOT                                            ","2014-08-01 08:37:44.000"
"","AGRICULTURE","Fodder Crops","fodder sorghum","	Plant Protection	","TELL ME FUNGAS CONTROL IN SORGHUM","SPRAY OF MENCOZEB 75 WP 2 G/LIT WATER","RAJASTHAN","DAUSA","SIKRAI                                            ","2014-08-01 09:08:57.000"
"JAYAD","HORTICULTURE","Fruits","Pomegranate","","TELL ME FLOWER DROPPING CONTROL IN ANAR","FLOWER/FRUIT DROP CONTROL  SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","DAUSA","DAUSA                                             ","2014-08-01 09:29:44.000"
"","AGRICULTURE","Others","Others","Government Schemes","JOINT DIRECTOR, DAUSA CONTACT NUMBER","JOINT DIRECTOR, DAUSA 01427-230306","RAJASTHAN","DAUSA","LALSOT                                            ","2014-08-01 10:15:35.000"
"","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","Cultural Practices","TELL ME ABOUT PEST IN BAJRA","USE QUINOLPHOS 25% EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB","RAJASTHAN","DAUSA","MAHWA                                             ","2014-08-01 10:20:33.000"
"JAYAD","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","GRUB CONTROL IN BAJRA","QUINALPHOS 25 % 4 LIT + IMIDACLOPRID 17.8 % 1 LIT/HA WITH IRRIGATION FOR GRUB CONTROL","RAJASTHAN","DAUSA","MAHWA                                             ","2014-08-01 10:51:07.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","TELL ME VARIETY OF TOMATO","TOMATO  VARITY= PUSA SANKER -1,2 PUSA RUBI, PUSA SITAL","RAJASTHAN","DAUSA","LALSOT                                            ","2014-08-01 12:04:10.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL  POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","DAUSA","DAUSA                                             ","2014-08-01 12:15:40.000"
"JAYAD","HORTICULTURE","Vegetables","Tomato","Seeds and Planting Material","TELL ME VARIETY OF TOMATO","VARIETY OF TOMATO = PUSA HYB 1, PUSA HYB 2, ARKA VIKASH, PUSA 120, AVINASH 2","RAJASTHAN","DAUSA","LALSOT                                            ","2014-08-01 12:29:28.000"
"","HORTICULTURE","Fruits","Citrus","	Plant Protection	","TELL ME PEST CONTROL IN KARUNJA","SPRAY OF IMIDACHLOPRID 17.8% SL  0.5 ML PER LITER WATER","RAJASTHAN","DAUSA","LALSOT                                            ","2014-08-01 12:30:05.000"
