"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Cultural Practices","TELL ME ANIMAL INFO.","CONTACT YOUR DIS. LEVEL ANIMAL DEPTT","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-10-01 09:41:59.960"
"RABI","AGRICULTURE","Oilseeds","Mustard","Fertilizer Use and Availability","TELL ME NUTRIENT MANAGEMENT IN MUSTARD","????????? 0.3% ????. 12-15  ???? ????? ?????? ?? ?? ?? ?????? ????","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-10-01 10:10:35.613"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-10-01 10:13:30.547"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","DHAULPUR","BARI                                              ","2014-10-01 10:40:27.183"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-10-01 12:15:34.640"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT ?","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","DHAULPUR","BARI                                              ","2014-10-01 13:23:17.877"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT ?","6 MM RAIN MAY BE ON 7 OCTOBER","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-10-01 13:36:20.447"
"KHARIF","AGRICULTURE","Others","Others","Weather","TEL ME WEATHER REPORT","NO RAINFALL NEXT FIVE DAYS","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-10-01 15:06:51.030"
"KHARIF","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","TELL ME WEATHER REPORT IN MY DISTRICT","NO RAIN POSSIBILITY IN NEXT FIVE DAY,CLOUDY SKY","RAJASTHAN","DHAULPUR","BARI                                              ","2014-10-01 15:33:15.127"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN FALL UP TO 5 DAYS, CLOUDY SKY","RAJASTHAN","DHAULPUR","BARI                                              ","2014-10-01 15:41:25.187"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Safed Musli","Seeds and Planting Material","TELL ME ABOUT SOWING TIME OF SAFED MUSALI","SOWING TIME OF SAFED MUSALI =  JUNE JULY MONTH","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-10-01 15:53:32.457"
