"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","TELL ME TARMITE CONTROL OF CARTT","USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-06 13:04:58.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER FORECASTING","NEXT FIVE DAYS RAINFALL","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-09-06 14:32:09.243"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT ?","LIGHT RAIN MAY BE NEXT 5 DAYS","RAJASTHAN","DHAULPUR","BARI                                              ","2014-09-06 17:50:10.577"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME DISEASE CONTROL OF COTTON","SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER","RAJASTHAN","DHAULPUR","BARI                                              ","2014-09-07 14:36:26.030"
"KHARIF","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","TELL ME WEED CONTROL IN CARROT (AS PPI)","BEFORE SOWING SPRAY OF STOMP HERBICIDE 0.5 ML / LITRE WATER","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-07 19:19:01.380"
"RABI","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","TELL ME VARIETY OF CARROT","VARIETY OF CARROT= PUSA KESAR , MANDAGINI, NENTIS","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-07 19:29:51.250"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Production (Piggery, Goatery, Sheep Farming etc.)","SUBCIDE ON ANIMAL PRODUCTION","PLEASE CONTACT TO NABARD BANK = Shri P. V. S. Surya Kumar= Phone No. : 01141539353,01141539355","RAJASTHAN","DHAULPUR","BARI                                              ","2014-09-07 20:32:19.920"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT ?","RAIN POSSIBILITY IN NEXT 3 DAYS","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-08 08:48:02.410"
"KHARIF","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","TELL ME NOT GROWTH IN CARROT","MICRONUTREANT 5 GRAM/LITER SPRAY","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-08 15:50:08.270"
"KHARIF","HORTICULTURE","Vegetables","Cauliflower","Seeds and Planting Material","TELL ME VARIETIES OF CAULIFLOWER","PUSA DEEPALI, PUSA KATKI,","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-08 16:37:22.870"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME CONTROL OF INSECT IN BAJRA ?","SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-09 13:20:50.170"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","TELL ME LEAF BORER CONTROL IN TIL","SPRAY OF INDOXACARB 14.5% SC 0.5 ML PER LITER WATER","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-09-09 16:39:13.733"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRIC","RAIN MAY BE NEXT 2-3 DAYS IN YOUR DISTRICT","RAJASTHAN","DHAULPUR","BARI                                              ","2014-09-09 19:50:46.883"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","RAINFALL POSSIBILITY IN NEXT 4-5 DAYS","RAJASTHAN","DHAULPUR","BARI                                              ","2014-09-10 06:59:38.530"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","thrips in brinjal","SPRAY OF IMIDACHLOPRID 17.5% SL 0.5 ML PER LITER WATER","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-10 10:53:15.803"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","thrips in brinjal","SPRAY OF IMIDACHLOPRID 17.5% SL 0.5 ML PER LITER WATER","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-10 10:57:57.080"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","thrips in brinjal","SPRAY OF IMIDACHLOPRID 17.5% SL 0.5 ML PER LITER WATER","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-10 10:58:05.437"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","thrips in brinjal","SPRAY OF IMIDACHLOPRID 17.5% SL 0.5 ML PER LITER WATER","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-10 10:58:19.007"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT IN MY DISTRIC","MAY BE RAIN POSSIBILITY ON 11 TO 15 SEPTEMBER IN YOUR DISTRIC","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-09-10 12:45:18.077"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","TELL ME PEST CONTROL IN BHINDI","THIOMATHOKJOM 0.5 ML /LITER SPRAY","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-10 16:42:22.060"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","tell","?????? ?? ??? ???? ???? 1800110707 ???","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-10 17:23:50.767"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME CONTROL BORER","SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-10 19:33:21.867"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","TELL ME  INSECT CONTROL IN BHINDI","SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-11 06:20:37.140"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION","RAIN POSSIBILITY IN NEXT 3 DAYS","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-11 11:39:22.807"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 5 DAYS","RAJASTHAN","DHAULPUR","BARI                                              ","2014-09-11 12:29:42.497"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 5 DAYS","RAJASTHAN","DHAULPUR","BARI                                              ","2014-09-11 12:32:12.703"
"KHARIF","HORTICULTURE","Fruits","Lahsoda","	Plant Protection	","TELL ME DISEASE CONTROL IN LAHSODA","???? ????? ???????? 45 ????? + ?????????????????? 3 ????? ??? ?? ????? 15 ???? ???? ??? ??? ??? ?? ?????? ?????","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-11 15:07:11.597"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME BLIGHT CONTROL IN GUAR","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-09-11 18:23:10.377"
"RABI","HORTICULTURE","Vegetables","Carrot","	Plant Protection	","TELL ME CONTROL OF TERMITE IN CARROT","USE QUINOLPHOS 25% EC 4 LITER PER HA WITH IRRIGATION","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-12 10:59:54.397"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Cultural Practices","TELL ME SOWING TIME OF MUSTERD","15 SEPTEMBER TO 15 OCTOBER","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-12 15:28:04.810"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN MAY BE CONTINUE NEXT 3 DAYS","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-09-12 15:35:01.503"
"KHARIF","AGRICULTURE","Others","Others","Bio-Pesticides and Bio-Fertilizers","tell me about weather informion","LIGHT RAIN MAY BE NEXT 2 DAYS","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-12 16:23:47.777"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Field Preparation	","TELL ME FRUIT CONTROL IN COTTON","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-12 16:49:57.980"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","TELL ME STEM BORER CONTROL IN PADDY","SPRAY OF CARTAP HYDROCHLORIDE 50% SP 1 ML PER LITER WATER","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-09-12 18:21:39.710"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME CONTROL FRUIT BORER","USE MALATHIAN 50% EC SOLUTION (2 ML PER LITER WATER) IN HOLE OF STEM","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-12 18:22:25.010"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME PEST CONTROL IN BAJRA","MITHAIL PERATHIYAN 2% 5 KG/BIGHA","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-12 18:24:07.747"
"KHARIF","HORTICULTURE","Fruits","Lemon","	Plant Protection	","TELL ME NOT GROWTH IN LEMON","USE FYM","RAJASTHAN","DHAULPUR","BARI                                              ","2014-09-12 21:22:01.620"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME APHID CONTROL","SPRAY OF THIOMETHOXAM 25% WG 0.5 GM  PER LITER WATER","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-09-13 07:31:16.630"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","TELL ME  VARIETY OF MUSTARD","VARIETY OF MUSTARD= ARAWALI, VASHUNDHRA, SAWARN JYOTI","RAJASTHAN","DHAULPUR","DHAULPUR                                          ","2014-09-13 10:16:13.500"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Seeds","TELL ME VARIETY OF MUSTARS ?","MUSTARD VARIETY- T59,PUSA BOLD,RH30,BIO902,LAXMI,VASUNDHARA,JAGANNATH,RGN48,73","RAJASTHAN","DHAULPUR","RAJAKHERA                                         ","2014-09-13 10:34:46.763"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","TELL ME PROPER NOT GROWTH IN POMEGRANATE","""
SPRAY OF POTASSIUM SULPHATE 0:0:50 10 GM PER LITER WATER","RAJASTHAN","DHAULPUR","BASERI                                            ","2014-09-13 14:56:49.283"
