"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","DUNGARPUR","DUNGARPUR                                         ","2014-10-01 17:31:16.073"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","TELL ME SUBSIDY ON SPRINKLER SYSTEM ?","SUBSIDY ON SPRINKLER SYSTEM= 50% OF TOTAL COST OR 15000/- MAXIMUM","RAJASTHAN","DUNGARPUR","DUNGARPUR                                         ","2014-10-01 17:41:55.730"
"KHARIF","HORTICULTURE","Vegetables","Onion","	Plant Protection	","tell me varity of onion","ONION VARIETY - NASIK RED,PUSA RED,AGRIFOUND RED, PUSA RED, PUSA MADHAWAI","RAJASTHAN","DUNGARPUR","ASPUR                                             ","2014-10-02 08:45:47.670"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","TELL ME SUCKING PEST CONTROL IN CHILLI","SPRAY OF DIMETHOATE 30% EC 2 ML PER LITER WATER","RAJASTHAN","DUNGARPUR","SAGWARA                                           ","2014-10-02 15:41:14.707"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","DUNGARPUR","DUNGARPUR                                         ","2014-10-03 12:54:02.170"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAINFALL POSSIBILITY IN NEXT FIVE DAYS  BUT CLOUDY","RAJASTHAN","DUNGARPUR","SAGWARA                                           ","2014-10-04 14:51:48.453"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","TELL ME CONTROL OF LEAF CUTTING PEST IN BRINJAL","INDOXACARB 14.5%SC 0.5ML/LITER WATER SPRAY","RAJASTHAN","DUNGARPUR","SAGWARA                                           ","2014-10-04 14:56:01.353"
"KHARIF","AGRICULTURE","Beekeeping","Beekeeping","Weather","TELL ME LEAF BORER CONTROL IN","SPRAY OF INDOXACARB 14.5% SC 0.5 ML PER LITER WATER","RAJASTHAN","DUNGARPUR","SAGWARA                                           ","2014-10-05 14:18:03.943"
"KHARIF","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","TELL ME BLACK ROOT CONTROL IN GROUNDNUT","CARBENDAZIM 250 GRAM / BIGA WITH IRRIGATION WATER","RAJASTHAN","DUNGARPUR","SIMALWARA                                         ","2014-10-08 11:30:31.230"
"RABI","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NO RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","DUNGARPUR","ASPUR                                             ","2014-10-11 10:23:09.717"
"RABI","AGRICULTURE","Oilseeds","Soybean (bhat)","	Plant Protection	","TELL ME PEST CONTROL IN SOYABEAN","""????????? +?????? 75% ??.??. 2 ????? ????? ???? ???? ??? ??? ?? ?????? ?????
""","RAJASTHAN","DUNGARPUR","ASPUR                                             ","2014-10-11 16:59:57.020"
"RABI","HORTICULTURE","Condiments and Spices","Coriander","	Plant Protection	","tell me varity of coriander","rcr-20 RCR-41, 436,684,480 CS-6 varity of coriander","RAJASTHAN","DUNGARPUR","DUNGARPUR                                         ","2014-10-14 11:57:52.643"
"RABI","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","WEED CONTROL IN MUSTARD","SPRAY OF PENDIMETHILIN 30% EC 2.5-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION","RAJASTHAN","DUNGARPUR","BICHIWARA                                         ","2014-10-18 12:24:24.593"
"RABI","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","TELL ME PEST CONTROL IN LOKI","?????? + ????????? 75% ??.??. ??? ?? 2 ????? ????? ???? ???? ??? ??? ?? ?????? ?????","RAJASTHAN","DUNGARPUR","DUNGARPUR                                         ","2014-10-18 15:44:40.250"
"RABI","HORTICULTURE","Fruits","Mango","	Plant Protection	","TELL ME POTASSIUM DEF. CONTROL IN MANGO","SPEAY OF POTASSIUM SULPHATE 0:0:50 10 GM PER LITER WATER","RAJASTHAN","DUNGARPUR","DUNGARPUR                                         ","2014-10-18 17:52:47.787"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","NO RAIN FALL POSSIBILITY IN NEXT 5 DAYS IN YOUR DIST","RAJASTHAN","DUNGARPUR","ASPUR                                             ","2014-10-20 10:09:20.863"
"RABI","HORTICULTURE","Condiments and Spices","Fenugreek","	Plant Protection	","TELL ME GROWTH IN METHI","AFTER 10 DAY SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER","RAJASTHAN","DUNGARPUR","BICHIWARA                                         ","2014-10-20 15:58:55.520"
"RABI","HORTICULTURE","Fruits","Lemon","	Plant Protection	","TELL ME FLOWER DROPPING CONTROL","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","DUNGARPUR","DUNGARPUR                                         ","2014-10-23 09:58:21.310"
"KHARIF","AGRICULTURE","Cereals","Wheat","Varieties","TELL ME VARIETY OF WHEAT","WHEAT VARIETY - ,RAJ-3077,4037,3765,4083,4120,4079,WH-1080","RAJASTHAN","DUNGARPUR","SIMALWARA                                         ","2014-10-25 10:37:12.993"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","Seeds","VARIETY OF GRAM","VARIETY OF GRAM = GNG-1581(GANGAUR),RSG-888,RSG-973,RSG-974","RAJASTHAN","DUNGARPUR","ASPUR                                             ","2014-10-26 16:01:24.190"
"RABI","AGRICULTURE","Pulses","Bengal Gram (Gram/Chick Pea/Kabuli/Chana)","	Plant Protection	","TELL ME SEED TREATMENT OF GRAM","seed treatment in gram CARBENDAZIM  2 GM PER kg seed + incecticide choloropyrios 20 ec 8 ml per kg seed + rizobium 3 packet (600 gram ) 400 gram gud 500 ml water hot mix, seed treat","RAJASTHAN","DUNGARPUR","SAGWARA                                           ","2014-10-30 07:30:51.810"
