"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 3 DAYS","RAJASTHAN","JAIPUR","PHAGI                                             ","2014-09-03 09:42:37.450"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 3 DAYS","RAJASTHAN","JAIPUR","PHAGI                                             ","2014-09-03 09:42:37.450"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 3 DAYS","RAJASTHAN","JAIPUR","PHAGI                                             ","2014-09-03 09:42:37.450"
"KHARIF","AGRICULTURE","Others","Others","Market Information","TELL ME PROPER GROWTH IN BAJRA","SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER","RAJASTHAN","JAIPUR","AMBER                                             ","2014-09-03 14:23:53.393"
"KHARIF","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","	Plant Protection	","TELL ME GROWTH CONTROL IN BHINDI","PLANOFIX 1 ML /4 LITTER WATTER SPRAY","RAJASTHAN","JAIPUR","JHOTWARA                                          ","2014-09-04 10:46:52.647"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER FORECASTING","NEXT FIVE DAYS RAINFALL","RAJASTHAN","JAIPUR","PHAGI                                             ","2014-09-04 13:11:03.677"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER FORECASTING","NEXT FIVE DAYS RAINFALL","RAJASTHAN","JAIPUR","PHAGI                                             ","2014-09-04 13:11:03.677"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER FORECASTING","NEXT FIVE DAYS RAINFALL","RAJASTHAN","JAIPUR","PHAGI                                             ","2014-09-04 13:11:03.677"
"KHARIF","HORTICULTURE","Vegetables","Carrot","Cultural Practices","TELL ME VARAITIES OF CAULIFLOWER","PUSA KETKI","RAJASTHAN","JAIPUR","PHAGI                                             ","2014-09-04 13:22:18.480"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","tell me control of termit of tomato","USE CHLOROPYRIPHOS 4 LITER PER HA  TERMITE CONTROL IN GROUNDNUT","RAJASTHAN","JAIPUR","CHAKSU                                            ","2014-09-04 14:04:01.703"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME CONTROL OF FUNGAL DISEASE IN BAJARA /","USE CARBENDAZIM 250 GM PER BIGHA","RAJASTHAN","JAIPUR","KOTPUTLI                                          ","2014-09-04 14:28:09.403"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","FLOWER DROP CONTROL IN","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","JAIPUR","BASSI                                             ","2014-09-04 16:39:40.947"
"KHARIF","HORTICULTURE","Fruits","Pomegranate","	Plant Protection	","TELL ME ANAR BUTTER FLY CONTROL IN ANNAR","SPRAY OF INDOXACARB 14.5% SC 0.5 ML PER LITER WATER","RAJASTHAN","JAIPUR","BASSI                                             ","2014-09-04 18:41:48.813"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME RAIN FALL INFORMATION.","REGULAR RAIN FALL NEXT FIVE DAYS.","RAJASTHAN","JAIPUR","SAMBHAR                                           ","2014-09-04 21:58:22.093"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF GANGANAGAR","rain may be possible next two days","RAJASTHAN","JAIPUR","AMBER                                             ","2014-09-05 06:53:39.790"
"KHARIF","AGRICULTURE","Others","Others","Weather","WEATHER REPORT OF GANGANAGAR","rain may be possible next two days","RAJASTHAN","JAIPUR","AMBER                                             ","2014-09-05 06:53:39.790"
"KHARIF","AGRICULTURE","Others","Others","Weather","TEST","TEST CALL","RAJASTHAN","JAIPUR","SAMBHAR                                           ","2014-09-05 10:10:33.260"
