"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","LIGHT  RAINFALL IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY","RAJASTHAN","JALOR","","2014-08-01 07:31:10.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JALOR","JALORE                                            ","2014-08-01 07:48:04.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JALOR","JALORE                                            ","2014-08-01 08:02:28.000"
"JAYAD","AGRICULTURE","Oilseeds","Castor (Rehri, Rendi, Arandi) ","Seeds","TELL ME VARIETY OF CASTOR","VARIETY OF CASTOR-GCH-4,RCH-1","RAJASTHAN","JALOR","","2014-08-01 08:37:42.000"
"JAYAD","AGRICULTURE","Others","Others","Seeds","VARIETY OF PAPAYA ?","VARIETY OF PAPAYA TAIWAN 786, SURYA, KURG HONEYDEW, PUSA MEJESTIC","RAJASTHAN","JALOR","JALORE                                            ","2014-08-01 08:41:21.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER INFORMATION","RAINFALL POSSIBILITY NEXT 5 DAYS","RAJASTHAN","JALOR","SAYLA                                             ","2014-08-01 10:48:40.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","RAINFALL  POSSIBILITY IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY","RAJASTHAN","JALOR","","2014-08-01 11:22:58.000"
"JAYAD","AGRICULTURE","Others","Others","","TELL ME  WEATHER  REPORT","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JALOR","JALORE                                            ","2014-08-01 11:27:58.000"
"JAYAD","AGRICULTURE","Others","Others","Weather","WEATHER REPORT ?","RAIN POSSIBILITY IN NEXT 4 DAYS","RAJASTHAN","JALOR","JALORE                                            ","2014-08-01 12:09:47.000"
"JAYAD","AGRICULTURE","Others","Others","","TELL ME  WEATHER  REPORT","RAIN FALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JALOR","JALORE                                            ","2014-08-01 12:14:48.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","RAIN POSSIBILITY IN NEXT 5  DAYS","RAJASTHAN","JALOR","","2014-08-01 12:30:52.000"
"","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL  POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JALOR","AHORE                                             ","2014-08-01 12:47:37.000"
