"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN MAY BE CONTINUE NEXT 5 DAYS","RAJASTHAN","JALOR","JALORE                                            ","2014-09-03 07:11:47.610"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN MAY BE CONTINUE NEXT 5 DAYS","RAJASTHAN","JALOR","JALORE                                            ","2014-09-03 07:14:55.540"
"KHARIF","AGRICULTURE","Others","Others","Weather","tell me weather information","NO RAIN POSSIBILITY IN NEXT 2-3  DAYS","RAJASTHAN","JALOR","BHINMAL                                           ","2014-09-04 09:48:30.163"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN MAY BE CONTINUE NEXT 5 DAYS","RAJASTHAN","JALOR","SANCHORE                                          ","2014-09-04 11:25:38.917"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME ABOUT WEATHER OF TODAY IN JALOR","TODAY IN YOUR DISTRICT   PARTLY CLOUDY AND LITTIL RAIN ABOUT (36m.m.)","RAJASTHAN","JALOR","SANCHORE                                          ","2014-09-04 11:26:57.917"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME WEATHER CONDITION","NO RAINFALL  POSSIBILITY IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY","RAJASTHAN","JALOR","SANCHORE                                          ","2014-09-04 11:52:08.833"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME WEATHER CONDITION","RAINFALL  POSSIBILITY IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY","RAJASTHAN","JALOR","JASWANTPURA                                       ","2014-09-04 13:34:22.927"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAI     RAINFALL  POSSIBILITY IN NEXT 5 DAYS,BUT SKY CLOUDLY","RAJASTHAN","JALOR","AHORE                                             ","2014-09-04 14:37:15.447"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAINFALL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JALOR","SANCHORE                                          ","2014-09-04 15:14:43.663"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","thrips in chilli","SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER","RAJASTHAN","JALOR","BHINMAL                                           ","2014-09-04 15:36:43.620"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","groth parmot of moong","SPRAY OF WATER  SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER","RAJASTHAN","JALOR","BHINMAL                                           ","2014-09-05 12:35:48.993"
