"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Oats ","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-09-02 07:00:51.183"
"KHARIF","AGRICULTURE","Cereals","Oats ","Weather","TELL ME WEATHER INFORMATION","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-09-02 07:00:51.183"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME BORRER CONTROL","SPRAY OF IMMECTIN BENZOATE 1 GM PER 3 LITER WATER","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-09-04 10:59:28.753"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","TELL ME DISEASE CONTROL","MENCOZEB 2 G PER LITRER WATER SPRAY","RAJASTHAN","JHUNJHUNU","CHIRAWA                                           ","2014-09-04 12:02:50.367"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NORMAL RAINFAL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-09-04 16:46:42.500"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NORMAL RAINFAL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-09-04 16:46:42.500"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","FLOWER FALL DOWN IN COTTON","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER FOR FLOWER DROP CONTROL","RAJASTHAN","JHUNJHUNU","SURAJGARH                                         ","2014-09-04 20:28:34.047"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER REPORT","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","JHUNJHUNU","CHIRAWA                                           ","2014-09-05 06:50:42.237"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME GRASS HOPPER CONTROL IN BAJRA","DUSTING METHYL PARATHIAN 2% POWDER 25 KG / HACTARE","RAJASTHAN","JHUNJHUNU","UDAIPURWATI                                       ","2014-09-05 15:13:06.130"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME GRASS HOPPER CONTROL IN BAJRA","DUSTING METHYL PARATHIAN 2% POWDER 25 KG / HACTARE","RAJASTHAN","JHUNJHUNU","UDAIPURWATI                                       ","2014-09-05 15:44:35.053"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME PEST CONTROL GOWAR","APPLY METHYL PARATHION 2 % 20-25 KG PER HECTARE MIXING WITH 50 KG DUST","RAJASTHAN","JHUNJHUNU","KHETRI                                            ","2014-09-05 18:04:29.953"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME PEST CONTROL IN BAJRA","DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA","RAJASTHAN","JHUNJHUNU","UDAIPURWATI                                       ","2014-09-05 20:46:27.697"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","TELL ME SOIL TESTING","DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL","RAJASTHAN","JHUNJHUNU","BUHANA                                            ","2014-09-06 06:37:20.437"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","Tell me blight control in guar","SPRAY OF MANCOZEB 2 GM + ACEPHATE 75% SP 2 GM PER LITER WATER","RAJASTHAN","JHUNJHUNU","KHETRI                                            ","2014-09-06 06:47:54.310"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME INSECT CONTROL IN KHEJARI","DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA","RAJASTHAN","JHUNJHUNU","CHIRAWA                                           ","2014-09-06 07:13:25.777"
"KHARIF","HORTICULTURE","Fruits","Bail","	Plant Protection	","TELL ME FLOWER DROP CONTROL IN BAIL","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","JHUNJHUNU","ALSISAR                                           ","2014-09-06 07:30:31.773"
"KHARIF","HORTICULTURE","Vegetables","Chillies","	Plant Protection	","tell me","USE CARBOFURAN 3% G 25-30 KG PER HA","RAJASTHAN","JHUNJHUNU","NAWALGARH                                         ","2014-09-06 08:46:23.933"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","Bio-Pesticides and Bio-Fertilizers","TELL ME INSECT CONTROL OF GAUR","SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER","RAJASTHAN","JHUNJHUNU","JHUNJHUNUN                                        ","2014-09-06 09:13:17.823"
