"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","TELL ME SOIL TESTING INFO .","GO TO  YOUR DISTRICT LEVEL SOIL TESTING LABORATORY FOR SOIL TESTING ?","RAJASTHAN","NAGAUR","NAGAUR                                            ","2014-09-02 06:39:33.887"
"KHARIF","AGRICULTURE","Others","Others","Weather","tell me about weather information","LIGHT RAIN MAY BE POSSIBLE NEXT 5 DAYS","RAJASTHAN","NAGAUR","MERTA                                             ","2014-09-02 06:56:19.930"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","thrips in gower","SPRAY OF IMIDACHLOPRID 0.5 ML/ LITER WATER","RAJASTHAN","NAGAUR","MUNDWA                                            ","2014-09-02 09:32:39.613"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","no groth in gower","SPRAY OF NPK 18:18:18 GRADE 10 GM PER LITER WATER","RAJASTHAN","NAGAUR","MERTA                                             ","2014-09-02 11:49:41.400"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE NEXT 3-4 DAYS","RAJASTHAN","NAGAUR","DEGANA                                            ","2014-09-02 14:11:57.517"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 2 DAYS","RAJASTHAN","NAGAUR","LADNU                                             ","2014-09-03 06:58:24.053"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","MAY BE RAIN POSSIBILITY CONTINUE IN NEXT 5 DAYS","RAJASTHAN","NAGAUR","MUNDWA                                            ","2014-09-03 08:01:02.483"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL MR FLOWER DROP CONTROL IN","SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER","RAJASTHAN","NAGAUR","JAYAL                                             ","2014-09-03 13:07:48.883"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION IN MY DISTRICT","RAINFALL IN NEXT FIVE DAYS IN YOUR DISTRICT","RAJASTHAN","NAGAUR","KUCHAMAN                                          ","2014-09-03 14:13:52.507"
"KHARIF","AGRICULTURE","Pulses","Black Gram (urd bean)","	Plant Protection	","fungas controll in jawar","SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER(SAAF)","RAJASTHAN","NAGAUR","RIYAN                                             ","2014-09-03 14:31:54.177"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","CONTROL ROOT ROT IN GUAR","CARBENDZIM 300 GRAM /BIGHA SOIL APPLICATION","RAJASTHAN","NAGAUR","DEGANA                                            ","2014-09-03 14:33:30.367"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","CONTROL ROOT ROT IN GUAR","CARBENDZIM 300 GRAM /BIGHA SOIL APPLICATION","RAJASTHAN","NAGAUR","DEGANA                                            ","2014-09-03 14:33:30.367"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","Market Information","gower rate of nagure mandi","5150 rs/q gower rate fo nagure mandi","RAJASTHAN","NAGAUR","MUNDWA                                            ","2014-09-04 09:20:08.373"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","Market Information","gower rate of nagure mandi","5150 rs/q gower rate fo nagure mandi","RAJASTHAN","NAGAUR","MUNDWA                                            ","2014-09-04 09:20:08.373"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMETION IN MY DISTRICT","RAIN POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","NAGAUR","JAYAL                                             ","2014-09-04 10:52:13.290"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","NO RAINFALL  POSSIBILITY IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY","RAJASTHAN","NAGAUR","DIDWANA                                           ","2014-09-04 11:08:44.140"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","TELL ME SOIL TESTING","DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL","RAJASTHAN","NAGAUR","PARBATSAR                                         ","2014-09-04 11:22:16.873"
"KHARIF","AGRICULTURE","Pulses","Green Gram (Moong Bean/ Moong)","	Plant Protection	","thrips in moong","SPRAY OF INDOXACARB 14.5% SC 0.5 ML PER LITER WATER","RAJASTHAN","NAGAUR","DEGANA                                            ","2014-09-04 11:22:38.727"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","CONTROL ROOT ROT IN GUAR","CARBENDZIM 300 GRAM /BIGHA SOIL APPLICATION","RAJASTHAN","NAGAUR","MERTA                                             ","2014-09-04 11:58:44.830"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER CONDITION","RAINFALL  POSSIBILITY IN NEXT 5 DAYS OR  SOME CLOUD POSSIBILITY","RAJASTHAN","NAGAUR","NAGAUR                                            ","2014-09-04 12:16:25.633"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","tell me weather information","RAIN FALL POSSIBILITY IN NEXT 5 DAYS IN YOUR DIST","RAJASTHAN","NAGAUR","DEGANA                                            ","2014-09-04 12:27:59.603"
"KHARIF","AGRICULTURE","Fodder Crops","Guar","	Plant Protection	","TELL ME SUCKING PEST CONTROL IN","SPRAY OF ACEPHATE 75 % ?? ??  2 GM PER LITER WATER","RAJASTHAN","NAGAUR","MERTA                                             ","2014-09-04 13:26:03.470"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","TELL ME WEATHER CONDITION","RAINFALL  POSSIBILITY CONTINUE UPTO 3 DAYS OR  SOME CLOUD POSSIBILITY","RAJASTHAN","NAGAUR","JAYAL                                             ","2014-09-04 13:51:30.400"
"KHARIF","AGRICULTURE","Millets","Pearl Millet (Bajra/Bulrush Millet/Spiked Millet)","	Plant Protection	","TELL ME GROWTH IN BAJRA","SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER","RAJASTHAN","NAGAUR","JAYAL                                             ","2014-09-04 14:04:13.813"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","NORMAL RAINFAL POSSIBILITY IN NEXT 5 DAYS","RAJASTHAN","NAGAUR","LADNU                                             ","2014-09-04 16:55:15.903"
"KHARIF","AGRICULTURE","Fiber Crops","Cotton (Kapas)","	Plant Protection	","NO FRUIT IN COTTON","SPRAY OF THIOUREA 0.5 GM PER LITER WATER","RAJASTHAN","NAGAUR","MUNDWA                                            ","2014-09-04 17:24:31.563"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","RAIN FALL UP TO 5 DAYS, CLOUDY SKY","RAJASTHAN","NAGAUR","MUNDWA                                            ","2014-09-04 18:44:38.583"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME WEATHER INFORMATION","LIGHT RAIN MAY BE IN NEXT 3 DAYS","RAJASTHAN","NAGAUR","NAGAUR                                            ","2014-09-05 07:29:00.197"
"KHARIF","AGRICULTURE","Others","Others","Weather","TELL ME RAIN INFORMATION","RAIN FALL POSSIBILITY IN NEXT 5 DAYS IN YOUR DIST","RAJASTHAN","NAGAUR","MUNDWA                                            ","2014-09-05 09:53:58.820"
