"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Nutrition","Asking about feeding calves of cow","Recommended to contact the nearest block veterenary doctor/call 9163995123(Dr. Nirparaj pradhan)","SIKKIM","EAST DISTRICT","PAKYONG                                           ","2014-11-01 07:54:31.453"
"JAYAD","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","Asking about control of cabbage Leaf spot  biofungicide","Recommended for spray  Trichoderma viride @ 5 gm/liter
and Pseudomonas fluorescens @ 5gm /liter of water","SIKKIM","EAST DISTRICT","PAKYONG                                           ","2014-11-07 11:45:58.640"
"RABI","AGRICULTURE","Green Manure","Sunnhemp (Patua)","	Field Preparation	","Asking about organic farming","Recommended for organic farming is with out using any chemical.It is a method of farming system which primarily aimed at cultivating the land and raising crops in such a way, as to keep the soil alive and in good health by use of organic wastes (crop, animal and farm wastes, aquatic wastes) and other biological materials along with beneficial microbes (biofertilizers) to release nutrients to crops for increased sustainable production in an eco friendly pollution free environment.","SIKKIM","EAST DISTRICT","RAKDONG TINTEK","2014-11-09 17:38:47.193"
"RABI","HORTICULTURE","Vegetables","Cabbage","	Plant Protection	","Asking about recommended dose of biopesticide","Recomended for spray 2 or 3ml/lit of water before 10 a.m or after 2 pm like interval of 15 days","SIKKIM","EAST DISTRICT","PAKYONG                                           ","2014-11-11 12:12:46.020"
"RABI","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","CONTROL OF FRUIT AND SHOOT BORRER IN BRINJAL.","RECOMMENDED FOR SPRAY AZADIRACHTIN 1% EC (10000PPM)@3ML OR HELLICIDE @1ML PER LITRE OF WATER 2-3 TIMES WEEKLY INTERVAL.","SIKKIM","EAST DISTRICT","RAKDONG TINTEK","2014-11-13 08:51:02.933"
"RABI","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","Asking  about how to prevent whitefly in Tomato","Recommended Use yellow sticky traps at 12/ha to attract and kill insects or spray neem oil 3ml/liter of water","SIKKIM","EAST DISTRICT","GANGTOK                                           ","2014-11-13 14:18:31.230"
"RABI","HORTICULTURE","Fruits","Banana","Soil Testing","ASKING ABOUT SOIL TESTING LABOUTARY CENTRE IN SIKKIM.","RECOMMENDED FOR ICAR,TADONG GANGTOK,EAST SIKKIM OR CONTACT THE BTM/VLW IN YOUR BLOCK AREA,RAKDONG.","SIKKIM","EAST DISTRICT","RAKDONG TINTEK","2014-11-15 10:01:43.937"
"RABI","HORTICULTURE","Plantation Crops","Sandal Wood","Government Schemes","ASKING ABOU THE GOVERNMENT SUBSIDY FOR PLANTATION CROPS IN RAJASTHAN.HE LIVE IN SIKKIM SINCE 2004 BUT HIS HOMELAND IS RAJASTHAN.","RECOMMENDED FOR CALL YOUR OWN STATE KISAN CALL CENTRE.","SIKKIM","EAST DISTRICT","GANGTOK                                           ","2014-11-15 11:52:37.420"
"RABI","HORTICULTURE","Vegetables","Potato","	Plant Protection	","Asking about seed treatment management","Recommended for  Seed treatments with 300gms of Trichoderma viride per 100gms of seed for control of fungal diease","SIKKIM","EAST DISTRICT","PAKYONG                                           ","2014-11-15 15:54:31.730"
"KHARIF","HORTICULTURE","Vegetables","Tomato","	Plant Protection	","ASKING TOMATO SOWING SEASON AND SEED TREATMENT","Recommended for TOMATO SOWING  SEASON IS ON JUNE AND DO Seed treatments with 300gms of Trichoderma viride per 100gms of seed for control of late blight.","SIKKIM","EAST DISTRICT","GANGTOK                                           ","2014-11-15 20:24:17.383"
"RABI","HORTICULTURE","Fruits","Orange","	Plant Protection	","Asking about Gummosis  in mandarine?","Recommended for  mixed spray of Trichoderma viride and pseudomonas flourescens @ 3ml/lit of water .","SIKKIM","EAST DISTRICT","PAKYONG                                           ","2014-11-16 08:11:02.897"
"RABI","AGRICULTURE","Others","Others","Soil Testing","Asking soil problem in the field","Recommended to do soil testing  of the field soil .which is ceating problem and contact nearest agriculture block for further information.","SIKKIM","EAST DISTRICT","DUGA","2014-11-24 13:45:23.777"
"RABI","HORTICULTURE","Vegetables","Broccoli","Organic Farming","control of red ant in broccoli field.","Recommended for spray wicci @ 2gram per kg of konica(broken pices of rice)","SIKKIM","EAST DISTRICT","PAKYONG                                           ","2014-11-28 18:18:01.270"
"RABI","AGRICULTURE","Others","Others","Training and Exposure Visits","Asking about procedure  of Agriculture crop to import ?","RECOMMENDED FOR TO CONTACT NEAREST AGRICULTURE BLOCK","SIKKIM","EAST DISTRICT","GANGTOK                                           ","2014-11-29 15:09:10.787"
