"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","mango hopper","recommended for spray neem oil 3ml+teeapl 1ml/lit","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-02 13:08:37.580"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","Cultural Practices","coconut fertilizer management","Recommended for apply urea 1.300kg + super phosphate 2kg + pottash 2 kg + neem cake 5kg + farm yard manure 50kg + micro mixture 1kg /tree/year","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-04 12:30:01.210"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Market Information","market price for rice","recommended for the price;1600-1700Rs/quintal","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-04 14:38:23.693"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","mealy bug in papaya","Recommended for spray imidacloprid 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-04 17:05:14.107"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","mealy bug in papaya","Recommended for spray imidacloprid 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-04 17:06:56.830"
"KHARIF","HORTICULTURE","Fruits","Papaya","	Plant Protection	","mealy bug in papaya","Recommended for spray imidacloprid 2ml+neem oil 3ml+teepol 1ml/lit of water","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-04 17:13:28.167"
"KHARIF","HORTICULTURE","Vegetables","Lab Lab","Fertilizer Use and Availability","lab lab foliar application","Recommended for spray 19:19:19 50gm / tank","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-04 17:51:39.880"
"KHARIF","HORTICULTURE","Plantation Crops","Coconut","	Plant Protection	","eriyopitmite in coconut","Recommended for spray omite 2ml / lit","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-04 19:31:47.353"
"KHARIF","AGRICULTURE","Oilseeds","Groundnut (pea nut/mung phalli)","Weed Management","weed management in ground nut","recommended for hand weeding","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-05 11:03:37.883"
"KHARIF","ANIMAL HUSBANDRY","Animal","Rabbit","Animal Breeding","Veterinary University Training and Research Centres","recommended for 044-27529548","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-05 16:25:30.050"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Dairy Production","veterinary contact number","recommended to contact 044-25551571","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-06 07:52:07.147"
"KHARIF","ANIMAL HUSBANDRY","Animal","POULTRY  FARM ","Dairy Production","veterinary department no of Kattupakkam","recommended number for Kattupakkam veterinary department 044-27452371","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-06 19:02:20.817"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Nutrient Management","paddy top dressing fertilizer management","Recommended for apply urea 25 kg + potash 15 kg + neem cake 5 kg/ac","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-07 09:26:00.240"
"KHARIF","HORTICULTURE","Flowers","Tuberose","	Plant Protection	","nanthiya vettai pest management","recommended for spray neem oil 3 ml + teepol 1 ml / 1 litre of water","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-10 12:58:50.223"
"KHARIF","AGRICULTURE","Others","Others","Soil Testing","Soil testing techniques","recommended number for agriculture office 044 27224385","TAMILNADU","CHENNAI(MADRAS)","CHENNAI","2014-10-10 14:19:54.837"
